time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667,  45.79929,  76.75643,-169.81355,  36.71723,  75.46490,-171.00128,  58.32201,  43.08000,-155.58869,  71.50097,   9.56375,-176.94456,  54.88134,  78.04796,-168.62582,  75.79172,  49.44668,-146.31395,  82.87678,   9.15062,-155.20923,  44.37174,  83.62888,-166.37078,  42.14846,  98.92969,-158.58757,  41.68931, 109.84208,-152.96351,  43.18190, 126.07006,-144.36239,  43.30565, 130.34360,-142.32724,  43.15475, 134.71423,-140.51202,  39.97653, 121.15942,-146.50423,  26.85028, 122.39394,-147.29717,  17.58167,  98.77735,-154.95222,   8.48530,  75.60713,-162.46199,   8.73622,  73.22310,-160.56594,   8.91895,  70.00424,-158.78755,   9.64880,  67.63351,-158.15873,   7.13386,  72.55051,-160.61931,   4.94541,  67.74728,-160.01681,   4.76450,  64.13201,-159.97806,   5.25708,  62.15938,-160.25515,   6.64074,  72.71777,-161.73500,   4.23998,  68.12298,-161.75104,   4.01029,  64.29631,-162.69887,   5.19763,  62.34707,-163.65871,   6.33767,  72.95784,-162.53260,   3.89120,  69.05155,-163.21730,   3.51562,  65.88531,-164.51394,   4.48958,  64.00128,-165.61138,   6.13681,  73.36918,-163.52680,   3.73219,  70.04097,-164.74314,   3.20747,  67.71037,-166.11937,   3.96906,  66.44590,-167.04439,  45.48266, 121.14546,-147.43340,  58.49027, 119.10276,-148.47303,  69.61781,  97.43994,-138.02554,  80.24685,  78.14391,-124.21659,  79.78763,  77.31658,-121.31036,  79.63952,  75.86029,-117.93184,  79.30539,  74.15701,-116.05151,  81.36678,  77.54083,-120.61843,  84.16921,  75.41768,-116.63572,  85.18117,  72.92966,-114.20876,  85.34715,  71.14436,-113.21083,  82.23533,  77.30037,-121.45730,  85.43826,  75.09886,-118.02648,  86.96790,  71.96317,-116.17654,  86.81740,  69.51742,-115.82127,  82.78418,  77.19217,-122.14483,  86.14853,  75.15368,-119.64706,  87.79596,  72.37493,-118.45884,  87.87458,  70.00139,-118.20849,  83.28738,  77.05657,-123.10732,  86.70465,  75.13385,-121.38568,  88.31469,  72.98057,-120.77558,  88.35462,  71.23906,-120.76551
   0.03333,  46.74020,  76.62279,-172.00441,  37.69584,  75.31765,-173.43923,  59.76555,  43.07790,-158.38521,  72.96745,   9.68061,-179.91257,  55.78456,  77.92793,-170.56959,  76.23712,  49.65549,-147.42961,  83.15799,   9.12484,-155.33310,  45.20454,  83.46527,-168.54851,  42.75388,  98.71859,-160.74039,  42.14548, 109.60973,-155.08936,  43.43988, 125.81618,-146.41584,  43.52618, 130.08419,-144.36723,  43.35299, 134.45029,-142.54312,  40.28172, 120.92244,-148.66387,  27.21338, 122.26393,-150.03144,  17.80120,  99.19731,-159.06428,   8.48028,  76.63639,-168.01555,   8.57187,  74.15716,-166.23046,   8.58175,  70.85191,-164.60801,   9.21985,  68.43486,-164.06101,   6.95907,  73.53072,-166.40139,   4.62715,  68.76365,-166.15537,   4.35799,  65.15685,-166.30688,   4.81743,  63.18765,-166.65598,   6.53075,  73.76507,-167.53167,   4.02510,  69.24184,-167.90329,   3.75520,  65.47323,-169.05191,   4.94544,  63.54216,-170.04432,   6.27679,  74.05160,-168.33108,   3.77791,  70.24954,-169.33759,   3.39691,  67.16120,-170.80876,   4.38308,  65.30758,-171.94635,   6.13954,  74.51600,-169.31265,   3.72483,  71.31588,-170.81832,   3.21921,  69.06971,-172.33493,   3.99893,  67.83195,-173.28075,  45.81355, 120.88772,-149.42455,  58.83270, 118.71412,-149.90246,  68.87173,  96.97452,-138.55092,  78.25313,  77.80311,-123.70347,  77.60011,  77.06525,-120.81026,  77.21237,  75.70333,-117.41144,  76.72099,  74.05969,-115.51264,  79.14104,  77.26691,-120.03076,  81.64353,  75.17844,-115.83561,  82.44153,  72.73034,-113.29113,  82.49922,  70.96843,-112.24087,  80.05086,  76.98196,-120.80983,  82.98353,  74.79021,-117.13946,  84.31459,  71.66623,-115.12362,  84.07647,  69.23545,-114.71716,  80.63631,  76.84144,-121.46033,  83.78979,  74.78371,-118.71543,  85.28733,  71.99583,-117.36175,  85.28603,  69.62852,-117.04806,  81.19174,  76.66743,-122.38726,  84.44716,  74.70344,-120.41657,  85.95875,  72.52625,-119.65763,  85.95037,  70.78517,-119.60178
   0.05000,  47.77469,  76.53801,-174.05571,  38.77564,  75.22993,-175.74937,  61.26870,  43.09176,-161.11048,  74.44707,   9.80085,-182.81630,  56.77374,  77.84609,-172.36205,  76.72866,  49.83993,-148.47581,  83.33274,   9.09433,-155.49575,  46.13177,  83.34874,-170.58644,  43.45591,  98.55270,-162.75601,  42.70027, 109.42223,-157.08119,  43.79934, 125.60637,-148.33935,  43.84928, 129.86884,-146.27801,  43.65525, 134.23051,-144.44542,  40.68980, 120.73268,-150.69608,  27.70785, 122.19447,-152.64117,  18.23152,  99.69859,-162.95545,   8.81254,  77.75249,-173.23415,   8.74790,  75.19659,-171.55943,   8.59223,  71.82480,-170.08841,   9.14403,  69.37111,-169.61575,   7.13355,  74.61862,-171.84686,   4.68479,  69.90506,-171.94326,   4.34345,  66.31609,-172.27058,   4.77733,  64.35304,-172.68157,   6.77477,  74.91244,-172.98741,   4.19279,  70.47357,-173.69856,   3.90307,  66.76630,-175.02776,   5.10340,  64.85102,-176.03845,   6.57263,  75.23966,-173.78598,   4.04929,  71.54845,-175.09779,   3.68211,  68.53736,-176.72441,   4.68865,  66.71084,-177.88770,   6.50122,  75.74951,-174.75187,   4.10347,  72.67905,-176.53000,   3.63341,  70.51417,-178.17115,   4.43697,  69.29957,-179.12697,  46.24277, 120.67139,-151.28077,  59.24672, 118.36043,-151.19170,  68.09779,  96.53200,-139.04969,  76.11789,  77.46864,-123.29322,  75.27197,  76.81905,-120.42897,  74.64194,  75.55036,-117.03035,  73.98941,  73.96724,-115.12866,  76.76909,  76.99522,-119.56274,  78.95371,  74.93701,-115.17930,  79.52517,  72.52862,-112.53780,  79.46748,  70.79138,-111.44721,  77.71474,  76.66588,-120.27910,  80.35676,  74.47965,-116.39116,  81.47134,  71.36801,-114.23015,  81.13682,  68.95542,-113.78505,  78.33342,  76.49321,-120.88990,  81.25487,  74.41248,-117.91519,  82.58506,  71.61614,-116.41240,  82.49425,  69.25800,-116.04702,  78.93761,  76.28132,-121.77762,  82.00968,  74.27286,-119.57146,  83.40757,  72.07217,-118.67485,  83.34378,  70.33387,-118.58108
   0.06667,  48.89200,  76.50186,-175.99806,  39.94636,  75.20230,-177.96000,  62.81820,  43.12083,-163.79120,  75.94125,   9.92298,-185.67236,  57.83764,  77.80142,-174.03612,  77.26120,  49.97363,-149.51193,  83.36981,   9.03428,-155.81676,  47.14353,  83.27916,-172.51493,  44.24740,  98.43237,-164.66454,  43.34845, 109.28030,-158.96931,  44.25740, 125.44167,-150.16373,  44.27255, 129.69867,-148.09059,  44.05945, 134.05617,-146.25020,  41.19765, 120.59094,-152.63045,  28.33020, 122.18327,-155.14930,  18.85624, 100.27404,-166.65930,   9.43718,  78.94139,-178.15708,   9.22523,  76.32617,-176.58953,   8.91652,  72.90569,-175.26206,   9.38909,  70.42370,-174.85602,   7.61755,  75.79723,-176.98748,   5.07881,  71.14898,-177.40214,   4.68041,  67.58387,-177.88761,   5.09491,  65.62821,-178.35052,   7.32921,  76.14225,-178.13366,   4.69756,  71.79477,-179.15826,   4.40403,  68.14817,-180.64512,   5.61805,  66.24506,-181.66243,   7.17886,  76.50405,-178.92873,   4.65505,  72.92485,-180.52021,   4.31550,  69.98680,-182.28088,   5.34645,  68.18265,-183.45761,   7.17220,  77.05160,-179.87643,   4.81288,  74.10725,-181.90204,   4.38934,  72.01751,-183.64980,   5.21906,  70.82155,-184.60678,  46.76628, 120.49752,-153.03379,  59.72669, 118.03930,-152.37347,  67.30075,  96.11144,-139.56516,  73.86346,  77.13635,-123.04618,  72.82776,  76.57243,-120.22646,  71.95548,  75.39402,-116.84895,  71.13965,  73.87145,-114.96091,  74.27558,  76.71923,-119.27512,  76.12709,  74.68367,-114.73070,  76.46151,  72.31314,-112.01534,  76.28243,  70.60127,-110.89815,  75.25099,  76.34576,-119.92704,  77.58419,  74.15777,-115.84724,  78.46619,  71.05759,-113.56567,  78.02737,  68.66632,-113.09680,  75.89900,  76.14128,-120.49619,  78.56881,  74.03124,-117.31295,  79.71538,  71.22589,-115.68117,  79.52624,  68.87974,-115.27820,  76.54775,  75.89239,-121.34185,  79.41597,  73.83410,-118.91791,  80.68557,  71.60944,-117.89810,  80.55975,  69.87628,-117.77608
   0.08334,  49.80764,  76.51640,-178.06404,  40.92222,  75.23514,-180.29345,  64.10236,  43.13985,-166.66738,  77.15435,  10.02651,-188.71844,  58.69305,  77.79765,-175.83463,  77.53420,  49.97772,-150.85144,  82.91416,   8.87660,-156.75492,  47.95775,  83.25919,-174.56636,  44.84962,  98.36124,-166.69846,  43.81493, 109.18806,-160.98615,  44.54647, 125.32631,-152.12184,  44.52977, 129.57802,-150.03786,  44.30019, 133.93166,-148.19035,  41.53571, 120.50246,-154.69906,  28.80993, 122.23724,-157.78064,  19.38572, 100.91453,-170.38129,  10.03609,  80.17651,-182.97172,   9.68678,  77.51714,-181.50638,   9.23740,  74.06306,-180.31284,   9.63677,  71.55935,-179.96582,   8.09244,  77.03710,-182.00681,   5.48561,  72.46207,-182.71177,   5.04144,  68.92429,-183.33721,   5.44037,  66.97598,-183.84283,   7.87336,  77.42542,-183.15446,   5.21276,  73.17278,-184.46300,   4.92559,  69.58374,-186.08500,   6.15366,  67.68824,-187.09965,   7.77347,  77.81607,-183.94381,   5.26672,  74.34712,-185.78656,   4.96278,  71.47599,-187.66048,   6.01870,  69.68859,-188.84064,   7.82903,  78.39409,-184.87159,   5.52283,  75.56995,-187.11755,   5.15162,  73.54791,-188.95456,   6.00717,  72.36556,-189.90569,  47.11387, 120.36930,-154.91698,  60.00167, 117.75343,-153.68695,  66.22641,  95.72552,-140.33503,  71.26360,  76.82610,-123.20497,  70.04410,  76.34585,-120.44387,  68.93310,  75.25542,-117.10714,  67.95424,  73.79388,-115.24858,  71.43751,  76.45915,-119.41026,  72.94487,  74.43881,-114.73378,  73.03490,  72.10462,-111.96830,  72.73012,  70.41907,-110.83838,  72.43596,  76.04153,-119.99728,  74.44593,  73.84452,-115.75357,  75.08221,  70.75512,-113.37757,  74.53269,  68.38855,-112.90009,  73.10884,  75.80538,-120.52369,  75.51029,  73.65954,-117.15597,  76.45923,  70.84469,-115.41716,  76.16427,  68.51356,-114.99126,  73.79723,  75.52014,-121.32540,  76.44325,  73.40635,-118.70449,  77.57146,  71.15718,-117.57782,  77.37781,  69.43165,-117.43770
   0.10000,  50.58026,  76.56191,-179.98404,  41.76265,  75.31311,-182.48460,  65.16595,  43.12001,-169.48509,  78.14947,  10.08220,-191.68932,  59.39787,  77.81072,-177.48348,  77.63438,  49.92686,-152.12570,  82.16072,   8.68763,-157.77674,  48.63387,  83.26903,-176.47017,  45.32805,  98.32032,-168.58561,  44.16973, 109.12735,-162.85957,  44.74325, 125.24307,-153.94278,  44.69859, 129.48973,-151.84896,  44.45530, 133.83975,-149.99468,  41.77897, 120.45004,-156.62909,  29.22031, 122.33943,-160.25697,  19.88237, 101.59023,-173.84091,  10.64909,  81.41664,-187.39720,  10.17051,  78.72549,-186.02966,   9.58991,  75.24994,-184.96169,   9.91982,  72.72938,-184.66774,   8.59475,  78.29453,-186.62466,   5.93539,  73.79898,-187.59478,   5.45232,  70.29063,-188.34481,   5.83717,  68.34902,-188.88589,   8.44323,  78.71955,-187.77022,   5.76795,  74.56426,-189.33623,   5.49212,  71.02920,-191.07457,   6.73222,  69.13656,-192.07988,   8.39225,  79.13425,-188.55193,   5.91412,  75.77377,-190.62056,   5.64917,  72.96359,-192.59034,   6.72814,  71.18738,-193.76654,   8.50744,  79.73670,-189.45845,   6.26351,  77.02755,-191.90056,   5.94674,  75.06636,-193.81222,   6.82611,  73.89276,-194.75240,  47.35994, 120.26888,-156.66064,  60.14787, 117.48745,-154.87632,  64.94499,  95.35875,-141.10832,  68.40373,  76.51256,-123.53395,  67.01005,  76.11568,-120.84292,  65.66851,  75.11301,-117.56389,  64.52993,  73.71431,-115.74846,  68.34491,  76.19169,-119.73154,  69.50337,  74.18164,-114.95231,  69.34608,  71.88399,-112.15938,  68.91352,  70.22655,-111.02957,  69.35908,  75.72947,-120.25471,  71.03723,  73.51837,-115.87627,  71.41889,  70.44058,-113.43165,  70.75411,  68.10270,-112.95946,  70.05179,  75.46143,-120.73840,  72.17285,  73.27496,-117.21227,  72.91346,  70.45119,-115.38876,  72.50694,  68.13862,-114.95368,  70.77398,  75.13997,-121.49543,  73.18324,  72.96623,-118.70098,  74.15924,  70.69266,-117.48469,  73.89303,  68.97755,-117.33603
   0.11667,  51.17099,  76.72366,-181.86523,  42.42805,  75.52372,-184.63717,  65.97120,  43.14972,-172.35949,  78.91351,  10.17746,-194.68489,  59.91394,  77.92360,-179.09330,  77.50317,  49.87926,-153.45678,  81.05334,   8.52953,-158.99684,  49.13550,  83.39449,-178.33283,  45.65182,  98.39681,-170.43154,  44.38544, 109.18626,-164.69523,  44.82406, 125.28126,-155.73348,  44.75578, 129.52317,-153.63068,  44.50136, 133.86954,-151.76934,  41.90270, 120.52236,-158.52541,  29.53390, 122.57639,-162.67813,  20.31249, 102.38776,-177.15690,  11.22580,  82.74668,-191.56732,  10.62382,  80.03594,-190.29021,   9.91836,  76.55036,-189.33616,  10.18045,  74.01701,-189.08731,   9.07077,  79.65377,-190.97195,   6.36912,  75.24169,-192.17944,   5.85040,  71.76312,-193.03669,   6.22081,  69.82648,-193.60495,   8.98510,  80.10835,-192.11297,   6.30419,  76.05047,-193.90803,   6.04078,  72.56341,-195.74260,   7.28922,  70.66751,-196.73131,   8.98159,  80.54200,-192.88600,   6.53909,  77.28576,-195.15409,   6.31319,  74.52832,-197.20173,   7.41163,  72.75628,-198.36615,   9.15412,  81.16251,-193.77098,   6.97761,  78.56070,-196.38481,   6.71488,  76.65162,-198.35646,   7.61495,  75.48087,-199.28046,  47.47959, 120.28551,-158.37298,  60.14206, 117.33005,-156.05381,  63.44429,  95.10619,-142.00229,  65.28687,  76.29407,-124.14986,  63.73277,  75.98024,-121.53686,  62.17371,  75.06480,-118.32930,  60.88115,  73.73112,-116.56888,  65.00671,  76.01316,-120.35416,  65.81843,  74.00496,-115.50323,  65.41456,  71.74306,-112.70589,  64.85335,  70.11561,-111.58913,  66.02829,  75.50525,-120.81709,  67.37222,  73.27124,-116.33613,  67.49324,  70.20468,-113.85094,  66.70858,  67.90031,-113.39842,  66.73493,  75.20470,-121.25980,  68.56845,  72.96906,-117.60559,  69.09199,  70.13571,-115.72267,  68.56806,  67.84582,-115.29316,  67.48377,  74.84692,-121.97339,  69.64542,  72.60516,-119.03393,  70.45957,  70.30608,-117.74847,  70.11574,  68.60466,-117.60173
   0.13334,  51.50139,  77.00024,-183.66692,  42.83856,  75.86751,-186.70580,  66.41461,  43.20117,-175.29627,  79.34420,  10.27790,-197.70120,  60.16422,  78.13297,-180.62803,  77.06115,  49.82495,-154.81628,  79.53318,   8.39763,-160.36278,  49.38749,  83.63584,-180.11427,  45.75337,  98.59398,-172.19699,  44.40016, 109.36947,-166.45427,  44.73536, 125.44670,-157.45623,  44.64928, 129.68420,-155.34520,  44.38713, 134.02668,-153.47589,  41.85080, 120.72562,-160.34881,  29.69016, 122.95742,-164.99520,  20.59437, 103.31268,-180.27919,  11.65609,  84.16335,-195.42550,  10.93472,  81.44445,-194.23022,  10.10836,  77.95923,-193.37728,  10.30264,  75.41647,-193.16483,   9.40781,  81.11021,-194.99155,   6.67038,  76.78350,-196.40910,   6.11674,  73.33373,-197.35617,   6.47113,  71.39971,-197.94327,   9.38646,  81.58716,-196.12644,   6.70545,  77.62463,-198.12305,   6.45303,  74.17819,-200.03432,   7.70512,  72.27244,-200.99918,   9.42922,  82.03467,-196.89035,   7.02636,  78.87653,-199.33281,   6.83755,  76.16239,-201.44116,   7.95092,  74.38705,-202.58621,   9.65719,  82.66695,-197.75419,   7.55077,  80.16314,-200.51691,   7.34018,  78.29647,-202.53489,   8.25723,  77.12235,-203.43767,  47.41677, 120.42390,-160.01707,  59.92912, 117.28485,-157.18181,  61.71138,  94.97928,-142.98551,  61.91961,  76.19548,-125.00981,  60.22070,  75.96491,-122.47958,  58.45973,  75.13692,-119.35379,  57.02075,  73.87119,-117.65800,  61.43226,  75.94871,-121.23273,  61.90386,  73.93449,-116.33948,  61.25724,  71.70841,-113.55905,  60.56814,  70.11349,-112.46723,  62.45296,  75.39390,-121.64049,  63.46465,  73.12867,-117.08844,  63.32234,  70.07394,-114.58985,  62.41468,  67.80878,-114.17062,  63.16753,  75.06017,-122.04505,  64.71019,  72.76716,-118.29333,  65.01076,  69.92434,-116.37618,  64.36505,  67.66210,-115.96651,  63.93563,  74.66587,-122.71775,  65.84221,  72.34831,-119.66283,  66.48702,  70.02310,-118.32915,  66.06147,  68.33925,-118.19457
   0.15000,  51.56319,  77.40775,-185.36574,  42.98395,  76.36669,-188.66353,  66.47902,  43.29535,-178.30182,  79.42605,  10.38601,-200.71715,  60.14242,  78.44882,-182.06795,  76.31082,  49.78717,-156.17993,  77.59891,   8.32370,-161.85607,  49.38788,  84.01183,-181.79147,  45.64300,  98.93451,-173.85891,  44.23046, 109.70104,-168.11368,  44.49806, 125.76440,-159.08864,  44.40080, 129.99804,-156.97038,  44.13476, 134.33658,-155.09247,  41.64269, 121.08434,-162.07531,  29.70462, 123.50929,-167.17956,  20.73148, 104.39139,-183.18701,  11.92578,  85.69358,-198.96205,  11.08788,  82.97649,-197.84096,  10.14303,  79.50056,-197.07788,  10.26852,  76.95123,-196.89442,   9.58999,  82.68913,-198.67555,   6.82076,  78.44857,-200.27941,   6.23125,  75.02624,-201.30142,   6.56723,  73.09256,-201.90035,   9.63152,  83.18194,-199.80308,   6.95348,  79.31202,-201.97740,   6.70889,  75.89906,-203.94882,   7.95930,  73.97746,-204.88398,   9.71944,  83.63873,-200.55757,   7.35816,  80.57239,-203.15277,   7.20304,  77.89263,-205.30735,   8.32614,  76.10716,-206.42685,  10.00118,  84.27718,-201.40077,   7.96570,  81.86225,-204.29276,   7.80432,  80.02893,-206.34555,   8.73421,  78.84580,-207.22309,  47.19125, 120.70899,-161.57175,  59.53111, 117.37516,-158.24536,  59.79629,  95.00308,-144.04431,  58.36662,  76.23748,-126.10530,  56.53809,  76.09074,-123.66062,  54.59105,  75.35127,-120.62428,  53.01439,  74.15682,-119.00073,  57.68567,  76.02091,-122.35641,  57.82546,  73.99657,-117.44664,  56.94224,  71.80824,-114.70154,  56.12781,  70.24906,-113.64496,  58.69814,  75.41864,-122.71429,  59.38173,  73.11790,-118.11916,  58.97697,  70.07792,-115.63134,  57.94605,  67.85802,-115.25736,  59.41527,  75.05140,-123.08378,  60.66617,  72.69676,-119.26225,  60.74133,  69.84683,-117.33362,  59.97237,  67.61770,-116.95647,  60.19601,  74.62065,-123.71850,  61.84268,  72.22328,-120.57530,  62.31359,  69.87333,-119.21257,  61.80446,  68.21124,-119.09932
   0.16667,  53.16204,  77.96148,-185.77214,  44.67279,  77.03929,-189.32809,  67.98094,  43.47505,-180.20290,  80.98444,  10.53706,-202.54333,  61.65128,  78.88367,-182.21619,  77.21303,  49.96891,-156.23802,  77.50254,   8.47893,-161.85892,  50.94161,  84.53920,-182.17708,  47.12798,  99.43770,-174.23183,  45.68425, 110.20132,-168.48889,  45.91867, 126.25602,-159.44755,  45.81637, 130.48668,-157.32357,  45.54966, 134.82149,-155.43717,  43.08500, 121.61896,-162.52071,  31.38226, 124.25502,-168.04777,  22.52968, 105.65019,-184.71336,  13.83488,  87.37458,-201.03520,  12.88317,  84.66925,-199.97832,  11.82136,  81.21126,-199.29133,  11.87620,  78.65804,-199.12839,  11.41585,  84.42693,-200.87890,   8.61462,  80.27150,-202.64210,   7.98560,  76.87432,-203.72278,   8.29936,  74.93834,-204.32630,  11.51780,  84.92871,-201.99860,   8.84122,  81.14665,-204.32409,   8.59766,  77.75879,-206.33846,   9.83944,  75.81507,-207.23876,  11.64920,  85.38994,-202.74402,   9.32679,  82.40707,-205.46836,   9.19845,  79.75157,-207.65451,  10.32433,  77.94879,-208.74303,  11.98245,  86.02874,-203.56795,  10.01417,  83.69160,-206.56834,   9.89600,  81.88147,-208.64452,  10.83333,  80.68345,-209.49348,  48.61027, 121.16285,-161.85405,  60.75682, 117.62213,-158.06249,  59.50664,  95.20474,-143.98600,  56.44785,  76.45655,-126.23355,  54.50424,  76.39226,-123.87565,  52.38653,  75.74009,-120.93505,  50.68106,  74.61933,-119.39111,  55.58610,  76.26311,-122.52078,  55.40241,  74.22094,-117.61984,  54.28926,  72.07068,-114.92881,  53.35263,  70.55009,-113.91825,  56.58353,  75.61328,-122.83506,  56.94345,  73.26944,-118.22498,  56.27819,  70.24595,-115.77333,  55.12482,  68.07783,-115.45782,  57.29819,  75.21259,-123.17323,  58.25700,  72.78943,-119.31032,  58.10544,  69.93395,-117.39443,  57.21284,  67.74386,-117.06383,  58.08540,  74.74611,-123.77379,  59.46812,  72.26287,-120.57062,  59.76160,  69.88907,-119.19950,  59.16784,  68.25342,-119.11785
