time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667, 124.92448,  88.39439,-162.46352, 117.38447,  88.34980,-168.44572, 119.94653,  45.64572,-173.84315, 146.94913,  19.98679,-195.56439, 132.46450,  88.43899,-156.48131, 135.28991,  45.87749,-150.16703, 132.94086,   7.68827,-170.05171, 123.09256,  95.91639,-160.21062, 118.73912, 112.18161,-154.27597, 115.58700, 123.40675,-149.31722, 111.10174, 139.83257,-140.87537, 110.34259, 144.36904,-139.30574, 110.06618, 149.14843,-138.46868, 110.16561, 135.11256,-145.15387, 101.85801, 136.71693,-155.66696,  92.39414, 118.98816,-174.07044,  75.35270, 101.59386,-185.14248,  72.24202, 101.24447,-184.85315,  68.57922, 100.27883,-184.83402,  66.38299,  98.88370,-184.43700,  71.70090, 101.31492,-186.55569,  67.55839,  99.28993,-189.48803,  64.79430,  96.96642,-190.39457,  63.51951,  95.28381,-190.40178,  72.58319, 100.81406,-187.31390,  69.02020,  98.56860,-190.58474,  66.78176,  95.42864,-191.86141,  66.03117,  93.04181,-191.38509,  73.30812, 100.52058,-187.78382,  70.72972,  98.28127,-191.14615,  69.22695,  95.38870,-192.52685,  68.61206,  93.02247,-192.28247,  74.30258, 100.16800,-188.17467,  72.53266,  97.92744,-191.52813,  71.70981,  95.58910,-192.90374,  71.43350,  93.83263,-192.68886, 114.75617, 134.59770,-141.71306, 123.10198, 131.66095,-131.52297, 115.48838, 109.38828,-117.79257, 108.26152,  86.89596,-105.24545, 105.23352,  86.74919,-106.07716, 101.65824,  85.93628,-107.02874,  99.60588,  84.90352,-108.31272, 104.48373,  86.02953,-104.62240, 100.12635,  82.91719,-103.53328,  97.40055,  80.46389,-104.17523,  96.22690,  78.98067,-105.11274, 105.29151,  85.22658,-104.06837, 101.47852,  81.75681,-102.70556,  99.27189,  78.40354,-103.32703,  98.71513,  76.51459,-104.94229, 105.96772,  84.74227,-103.69332, 103.11880,  81.22640,-102.11531, 101.61503,  78.03747,-102.43314, 101.16304,  76.05826,-103.81708, 106.92395,  84.23961,-103.37871, 104.87732,  80.71912,-101.70063, 104.01813,  78.01755,-101.67717, 103.86524,  76.56216,-102.70971
   0.03333, 125.05254,  88.17895,-162.17604, 117.30191,  88.07792,-167.88203, 120.35884,  45.52889,-174.17241, 146.98312,  19.82160,-196.29971, 132.80316,  88.27997,-156.47005, 135.59452,  45.73841,-150.00797, 132.91745,   7.69169,-170.12300, 123.23087,  95.67628,-159.83435, 118.91318, 111.85292,-153.63730, 115.80595, 122.98718,-148.45056, 111.42910, 139.24177,-139.62891, 110.69487, 143.76339,-138.00550, 110.44193, 148.54494,-137.17340, 110.38942, 134.56042,-143.92595, 101.55284, 136.18720,-153.99489,  92.80352, 118.10977,-172.41276,  76.44471, 100.11609,-183.55635,  73.35322,  99.63541,-183.25028,  69.73481,  98.51536,-183.21101,  67.60183,  97.02876,-182.80130,  72.80064,  99.68118,-184.94999,  68.73235,  97.47949,-187.85880,  66.06455,  95.03998,-188.74891,  64.86223,  93.30483,-188.74810,  73.69938,  99.21743,-185.71248,  70.21764,  96.81971,-188.96268,  68.10768,  93.58641,-190.22510,  67.46150,  91.17038,-189.74299,  74.43361,  98.95449,-186.18601,  71.93484,  96.60457,-189.53293,  70.54883,  93.64953,-190.90345,  70.03613,  91.25960,-190.65402,  75.44007,  98.64401,-186.58185,  73.74912,  96.32712,-189.92419,  73.01894,  93.95464,-191.29364,  72.81849,  92.18825,-191.07596, 115.12137, 134.07200,-140.67824, 123.92094, 131.10624,-130.88605, 116.83007, 108.71296,-117.07218, 110.16480,  86.15560,-104.33239, 107.13407,  85.94315,-105.13961, 103.56723,  85.05328,-106.05326, 101.52460,  83.96602,-107.30743, 106.40766,  85.23096,-103.66938, 102.11459,  82.05729,-102.50450,  99.42867,  79.54698,-103.09177,  98.27512,  78.02995,-103.99965, 107.23362,  84.45047,-103.11009, 103.49320,  80.93303,-101.67055, 101.34260,  77.53252,-102.22851, 100.80826,  75.61122,-103.81291, 107.92106,  83.98365,-102.73327, 105.14687,  80.44035,-101.08501, 103.69823,  77.22096,-101.34687, 103.27191,  75.21457,-102.69947, 108.88835,  83.50261,-102.41868, 106.91710,  79.97040,-100.67622, 106.10663,  77.25456,-100.60844, 105.97247,  75.78218,-101.61927
   0.05000, 125.20786,  87.94823,-161.85400, 117.27462,  87.79851,-167.30210, 120.79578,  45.44837,-174.60974, 147.08742,  19.69146,-197.07450, 133.14111,  88.09794,-156.40590, 135.90562,  45.57694,-149.79863, 132.86307,   7.68956,-170.16094, 123.40186,  95.42303,-159.42960, 119.13604, 111.50929,-152.96706, 116.09479, 122.54487,-147.53608, 111.87823, 138.60490,-138.29021, 111.17528, 143.10830,-136.60354, 110.94383, 147.89075,-135.77030, 110.71573, 133.96822,-142.60417, 101.41579, 135.61037,-152.24417,  93.32665, 117.26427,-170.69814,  77.84171,  98.59778,-181.98269,  74.78412,  97.94547,-181.65449,  71.23401,  96.62580,-181.59027,  69.19016,  95.02230,-181.16729,  74.21710,  97.96265,-183.34996,  70.25582,  95.54186,-186.23226,  67.72121,  92.95888,-187.10674,  66.61731,  91.15953,-187.09999,  75.13448,  97.55062,-184.11991,  71.76717,  94.96718,-187.34829,  69.83089,  91.62317,-188.60058,  69.32372,  89.17429,-188.11786,  75.87862,  97.32955,-184.59934,  73.48934,  94.84865,-187.93165,  72.25958,  91.82288,-189.29694,  71.88249,  89.40781,-189.04784,  76.89778,  97.07607,-185.00319,  75.31325,  94.67308,-188.33687,  74.70589,  92.26545,-189.70495,  74.60564,  90.49037,-189.48884, 115.59618, 133.50839,-139.57972, 124.85737, 130.53160,-130.22642, 118.34696, 108.01017,-116.33533, 112.15674,  85.39922,-103.45167, 109.12395,  85.13494,-104.23551, 105.56405,  84.18459,-105.11465, 103.52867,  83.05468,-106.34265, 108.41772,  84.42886,-102.75257, 104.17825,  81.20779,-101.52325, 101.52444,  78.65334,-102.06435, 100.38649,  77.11016,-102.94752, 109.25847,  83.66638,-102.19047, 105.57833,  80.11248,-100.68657, 103.47265,  76.67588,-101.19230, 102.95503,  74.72978,-102.75177, 109.95501,  83.21355,-101.81332, 107.24277,  79.64978,-100.10712, 105.83838,  76.40749,-100.32360, 105.43155,  74.38042,-101.65112, 110.93116,  82.74977,-101.50017, 109.02224,  79.20950, -99.70545, 108.25100,  76.48338, -99.60227, 108.13099,  74.99814,-100.59592
   0.06667, 125.42026,  87.70353,-161.51800, 117.32361,  87.51077,-166.71875, 121.34942,  45.43656,-175.25623, 147.31304,  19.62050,-198.03244, 133.51690,  87.89629,-156.31726, 136.27356,  45.39244,-149.59732, 132.73401,   7.69786,-170.23526, 123.62166,  95.14701,-158.99380, 119.40516, 111.13411,-152.25856, 116.43594, 122.07483,-146.60053, 112.39473, 137.96099,-136.98343, 111.72414, 142.44903,-135.24350, 111.51185, 147.23310,-134.41454, 111.11849, 133.36544,-141.30924, 101.37164, 135.02427,-150.49413,  93.90167, 116.47555,-169.00648,  79.27952,  97.23555,-180.47723,  76.26754,  96.40768,-180.12420,  72.79972,  94.88619,-180.03333,  70.85520,  93.16658,-179.59831,  75.68495,  96.39801,-181.81445,  71.84284,  93.76355,-184.67056,  69.45270,  91.04229,-185.53236,  68.45396,  89.18252,-185.52273,  76.61737,  96.04192,-182.59418,  73.37438,  93.28034,-185.80231,  71.62175,  89.83493,-187.05022,  71.26037,  87.35937,-186.57251,  77.36854,  95.86555,-183.08111,  75.09510,  93.26284,-186.40153,  74.02850,  90.17608,-187.76752,  73.79289,  87.74252,-187.52445,  78.39682,  95.67236,-183.49505,  76.92229,  93.19363,-186.82374,  76.44155,  90.75973,-188.19569,  76.44530,  88.98110,-187.98561, 116.12015, 132.92871,-138.48608, 125.88190, 129.95574,-129.65518, 119.88260, 107.32676,-115.70884, 114.13602,  84.66492,-102.70960, 111.10039,  84.35856,-103.46668, 107.54490,  83.35925,-104.30859, 105.51310,  82.19478,-105.50993, 110.41414,  83.65802,-101.97178, 106.22214,  80.39975,-100.67933, 103.59391,  77.81006,-101.17593, 102.46697,  76.24585,-102.03591, 111.26809,  82.91046,-101.40954, 107.64139,  79.32835, -99.84400, 105.57174,  75.86324,-100.30161, 105.06438,  73.89709,-101.83917, 111.97280,  82.46915,-101.03389, 109.31561,  78.89018, -99.27373, 107.94722,  75.63008, -99.44951, 107.55341,  73.58637,-100.75528, 112.95671,  82.01953,-100.72438, 111.10319,  78.47412, -98.88236, 110.36442,  75.74036, -98.74826, 110.25378,  74.24478, -99.72739
   0.08334, 125.72675,  87.45186,-161.16615, 117.47136,  87.21952,-166.10935, 121.92528,  45.44320,-175.81689, 147.53666,  19.55603,-198.90900, 133.98213,  87.68420,-156.22295, 136.75170,  45.19351,-149.42549, 132.68177,   7.68760,-170.30795, 123.92745,  94.84872,-158.50891, 119.75641, 110.72274,-151.48412, 116.85561, 121.57817,-145.62973, 112.96598, 137.33417,-135.73988, 112.32186, 141.81105,-133.96161, 112.12270, 146.59661,-133.13796, 111.60174, 132.77026,-140.07231, 101.38569, 134.44416,-148.72942,  94.55534, 115.70791,-167.29988,  80.84133,  95.95671,-179.02075,  77.89562,  94.92889,-178.63550,  74.53785,  93.17997,-178.51070,  72.71738,  91.33291,-178.06159,  77.29370,  94.88867,-180.31850,  73.59920,  92.01857,-183.14211,  71.38425,  89.14872,-183.98988,  70.51134,  87.22669,-183.97850,  78.23779,  94.59907,-181.11160,  75.14505,  91.64363,-184.29526,  73.60935,  88.09544,-185.54100,  73.41911,  85.59907,-185.07287,  78.99282,  94.47534,-181.60869,  76.85544,  91.74335,-184.91561,  75.97892,  88.59917,-186.28581,  75.90841,  86.15419,-186.05360,  80.02635,  94.35287,-182.03629,  78.67773,  91.79771,-185.36057,  78.34232,  89.34389,-186.74023,  78.46675,  87.56844,-186.54024, 116.68754, 132.34914,-137.40120, 126.87429, 129.39359,-129.05794, 121.38734, 106.66493,-115.06280, 116.11236,  83.94638,-101.96302, 113.07255,  83.59425,-102.68249, 109.52083,  82.54187,-103.47413, 107.49064,  81.34001,-104.64087, 112.41215,  82.89991,-101.17313, 108.27679,  79.60192, -99.80140, 105.67632,  76.97447,-100.24282, 104.55980,  75.38773,-101.07464, 113.28182,  82.16879,-100.61339, 109.71888,  78.55683, -98.97187, 107.68851,  75.06151, -99.37213, 107.18896,  73.07401,-100.88459, 113.99627,  81.74015,-100.24149, 111.40485,  78.14548, -98.41644, 110.07620,  74.86680, -98.54488, 109.69378,  72.80547, -99.82611, 114.98924,  81.30606, -99.93883, 113.20187,  77.75592, -98.04140, 112.49954,  75.01450, -97.87228, 112.39694,  73.50805, -98.83548
   0.10000, 126.14761,  87.20323,-160.81651, 117.77174,  86.94111,-165.55115, 122.62266,  45.52310,-176.52162, 147.92852,  19.56679,-199.87152, 134.52347,  87.46535,-156.08187, 137.31809,  44.98572,-149.22581, 132.54697,   7.67500,-170.30852, 124.33668,  94.54547,-158.01935, 120.20358, 110.27645,-150.65842, 117.39626, 121.01324,-144.54539, 113.75604, 136.56358,-134.24366, 113.15369, 141.01934,-132.39893, 112.97109, 145.80371,-131.56462, 112.26004, 132.05389,-138.58937, 101.65941, 133.73800,-146.76894,  95.33778, 114.86595,-165.38198,  82.63730,  94.63472,-177.42181,  79.78406,  93.38381,-177.00190,  76.57079,  91.38426,-176.84187,  74.90249,  89.40152,-176.38040,  79.16190,  93.30869,-178.67633,  75.65395,  90.18436,-181.46783,  73.65056,  87.16008,-182.30502,  72.92615,  85.17729,-182.29541,  80.11330,  93.09663,-179.48506,  77.20641,  89.93518,-182.64586,  75.92573,  86.28862,-183.89579,  75.93231,  83.78209,-183.44360,  80.86804,  93.03373,-179.99387,  78.89488,  90.16840,-183.28999,  78.23892,  86.97551,-184.67084,  78.35746,  84.53080,-184.45588,  81.90139,  92.99280,-180.43719,  80.70096,  90.36377,-183.76069,  80.53203,  87.90036,-185.15365,  80.79367,  86.13825,-184.96871, 117.45819, 131.64897,-136.14133, 128.03896, 128.71758,-128.29472, 123.14388, 105.88201,-114.25416, 118.26961,  83.11333,-101.08635, 115.22304,  82.73581,-101.76308, 111.66843,  81.65412,-102.50040, 109.63125,  80.43061,-103.63192, 114.58736,  82.04748,-100.24040, 110.49305,  78.73130, -98.79156, 107.90496,  76.08344, -99.18057, 106.78839,  74.48352, -99.98670, 115.46931,  81.32610, -99.68726, 111.95305,  77.70168, -97.97410, 109.94145,  74.19011, -98.32360, 109.43554,  72.18890, -99.81573, 116.19152,  80.90486, -99.32195, 113.64898,  77.30553, -97.43827, 112.34113,  74.01718, -97.52674, 111.95589,  71.94453, -98.78872, 117.19133,  80.47956, -99.02952, 115.45341,  76.93066, -97.08442, 114.77207,  74.18582, -96.88733, 114.66704,  72.67209, -97.83880
   0.11667, 126.71492,  86.96296,-160.48308, 118.23412,  86.67574,-165.02556, 123.49466,  45.73925,-177.51014, 148.52690,  19.71098,-201.07389, 135.19572,  87.25018,-155.94060, 138.01201,  44.77833,-149.04529, 132.26471,   7.69583,-170.28654, 124.87817,  94.23065,-157.51340, 120.76468, 109.79066,-149.78714, 118.04333, 120.40412,-143.42495, 114.64365, 135.76277,-132.75986, 114.07962, 140.19924,-130.85744, 113.90873, 144.98290,-130.01663, 113.02964, 131.30422,-137.11609, 102.08554, 133.00720,-144.82592,  96.18242, 114.00624,-163.44524,  84.36536,  93.43124,-175.79793,  81.60945,  91.98707,-175.34916,  78.54145,  89.77328,-175.16096,  77.01776,  87.67905,-174.69190,  80.97067,  91.88080,-177.01562,  77.64397,  88.54399,-179.78300,  75.83853,  85.39633,-180.61568,  75.25022,  83.36897,-180.61107,  81.92295,  91.73897,-177.83856,  79.19327,  88.40827,-180.98350,  78.14523,  84.69146,-182.24316,  78.32774,  82.18826,-181.80967,  82.67310,  91.73069,-178.35787,  80.85299,  88.75960,-181.64842,  80.39565,  85.53860,-183.04398,  80.68239,  83.10621,-182.84873,  83.70062,  91.76278,-178.81527,  82.63502,  89.08001,-182.14179,  82.61397,  86.61990,-183.55056,  82.99685,  84.87842,-183.38219, 118.31805, 130.91320,-134.86722, 129.30132, 128.01023,-127.58330, 124.94206, 105.08255,-113.51629, 120.46385,  82.26323,-100.29561, 117.41055,  81.86873,-100.93110, 113.85158,  80.76755,-101.61673, 111.80548,  79.52889,-102.71518, 116.79745,  81.18627, -99.39657, 112.73661,  77.86066, -97.87685, 110.15541,  75.19949, -98.21784, 109.03565,  73.59023, -99.00063, 117.68956,  80.47184, -98.85076, 114.21147,  76.84199, -97.07243, 112.21100,  73.31984, -97.37649, 111.69483,  71.30808, -98.85080, 118.41822,  80.05579, -98.49239, 115.91584,  76.45620, -96.55619, 114.62142,  73.16177, -96.60951, 114.22917,  71.08040, -97.85484, 119.42356,  79.63647, -98.21043, 117.72627,  76.09113, -96.22341, 117.05958,  73.34453, -96.00227, 116.94902,  71.82502, -96.94384
   0.13334, 127.43984,  86.71570,-160.18048, 118.84302,  86.40619,-164.49782, 124.43459,  45.97505,-178.40436, 149.17818,  19.85386,-202.16929, 136.03667,  87.02521,-155.86314, 138.83607,  44.56091,-148.91468, 132.08618,   7.68442,-170.21956, 125.59101,  93.89665,-157.01382, 121.52629, 109.26177,-148.88235, 118.90612, 119.73811,-142.25590, 115.75575, 134.89004,-131.22484, 115.23071, 139.30467,-129.26145, 115.06995, 144.08656,-128.40863, 114.02585, 130.48719,-135.59324, 102.73485, 132.21426,-142.77972,  97.23669, 113.07765,-161.38410,  86.20861,  92.25900,-174.05406,  83.55303,  90.64420,-173.58248,  80.62978,  88.24416,-173.37430,  79.24423,  86.05628,-172.90433,  82.89947,  90.51243,-175.24137,  79.74703,  86.99982,-177.99515,  78.12741,  83.75386,-178.83258,  77.66498,  81.69414,-178.83857,  83.84743,  90.43628,-176.07788,  81.28533,  86.96964,-179.21690,  80.45082,  83.20577,-180.49624,  80.79275,  80.71510,-180.08774,  84.58956,  90.47847,-176.60697,  82.91115,  87.42796,-179.90018,  82.63384,  84.19645,-181.31863,  83.07221,  81.78483,-181.14905,  85.60687,  90.57754,-177.07740,  84.66325,  87.86157,-180.41380,  84.77441,  85.41645,-181.84429,  85.26588,  83.70055,-181.69662, 119.39494, 130.11004,-133.54183, 130.69888, 127.22880,-126.75696, 126.87500, 104.21335,-112.67755, 122.85459,  81.34228, -99.39926, 119.79508,  80.92524, -99.98882, 116.23347,  79.79821,-100.61622, 114.17957,  78.53951,-101.67668, 119.20764,  80.25057, -98.44086, 115.18840,  76.91258, -96.83986, 112.61856,  74.23390, -97.12502, 111.49754,  72.61238, -97.88019, 120.11157,  79.54543, -97.90245, 116.68044,  75.90854, -96.04886, 114.69691,  72.37259, -96.29896, 114.17209,  70.34699, -97.75111, 120.84765,  79.13631, -97.55134, 118.39415,  75.53656, -95.55384, 117.11875,  72.23431, -95.56485, 116.72147,  70.14152, -96.78928, 121.85932,  78.72498, -97.28050, 120.21122,  75.18456, -95.24392, 119.56406,  72.43581, -94.99333, 119.44936,  70.90876, -95.92212
   0.15000, 128.29233,  86.45871,-159.93666, 119.59634,  86.14134,-164.05003, 125.45799,  46.31152,-179.49544, 149.96337,  20.09827,-203.40539, 136.98831,  86.77608,-155.82330, 139.77219,  44.32945,-148.76155, 131.83881,   7.66161,-170.01867, 126.45007,  93.55918,-156.58982, 122.46663, 108.73065,-148.06408, 119.96973, 119.05880,-141.16308, 117.10819, 133.96904,-129.73127, 116.62792, 138.35727,-127.69843, 116.47757, 143.13624,-126.82758, 115.25106, 129.63091,-134.11215, 103.68471, 131.37831,-140.84127,  98.49552, 112.11537,-159.40398,  88.23577,  91.11952,-172.42220,  85.69161,  89.34010,-171.92923,  82.92450,  86.76304,-171.70396,  81.68295,  84.48974,-171.23693,  85.02247,  89.18425,-173.57980,  82.05027,  85.51094,-176.32433,  80.62033,  82.17970,-177.17217,  80.28504,  80.09560,-177.19300,  85.96062,  89.17450,-174.43066,  83.56897,  85.58703,-177.56841,  82.94768,  81.79136,-178.87483,  83.44780,  79.32263,-178.49735,  86.69072,  89.26727,-174.96994,  85.15316,  86.15092,-178.27026,  85.05321,  82.92216,-179.71825,  85.64115,  80.54053,-179.58022,  87.69284,  89.43317,-175.45394,  86.86745,  86.69629,-178.80457,  87.10679,  84.27639,-180.26198,  87.70473,  82.59261,-180.13936, 120.69956, 129.27082,-132.27865, 132.28174, 126.39741,-125.97692, 129.04643, 103.28966,-111.90116, 125.43458,  80.37423, -98.58200, 122.37045,  79.93406, -99.12921, 118.80828,  78.78055, -99.70304, 116.74894,  77.50186,-100.72847, 121.80726,  79.26622, -97.56933, 117.83022,  75.91406, -95.89430, 115.27397,  73.21747, -96.12835, 114.15364,  71.58389, -96.85813, 122.72250,  78.57041, -97.03793, 119.33865,  74.92474, -95.11593, 117.37455,  71.37484, -95.31676, 116.84396,  69.33622, -96.74844, 123.46562,  78.16829, -96.69362, 121.06092,  74.56685, -94.64059, 119.80646,  71.25669, -94.61306, 119.40675,  69.15321, -95.81824, 124.48328,  77.76514, -96.43312, 122.88402,  74.22834, -94.35181, 122.25759,  71.47735, -94.07452, 122.14064,  69.94336, -94.99151
   0.16667, 129.22948,  86.18997,-159.74896, 120.42788,  85.87038,-163.63102, 126.48748,  46.83843,-180.92618, 150.76707,  20.50559,-204.93488, 138.03107,  86.50956,-155.86690, 140.79771,  44.08721,-148.65413, 131.52149,   7.64226,-169.75037, 127.41764,  93.20909,-156.21893, 123.56352, 108.17555,-147.28134, 121.22075, 118.33933,-140.08843, 118.69653, 132.97702,-128.23278, 118.26862, 137.33507,-126.12472, 118.13019, 142.11041,-125.23222, 116.69912, 128.71069,-132.62245, 104.89223, 130.48183,-138.91334,  99.93047, 111.10322,-157.41774,  90.24365,  90.01792,-170.72707,  87.78846,  88.12051,-170.22310,  85.14352,  85.41868,-169.99211,  84.01157,  83.08721,-169.53348,  87.10792,  87.94978,-171.86753,  84.27321,  84.17110,-174.61445,  82.98563,  80.78646,-175.47878,  82.74471,  78.68959,-175.51624,  88.03561,  87.99045,-172.72889,  85.77236,  84.32748,-175.87463,  85.30822,  80.51981,-177.21108,  85.92383,  78.07291,-176.86338,  88.75445,  88.12122,-173.27536,  87.32116,  84.96909,-176.58861,  87.35052,  81.75266,-178.06690,  88.04712,  79.39896,-177.95876,  89.74236,  88.33685,-173.76890,  89.00271,  85.59653,-177.13669,  89.33430,  83.20358,-178.62029,  90.00916,  81.54757,-178.52084, 122.22375, 128.37217,-131.02824, 134.07895, 125.50656,-125.25265, 131.35214, 102.32684,-111.18751, 128.15557,  79.37519, -97.82465, 125.08900,  78.90176, -98.32872, 121.53097,  77.71010, -98.84765, 119.47094,  76.40418, -99.83673, 124.55247,  78.24035, -96.75675, 120.62984,  74.86318, -95.00540, 118.09683,  72.14069, -95.18624, 116.98292,  70.49107, -95.88928, 125.48115,  77.55730, -96.23215, 122.15765,  73.89416, -94.23939, 120.22535,  70.32430, -94.38840, 119.69592,  68.27000, -95.79793, 126.23249,  77.16488, -95.89456, 123.88928,  73.55627, -93.78385, 122.66717,  70.23461, -93.71551, 122.27216,  68.11842, -94.89979, 127.25727,  76.77342, -95.64433, 125.71913,  73.23731, -93.51628, 125.12283,  70.48265, -93.21051, 125.00879,  68.94076, -94.11453
