time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667,  57.06054,  91.19185, 114.80601,  50.49066,  91.82709, 107.80073,  46.12871,  49.29652, 113.40949,  83.21765,  27.90584, 108.29246,  63.63041,  90.55661, 121.81128,  63.39191,  47.58873, 125.42223,  57.97824,   7.45835, 110.60405,  57.06164,  99.22199, 115.53315,  55.82301, 116.79251, 118.44388,  54.11581, 128.98792, 121.42490,  50.77963, 146.85550, 126.97553,  49.92605, 151.52505, 128.01776,  49.24542, 156.29108, 128.68205,  49.97279, 141.78732, 123.08668,  43.03210, 142.64078, 111.54487,  36.19572, 130.36545,  88.19658,  16.88524, 121.51903,  71.93593,  14.09056, 122.61015,  70.99718,  10.77172, 123.48918,  69.39668,   8.33275, 123.23324,  68.44099,  14.47891, 123.29104,  69.39032,  11.82295, 124.12333,  64.68790,   9.23555, 123.61821,  62.05904,   7.64810, 122.77264,  60.95389,  15.39683, 122.61319,  68.84065,  13.30347, 123.05884,  63.95653,  11.05535, 121.68808,  60.86350,   9.43752, 119.88940,  60.06688,  16.11688, 122.12440,  68.56664,  14.87402, 122.13512,  63.93814,  13.35744, 120.65527,  61.10236,  11.96734, 118.86095,  60.16167,  17.00054, 121.44195,  68.42726,  16.41413, 121.07199,  64.07781,  15.63175, 119.74861,  61.69584,  14.73128, 118.32530,  61.08673,  53.60836, 141.09501, 127.50040,  59.91197, 140.03871, 139.38585,  46.99462, 118.09600, 149.09263,  30.33299,  97.94759, 154.74898,  27.44651,  98.93069, 153.98491,  23.79853,  99.50033, 153.13832,  21.46658,  99.28210, 151.93757,  26.53013,  98.58947, 155.48166,  21.36072,  97.38475, 156.77992,  17.89199,  96.12435, 156.28998,  16.21558,  95.16749, 155.43536,  26.99424,  97.55733, 156.05041,  22.20344,  95.82418, 157.62516,  18.87721,  93.53542, 157.18059,  17.59646,  91.95067, 155.65237,  27.45052,  96.86463, 156.43049,  23.54211,  94.73113, 158.20260,  20.93865,  92.33793, 158.04074,  19.72867,  90.63675, 156.74506,  28.15710,  96.04751, 156.74527,  24.99307,  93.60980, 158.60135,  23.18130,  91.43423, 158.74829,  22.45721,  90.11512, 157.77703
   0.03333,  57.41154,  91.23789, 114.56318,  50.76145,  91.88034, 107.63468,  46.44281,  49.39481, 113.60657,  83.20966,  27.49759, 108.31088,  64.06163,  90.59544, 121.49168,  63.69545,  47.64789, 125.32678,  58.14501,   7.45346, 110.73449,  57.41655,  99.26689, 115.30286,  56.20355, 116.82961, 118.27085,  54.53122, 129.01376, 121.31696,  51.27514, 146.85533, 126.99730,  50.44338, 151.52084, 128.07472,  49.77252, 156.28386, 128.76986,  50.40929, 141.80371, 123.09963,  43.23133, 142.67729, 111.70538,  36.61504, 130.51873,  88.23292,  17.33778, 122.05596,  71.73045,  14.60667, 123.24416,  70.72482,  11.36032, 124.23834,  69.04502,   8.93750, 124.06776,  68.03097,  15.05729, 123.90962,  69.12778,  12.54608, 124.83115,  64.36288,  10.00637, 124.41541,  61.67257,   8.41710, 123.62542,  60.52957,  15.96367, 123.19937,  68.60032,  14.00528, 123.71452,  63.66729,  11.78517, 122.42133,  60.52109,  10.12452, 120.68015,  59.68576,  16.67241, 122.68527,  68.34369,  15.54226, 122.73598,  63.68664,  14.04300, 121.30819,  60.81519,  12.61349, 119.56323,  59.84132,  17.53455, 121.97197,  68.22557,  17.04012, 121.61934,  63.86327,  16.26901, 120.32239,  61.46315,  15.33379, 118.93122,  60.83254,  54.11434, 141.09406, 127.45240,  60.57570, 139.93593, 139.24327,  47.34080, 118.44682, 149.52034,  30.45580,  98.64297, 155.70635,  27.57293,  99.65300, 154.96407,  23.92230, 100.25848, 154.15459,  21.57285, 100.05397, 152.98598,  26.67105,  99.34496, 156.47674,  21.50317,  98.22659, 157.85582,  18.01254,  97.00505, 157.42680,  16.31329,  96.05833, 156.60667,  27.12886,  98.31494, 157.05437,  22.33615,  96.66717, 158.71274,  18.97525,  94.41622, 158.34197,  17.65503,  92.82703, 156.85244,  27.58086,  97.62174, 157.43862,  23.66769,  95.56489, 159.28911,  21.03164,  93.20402, 159.19357,  19.78358,  91.50078, 157.93731,  28.28069,  96.79993, 157.75625,  25.10890,  94.43035, 159.68584,  23.27110,  92.28103, 159.88615,  22.51787,  90.95798, 158.94282
   0.05000,  57.74173,  91.28661, 114.27180,  51.00925,  91.93152, 107.42355,  46.72419,  49.47915, 113.64997,  83.18494,  27.10563, 108.23022,  64.47420,  90.64170, 121.12004,  63.92704,  47.72220, 125.23721,  58.28140,   7.46330, 110.86076,  57.74740,  99.31461, 115.02223,  56.54353, 116.86826, 118.04712,  54.88628, 129.03805, 121.15815,  51.66960, 146.84597, 126.96512,  50.86056, 151.50642, 128.08106,  50.20606, 156.26593, 128.81473,  50.76163, 141.81052, 123.05613,  43.37417, 142.68299, 111.79650,  36.96668, 130.54495,  88.25559,  17.72506, 122.32949,  71.58739,  15.05652, 123.60244,  70.51943,  11.88297, 124.69785,  68.76512,   9.48057, 124.60312,  67.69418,  15.56501, 124.25457,  68.93431,  13.19640, 125.25646,  64.11295,  10.70905, 124.92133,  61.36313,   9.12340, 124.18171,  60.18204,  16.46110, 123.51688,  68.42735,  14.63625, 124.09553,  63.45036,  12.45180, 122.87374,  60.25110,  10.75810, 121.18542,  59.37465,  17.15941, 122.98120,  68.18676,  16.14129, 123.06978,  63.50451,  14.66649, 121.69093,  60.59670,  13.20690, 119.99174,  59.58716,  18.00157, 122.24158,  68.08799,  17.59925, 121.90711,  63.71480,  16.84501, 120.63617,  61.29549,  15.88223, 119.27506,  60.64120,  54.52705, 141.08892, 127.35479,  61.16841, 139.86983, 139.03902,  47.71788, 118.74461, 149.78010,  30.67232,  99.24319, 156.46633,  27.79038, 100.27862, 155.75609,  24.13534, 100.91756, 154.99362,  21.76701, 100.72854, 153.86106,  26.90722,  99.99504, 157.28451,  21.74781,  98.94808, 158.74871,  18.23792,  97.76198, 158.38186,  16.51649,  96.82679, 157.59547,  27.36188,  98.96542, 157.86532,  22.57574,  97.38751, 159.60843,  19.18494,  95.17121, 159.30783,  17.82558,  93.58303, 157.85283,  27.81167,  98.27082, 158.24964,  23.90316,  96.27577, 160.17608,  21.23986,  93.94398, 160.14125,  19.95478,  92.24315, 158.91954,  28.50685,  97.44421, 158.56501,  25.33726,  95.12884, 160.56283,  23.47874,  93.00237, 160.81026,  22.69718,  91.67906, 159.89064
   0.06667,  58.06207,  91.35201, 113.95687,  51.26305,  91.99460, 107.17447,  47.00130,  49.56510, 113.57056,  83.12837,  26.68267, 108.04210,  64.86109,  90.70941, 120.73927,  64.11122,  47.81750, 125.10454,  58.45578,   7.49265, 110.91802,  58.06231,  99.37908, 114.71715,  56.84704, 116.92179, 117.80036,  55.18631, 129.07331, 120.98018,  51.97687, 146.83778, 126.92268,  51.19255, 151.49209, 128.08105,  50.56307, 156.24807, 128.85823,  51.03642, 141.81887, 123.00010,  43.43425, 142.67546, 111.88308,  37.27355, 130.45766,  88.31756,  18.14321, 122.34557,  71.47159,  15.53534, 123.69118,  70.34447,  12.43386, 124.87367,  68.51923,  10.05518, 124.84492,  67.39297,  16.09772, 124.33103,  68.77261,  13.86906, 125.40156,  63.89956,  11.43781, 125.13656,  61.09251,   9.86053, 124.44124,  59.87388,  16.98509, 123.56997,  68.28523,  15.29204, 124.20290,  63.26842,  13.14999, 123.04387,  60.01755,  11.43213, 121.40279,  59.09941,  17.67409, 123.01590,  68.05992,  16.76723, 123.13687,  63.35557,  15.32343, 121.80138,  60.41219,  13.84230, 120.14325,  59.36638,  18.49806, 122.25393,  67.97936,  18.18808, 121.93506,  63.59750,  17.45600, 120.68749,  61.15929,  16.47227, 119.35354,  60.48067,  54.86240, 141.09051, 127.24380,  61.71565, 139.81615, 138.79906,  48.13105, 118.99390, 149.95499,  30.95234,  99.80210, 157.17506,  28.06828, 100.86409, 156.51441,  24.40637, 101.53720, 155.81707,  22.01584, 101.36834, 154.72883,  27.21061, 100.59420, 158.05973,  22.06884,  99.60359, 159.62192,  18.54116,  98.45155, 159.32356,  16.79633,  97.53116, 158.57205,  27.66560,  99.56191, 158.63553,  22.89687,  98.03752, 160.47151,  19.47922,  95.85435, 160.24063,  18.07757,  94.27529, 158.81615,  28.11545,  98.86406, 159.01383,  24.22338,  96.91435, 161.01838,  21.53681,  94.60925, 161.04026,  20.21260,  92.91752, 159.84804,  28.80806,  98.03152, 159.31914,  25.65287,  95.75434, 161.38256,  23.77813,  93.64738, 161.67118,  22.96665,  92.32907, 160.77049
   0.08334,  58.36760,  91.40641, 113.62898,  51.50836,  92.05255, 106.90783,  47.25452,  49.64216, 113.43457,  83.09474,  26.32946, 107.83723,  65.22684,  90.76027, 120.35014,  64.24790,  47.89945, 124.96813,  58.62776,   7.51713, 110.93187,  58.36984,  99.43262, 114.39830,  57.14813, 116.96344, 117.54593,  55.47955, 129.09321, 120.80375,  52.26008, 146.80432, 126.89816,  51.50007, 151.45193, 128.09883,  50.90282, 156.20560, 128.91463,  51.28723, 141.80213, 122.96215,  43.42944, 142.62742, 112.02190,  37.59940, 130.24924,  88.45595,  18.65673, 122.10951,  71.41241,  16.09565, 123.49672,  70.22979,  13.05386, 124.72905,  68.33827,  10.70025, 124.73846,  67.16020,  16.70231, 124.12862,  68.67123,  14.59799, 125.23714,  63.75162,  12.22492, 125.01221,  60.89178,  10.66395, 124.34258,  59.63827,  17.58805, 123.35398,  68.20265,  16.01541, 124.01662,  63.15061,  13.92709, 122.89350,  59.85253,  12.20414, 121.28024,  58.89543,  18.27302, 122.78927,  67.99193,  17.47139, 122.92743,  63.26899,  16.07155, 121.61669,  60.29343,  14.58778, 119.98274,  59.21385,  19.08647, 122.01447,  67.92869,  18.86752, 121.70325,  63.54079,  18.16947, 120.46889,  61.08594,  17.17997, 119.15101,  60.38467,  55.18410, 141.07267, 127.14065,  62.23226, 139.75779, 138.57348,  48.56101, 119.22860, 150.15845,  31.30282, 100.28407, 157.82802,  28.41502, 101.37387, 157.23216,  24.74506, 102.08228, 156.61693,  22.32929, 101.93670, 155.58239,  27.58956, 101.11167, 158.79622,  22.47473, 100.16981, 160.47283,  18.93039,  99.05172, 160.25324,  17.16045,  98.14836, 159.54080,  28.04739, 100.07487, 159.36157,  23.30650,  98.59559, 161.30348,  19.86377,  96.44534, 161.14876,  18.41557,  94.88027, 159.75575,  28.49888,  99.37261, 159.72963,  24.63407,  97.45956, 161.82041,  21.92669,  95.18030, 161.90202,  20.56001,  93.50176, 160.73947,  29.19012,  98.53337, 160.01926,  26.06016,  96.28579, 162.15238,  24.17223,  94.19678, 162.48255,  23.32823,  92.88662, 161.60005
   0.10000,  58.67831,  91.48445, 113.31427,  51.75176,  92.13907, 106.66332,  47.49351,  49.73907, 113.25434,  83.05832,  26.02029, 107.60647,  65.60485,  90.82983, 119.96522,  64.38886,  48.00641, 124.86520,  58.80375,   7.59235, 110.90650,  58.67742,  99.50859, 114.10496,  57.43863, 117.02314, 117.33536,  55.75218, 129.12822, 120.67480,  52.49944, 146.78370, 126.91128,  51.76533, 151.42556, 128.14977,  51.21250, 156.17918, 128.99653,  51.50436, 141.79605, 122.96241,  43.40299, 142.58270, 112.19839,  37.91876, 130.00184,  88.65678,  19.20300, 121.71146,  71.43608,  16.66892, 123.10259,  70.20105,  13.66773, 124.33865,  68.24811,  11.33766, 124.35150,  67.02418,  17.30750, 123.73014,  68.65352,  15.30256, 124.83455,  63.69166,  12.98537, 124.60998,  60.78633,  11.44762, 123.94174,  59.50371,  18.20037, 122.95252,  68.20377,  16.72851, 123.60954,  63.12072,  14.70242, 122.48528,  59.78443,  12.99463, 120.87437,  58.79670,  18.88795, 122.38579,  68.00752,  18.17925, 122.51710,  63.26955,  16.83474, 121.20418,  60.26953,  15.36843, 119.57178,  59.16407,  19.70061, 121.60893,  67.96162,  19.56683, 121.29010,  63.57084,  18.91396, 120.05285,  61.10503,  17.93519, 118.73604,  60.38691,  55.46584, 141.07124, 127.08053,  62.71420, 139.71471, 138.38257,  49.01979, 119.40320, 150.31858,  31.72638, 100.66714, 158.40934,  28.83467, 101.77931, 157.87718,  25.15787, 102.51567, 157.34064,  22.72019, 102.39069, 156.35601,  28.03998, 101.51753, 159.45717,  22.95446, 100.60594, 161.23651,  19.39846,  99.51362, 161.08688,  17.60774,  98.62521, 160.40836,  28.50206, 100.47559, 160.00946,  23.79205,  99.02305, 162.04450,  20.33165,  96.89765, 161.95420,  18.84376,  95.34764, 160.58640,  28.95607,  99.76890, 160.36574,  25.12195,  97.87592, 162.52999,  22.40070,  95.61552, 162.66028,  20.99828,  93.95067, 161.52082,  29.64718,  98.92381, 160.63818,  26.54622,  96.69099, 162.82840,  24.65074,  94.61420, 163.19080,  23.77931,  93.31308, 162.32168
   0.11667,  58.94135,  91.49891, 112.98527,  51.96247,  92.16856, 106.39077,  47.70657,  49.77305, 113.01214,  82.96390,  25.61247, 107.30942,  65.92023,  90.82926, 119.57977,  64.50187,  48.04142, 124.72980,  58.98057,   7.62421, 110.75484,  58.93734,  99.52023, 113.80405,  57.67352, 117.01464, 117.13239,  55.95803, 129.08984, 120.56393,  52.64581, 146.67875, 126.95529,  51.94344, 151.31533, 128.23139,  51.45286, 156.07131, 129.10291,  51.63496, 141.70604, 122.99161,  43.26836, 142.43881, 112.42856,  38.21200, 129.59214,  88.93475,  19.81921, 120.96785,  71.53103,  17.29792, 122.32920,  70.23802,  14.32532, 123.52734,  68.21886,  12.02007, 123.51240,  66.94881,  17.96157, 122.95400,  68.69996,  16.04610, 124.01298,  63.69305,  13.78935, 123.75151,  60.74357,  12.28349, 123.06237,  59.43445,  18.87013, 122.18202,  68.27245,  17.49403, 122.79779,  63.15752,  15.54493, 121.63696,  59.78805,  13.87160, 120.00527,  58.77573,  19.56653, 121.62046,  68.09313,  18.95122, 121.71934,  63.34134,  17.67852, 120.37787,  60.32268,  16.24916, 118.72623,  59.19758,  20.38684, 120.85074,  68.06779,  20.34341, 120.50661,  63.67709,  19.75088, 119.24999,  61.20585,  18.79840, 117.92046,  60.47590,  55.66404, 140.99169, 127.04548,  63.14870, 139.59219, 138.18712,  49.49230, 119.44683, 150.44394,  32.20548, 100.90682, 158.98772,  29.30974, 102.03649, 158.51807,  25.62696, 102.79454, 158.05822,  23.16945, 102.68659, 157.12205,  28.54539, 101.77230, 160.11256,  23.49162, 100.88018, 161.98955,  19.92751,  99.80732, 161.90663,  18.11885,  98.93125, 161.26045,  29.01280, 100.72562, 160.65124,  24.33667,  99.28950, 162.77415,  20.86378,  97.18284, 162.74442,  19.34055,  95.64647, 161.40034,  29.47004, 100.01505, 160.99547,  25.66982,  98.13332, 163.22825,  22.93961,  95.88682, 163.40371,  21.50578,  94.23421, 162.28574,  30.16191,  99.16518, 161.25058,  27.09339,  96.93963, 163.49325,  25.19439,  94.87141, 163.88501,  24.29878,  93.57856, 163.02820
   0.13334,  59.20118,  91.48724, 112.70303,  52.17399,  92.17480, 106.16190,  47.95020,  49.77862, 112.79952,  82.93474,  25.23696, 107.04428,  66.22837,  90.79967, 119.24417,  64.64802,  48.04481, 124.61618,  59.18709,   7.66112, 110.52113,  59.19208,  99.50503, 113.55559,  57.89124, 116.97368, 117.00286,  56.13389, 129.01020, 120.54727,  52.73829, 146.51239, 127.13006,  52.05750, 151.14184, 128.44320,  51.62474, 155.90093, 129.32830,  51.71507, 141.55912, 123.14527,  43.04197, 142.22468, 112.82784,  38.54149, 129.04218,  89.40713,  20.62205, 119.90120,  71.77481,  18.09764, 121.20571,  70.43030,  15.13649, 122.33266,  68.35412,  12.85232, 122.26524,  67.04819,  18.77433, 121.82913,  68.89737,  16.91991, 122.81032,  63.85178,  14.71529, 122.48287,  60.86964,  13.24297, 121.75546,  59.54320,  19.70322, 121.07001,  68.49107,  18.39767, 121.61688,  63.34987,  16.52336, 120.39218,  59.96064,  14.89578, 118.72195,  58.93667,  20.41231, 120.51958,  68.32770,  19.87082, 120.56651,  63.56614,  18.67039, 119.17641,  60.53989,  17.28884, 117.48966,  59.40717,  21.24657, 119.76459,  68.32208,  21.27899, 119.38200,  63.93448,  20.74832, 118.09371,  61.46549,  19.83149, 116.74100,  60.73249,  55.81942, 140.85845, 127.12534,  63.51998, 139.41823, 138.11361,  49.95713, 119.42295, 150.71521,  32.71506, 101.02269, 159.64292,  29.81563, 102.16719, 159.23612,  26.12780, 102.94365, 158.85398,  23.65123, 102.85008, 157.96783,  29.08274, 101.90121, 160.84502,  24.06420, 101.02605, 162.82188,  20.49420,  99.96983, 162.80827,  18.66867,  99.10422, 162.19631,  29.55616, 100.85061, 161.37065,  24.91767,  99.42891, 163.58392,  21.43514,  97.33831, 163.61828,  19.87767,  95.81342, 162.30062,  30.01702, 100.13681, 161.70319,  26.25441,  98.26513, 164.00698,  23.51792,  96.03060, 164.23088,  22.05391,  94.38831, 163.13708,  30.70998,  99.28294, 161.94137,  27.67752,  97.06404, 164.23902,  25.77730,  95.00326, 164.66277,  24.85840,  93.71739, 163.82025
   0.15000,  59.45929,  91.42544, 112.45679,  52.39176,  92.13841, 105.96200,  48.21487,  49.73607, 112.58993,  82.93227,  24.83067, 106.77981,  66.52682,  90.71247, 118.95158,  64.76405,  47.99910, 124.59033,  59.33336,   7.67235, 110.32164,  59.43914,  99.43786, 113.35829,  58.09344, 116.87509, 116.94462,  56.29133, 128.86990, 120.60601,  52.80810, 146.28405, 127.37391,  52.14768, 150.90810, 128.71616,  51.77804, 155.67257, 129.60091,  51.77834, 141.35043, 123.36649,  42.82518, 141.94377, 113.28661,  38.88710, 128.43774,  89.94906,  21.45700, 118.72400,  72.13341,  18.91647, 119.93160,  70.73004,  15.95664, 120.93790,  68.59094,  13.69698, 120.78221,  67.25038,  19.59875, 120.55311,  69.19881,  17.79745, 121.40450,  64.11058,  15.65225, 120.96715,  61.09934,  14.22420, 120.17623,  59.76090,  20.55658, 119.81680,  68.81854,  19.31847, 120.24942,  63.64986,  17.53705, 118.91949,  60.25020,  15.97738, 117.18593,  59.22580,  21.28450, 119.28588,  68.67458,  20.81894, 119.24756,  63.90492,  19.71012, 117.77804,  60.88124,  18.39860, 116.03389,  59.75222,  22.14114, 118.55660,  68.69336,  22.25607, 118.11185,  64.31301,  21.80452, 116.77250,  61.85548,  20.94090, 115.38210,  61.12841,  55.94888, 140.66381, 127.27964,  63.86919, 139.17053, 138.10340,  50.43249, 119.27498, 150.99467,  33.28299, 100.96882, 160.28667,  30.38067, 102.12212, 159.92816,  26.68940, 102.90962, 159.60670,  24.19853, 102.82416, 158.76074,  29.67320, 101.85649, 161.54845,  24.68487, 100.99363, 163.60554,  21.11206,  99.94772, 163.64872,  19.27435,  99.08805, 163.06555,  30.15204, 100.80395, 162.06524,  25.54595,  99.39320, 164.35196,  22.05838,  97.31261, 164.44061,  20.47533,  95.79367, 163.14678,  30.61615, 100.08846, 162.38950,  26.88599,  98.22511, 164.75206,  24.14702,  95.99824, 165.01797,  22.66071,  94.36137, 163.94634,  31.31041,  99.23234, 162.61552,  28.30919,  97.01967, 164.95972,  26.41012,  94.96391, 165.41208,  25.47395,  93.68162, 164.58322
   0.16667,  59.72956,  91.33408, 112.22887,  52.62890,  92.06594, 105.77242,  48.51070,  49.65401, 112.37564,  82.94484,  24.37376, 106.49916,  66.83021,  90.60221, 118.68532,  64.89906,  47.92910, 124.56839,  59.47268,   7.68601, 110.06382,  59.68171,  99.33957, 113.18894,  58.26000, 116.73773, 116.93227,  56.39674, 128.68313, 120.72234,  52.81001, 145.99556, 127.69406,  52.16941, 150.61454, 129.06309,  51.86936, 155.38593, 129.93684,  51.77974, 141.08536, 123.65811,  42.55004, 141.60743, 113.82678,  39.23421, 127.74991,  90.59884,  22.39763, 117.34427,  72.60399,  19.82827, 118.41313,  71.14180,  16.85862, 119.24744,  68.94316,  14.62619, 118.96774,  67.57734,  20.50493, 119.02999,  69.60621,  18.73987, 119.69541,  64.47773,  16.65667, 119.10344,  61.44943,  15.28167, 118.22441,  60.11039,  21.49797, 118.32684,  69.25459,  20.31424, 118.59603,  64.06212,  18.63728, 117.11954,  60.66983,  17.16602, 115.30010,  59.66374,  22.24945, 117.82420,  69.13172,  21.85177, 117.66416,  64.35845,  20.84743, 116.08472,  61.35374,  19.62596, 114.26293,  60.24650,  23.13560, 117.13234,  69.17755,  23.32952, 116.59919,  64.80987,  22.96854, 115.18966,  62.37673,  22.17415, 113.74877,  61.66932,  56.01403, 140.41354, 127.50480,  64.18920, 138.86645, 138.12968,  50.92838, 119.03066, 151.29230,  33.92164, 100.79714, 160.98105,  31.01564, 101.95109, 160.65604,  27.32103, 102.73977, 160.37899,  24.81965, 102.65345, 159.56468,  30.32849, 101.69014, 162.28582,  25.36600, 100.83549, 164.40782,  21.79348,  99.79167, 164.49875,  19.94813,  98.93147, 163.94105,  30.81325, 100.63871, 162.79933,  26.23558,  99.23657, 165.14759,  22.74833,  97.15815, 165.28566,  21.14833,  95.63666, 164.01590,  31.28104,  99.92383, 163.11962,  27.57995,  98.06880, 165.53389,  24.84339,  95.84415, 165.84017,  23.34285,  94.20528, 164.79168,  31.97764,  99.06792, 163.33915,  29.00502,  96.86313, 165.72682,  27.11073,  94.80963, 166.20850,  26.16354,  93.52566, 165.39491
