time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667, 162.70485,  88.59887,-102.24632, 154.79882,  89.34736,-107.68463, 154.57576,  46.56981,-113.10367, 182.45539,  23.00719,-136.05718, 170.61087,  87.85038, -96.80802, 175.92014,  45.05890, -96.62079, 173.67124,   7.40693,-117.51591, 161.77727,  96.24025, -99.84613, 159.59423, 112.90674, -93.83015, 158.09152, 124.52177, -88.99675, 156.13194, 141.63880, -80.97445, 155.50670, 146.18509, -79.37447, 154.95777, 150.89267, -78.29884, 154.18035, 136.77370, -84.71377, 144.39940, 138.00558, -93.92955, 149.81979, 119.47586,-113.16055, 145.37005,  99.49660,-130.38239, 143.01379,  97.97052,-131.79702, 140.61833,  95.68929,-133.64273, 139.25637,  93.53760,-134.30811, 143.54411,  97.97034,-133.50441, 142.83152,  94.77391,-137.87873, 142.11201,  91.65856,-139.78599, 141.76703,  89.62486,-140.23471, 144.80745,  97.90598,-133.56778, 144.79608,  94.75414,-137.86908, 144.96832,  91.11633,-139.66810, 144.99320,  88.59273,-139.32453, 145.71711,  97.94928,-133.51197, 146.48880,  95.18423,-137.34953, 147.17949,  92.06210,-138.86836, 147.42875,  89.62807,-138.64424, 146.80421,  98.03388,-133.23434, 148.17385,  95.57370,-136.62109, 149.17041,  93.21988,-137.84731, 149.47082,  91.47868,-137.55464, 159.27114, 136.13011, -82.09705, 168.98546, 133.62987, -73.06955, 153.08020, 113.70174, -63.45419, 134.24725,  95.03218, -59.94280, 132.12434,  96.37685, -61.83150, 129.45202,  97.39977, -64.31370, 128.15933,  97.69378, -66.58745, 130.59550,  95.66628, -61.23637, 125.69915,  94.45889, -63.34053, 123.18866,  93.62071, -65.95886, 122.34286,  93.06707, -67.81208, 130.79547,  94.48501, -60.82552, 126.12763,  92.66832, -62.65480, 123.82575,  90.82759, -65.44996, 123.73997,  89.84995, -67.80030, 131.05204,  93.68360, -60.47283, 127.06345,  91.37142, -61.78158, 125.22883,  89.30202, -63.99142, 125.09135,  88.14014, -66.15197, 131.56710,  92.76718, -60.07169, 128.19181,  90.09339, -60.99729, 126.83293,  88.09024, -62.47312, 126.88818,  87.16595, -64.00619
   0.03333, 162.93349,  88.49596,-102.42529, 154.93390,  89.31329,-107.71483, 154.91667,  46.73137,-114.50560, 182.14710,  22.52752,-137.57098, 170.93307,  87.67863, -97.13575, 176.15782,  44.88150, -96.47063, 173.34518,   7.38583,-117.57745, 162.03676,  96.09873, -99.89436, 159.90184, 112.67432, -93.61568, 158.40415, 124.22405, -88.62674, 156.38689, 141.25184, -80.43071, 155.77823, 145.78325, -78.78284, 155.25068, 150.48089, -77.65435, 154.42415, 136.39186, -84.17085, 144.31408, 137.56956, -93.03169, 150.18354, 118.75452,-111.84940, 146.87773,  98.52499,-129.03661, 144.61388,  96.83318,-130.41314, 142.35055,  94.36559,-132.18438, 141.09302,  92.12796,-132.76667, 145.17423,  96.77470,-132.10991, 144.67603,  93.34619,-136.33563, 144.12329,  90.11556,-138.10149, 143.87278,  88.04984,-138.45696, 146.44009,  96.76195,-132.15005, 146.63917,  93.41165,-136.29387, 146.99742,  89.70325,-137.91228, 147.12292,  87.20226,-137.44697, 147.34596,  96.84705,-132.08197, 148.30260,  93.93856,-135.76889, 149.15190,  90.78046,-137.12414, 149.49990,  88.37286,-136.77888, 148.42336,  96.99157,-131.79154, 149.95634,  94.43454,-135.03347, 151.07343,  92.07026,-136.12869, 151.44197,  90.35952,-135.74761, 159.57219, 135.79211, -81.65777, 169.58865, 133.35886, -72.94773, 154.16419, 113.23164, -62.97058, 135.54661,  94.41992, -59.08891, 133.38418,  95.75825, -60.93685, 130.66296,  96.77332, -63.36862, 129.32790,  97.06491, -65.61807, 131.86936,  95.04063, -60.31495, 126.94050,  93.81576, -62.33130, 124.38623,  92.97059, -64.90464, 123.50911,  92.41584, -66.74291, 132.08161,  93.85966, -59.90941, 127.38873,  92.02609, -61.65591, 125.04391,  90.17947, -64.41121, 124.91937,  89.20449, -66.76091, 132.34783,  93.05887, -59.56253, 128.34559,  90.73194, -60.80161, 126.47955,  88.65783, -62.98050, 126.30752,  87.49816, -65.13977, 132.87387,  92.14407, -59.17207, 129.49327,  89.45757, -60.03972, 128.11597,  87.45073, -61.49329, 128.14708,  86.52863, -63.02836
   0.05000, 163.31451,  88.36147,-102.65821, 155.23832,  89.23598,-107.82067, 155.49777,  46.94352,-116.22396, 181.97844,  22.05991,-139.43848, 171.39071,  87.48697, -97.49575, 176.53937,  44.69265, -96.28238, 173.04493,   7.40537,-117.65483, 162.42809,  95.91883, -99.99128, 160.30946, 112.39423, -93.44893, 158.80581, 123.87660, -88.30858, 156.73169, 140.81569, -79.94467, 156.14104, 145.33406, -78.25496, 155.64299, 150.02491, -77.08559, 154.75967, 135.95985, -83.68531, 144.37267, 137.07502, -92.22823, 150.59672, 117.92455,-110.58806, 148.27077,  97.53304,-127.74437, 146.08715,  95.70800,-129.07968, 143.93693,  93.09286,-130.77867, 142.76778,  90.79020,-131.28688, 146.67172,  95.60350,-130.76604, 146.35221,  91.99658,-134.85843, 145.93847,  88.68151,-136.50154, 145.76648,  86.59576,-136.77796, 147.93766,  95.63493,-130.79060, 148.31105,  92.13452,-134.79598, 148.82270,  88.38103,-136.26205, 149.03105,  85.90632,-135.69670, 148.83893,  95.75530,-130.71519, 149.94752,  92.74131,-134.27254, 150.92676,  89.56538,-135.49161, 151.35571,  87.18727,-135.04727, 149.90654,  95.94990,-130.41792, 151.57261,  93.32510,-133.53772, 152.78770,  90.96171,-134.52521, 153.21188,  89.28161,-134.07240, 159.96074, 135.40558, -81.27299, 170.30286, 133.05526, -72.92844, 155.36846, 112.71796, -62.63667, 137.04488,  93.71507, -58.31239, 134.83644,  95.03342, -60.11982, 132.05976,  96.02306, -62.49881, 130.67758,  96.29921, -64.72159, 133.33945,  94.30722, -59.46553, 128.37943,  93.04309, -61.37859, 125.77960,  92.17329, -63.89753, 124.86939,  91.60740, -65.71621, 133.56796,  93.12888, -59.06121, 128.85350,  91.25843, -60.70762, 126.46630,  89.38812, -63.41003, 126.30106,  88.40572, -65.75413, 133.84664,  92.33090, -58.71764, 129.83629,  89.97325, -59.86938, 127.94096,  87.88034, -62.00457, 127.73336,  86.71346, -64.15681, 134.38673,  91.42081, -58.33545, 131.00786,  88.70888, -59.12743, 129.61533,  86.68862, -60.54750, 129.62180,  85.76244, -62.08042
   0.06667, 163.83702,  88.19641,-102.91054, 155.69059,  89.11681,-107.95327, 156.22811,  47.15081,-117.84775, 181.78628,  21.48520,-141.24413, 171.98345,  87.27601, -97.86782, 177.05834,  44.48880, -96.18424, 172.87519,   7.42400,-117.81838, 162.94996,  95.70416,-100.10720, 160.82600, 112.06778, -93.29175, 159.30597, 123.47211, -87.98518, 157.16999, 140.30168, -79.41819, 156.59909, 144.80613, -77.68511, 156.13920, 149.49286, -76.48397, 155.18934, 135.45428, -83.16521, 144.54191, 136.50409, -91.38989, 151.11175, 117.04363,-109.29771, 149.73972,  96.54476,-126.42886, 147.63428,  94.59551,-127.71324, 145.59355,  91.84528,-129.33206, 144.51165,  89.48530,-129.76494, 148.23700,  94.45130,-129.39025, 148.08209,  90.68997,-133.35105, 147.80110,  87.30506,-134.87558, 147.70592,  85.20588,-135.07725, 149.50118,  94.52726,-129.40646, 150.03415,  90.90031,-133.27899, 150.69198,  87.11716,-134.60373, 150.98335,  84.67353,-133.94722, 150.39690,  94.68255,-129.32873, 151.64331,  91.58395,-132.76573, 152.74569,  88.40331,-133.86113, 153.25513,  86.05971,-133.32741, 151.45425,  94.92595,-129.03075, 153.24007,  92.25183,-132.04047, 154.54717,  89.89950,-132.93224, 155.02691,  88.25315,-132.41547, 160.44515, 134.94951, -80.86320, 171.06922, 132.68625, -72.85559, 156.67393, 112.10980, -62.27505, 138.75513,  92.85337, -57.40995, 136.48734,  94.14059, -59.16559, 133.64020,  95.09062, -61.47647, 132.19842,  95.34219, -63.66403, 135.01529,  93.40224, -58.46964, 130.02094,  92.07856, -60.24836, 127.36616,  91.17042, -62.69544, 126.41527,  90.58671, -64.48748, 135.26631,  92.22821, -58.06612, 130.53054,  90.30201, -59.58192, 128.09391,  88.39473, -62.21346, 127.87846,  87.39966, -64.54812, 135.56197,  91.43474, -57.72632, 131.54782,  89.03088, -58.76364, 129.61980,  86.90871, -60.83985, 129.36885,  85.72965, -62.98081, 136.12109,  90.53202, -57.35416, 132.75112,  87.78205, -58.04657, 131.34338,  85.74101, -59.42123, 131.31990,  84.80774, -60.94967
   0.08334, 164.47855,  88.00055,-103.20511, 156.25101,  88.96362,-108.10621, 157.14379,  47.40815,-119.58137, 181.81406,  21.03546,-143.14392, 172.70608,  87.03747, -98.30401, 177.74358,  44.27092, -96.07250, 172.78856,   7.43969,-117.94126, 163.59455,  95.45291,-100.25674, 161.46493, 111.68239, -93.12945, 159.92390, 122.98490, -87.61515, 157.71481, 139.65909, -78.76750, 157.16648, 144.14552, -76.98119, 156.75426, 148.82966, -75.75295, 155.72386, 134.82740, -82.52932, 144.79364, 135.80602, -90.38347, 151.60807, 116.12504,-107.95575, 150.95252,  95.58028,-125.07434, 148.90424,  93.54442,-126.31607, 146.94333,  90.70193,-127.87301, 145.92726,  88.30370,-128.25180, 149.51490,  93.37706,-127.98805, 149.47259,  89.52021,-131.85877, 149.28782,  86.09376,-133.30307, 149.25040,  83.98857,-133.45505, 150.77658,  93.48712,-128.00367, 151.41800,  89.78542,-131.78804, 152.18205,  85.99136,-133.02139, 152.53825,  83.57282,-132.30654, 151.66754,  93.66861,-127.92796, 153.00663,  90.52471,-131.28812, 154.19806,  87.35033,-132.30566, 154.76983,  85.03481,-131.71552, 152.71710,  93.94777,-127.63385, 154.58275,  91.25293,-130.57591, 155.95574,  88.91673,-131.40915, 156.47886,  87.29678,-130.85255, 161.04458, 134.38537, -80.36780, 171.93539, 132.21117, -72.70111, 158.17575, 111.35526, -61.82610, 140.68568,  91.84464, -56.44135, 138.36061,  93.09587, -58.14736, 135.44616,  94.00011, -60.39176, 133.94729,  94.22189, -62.54388, 136.91465,  92.34622, -57.41003, 131.89204,  90.95720, -59.05429, 129.18683,  90.00459, -61.42812, 128.19773,  89.39903, -63.19201, 137.18855,  91.17761, -57.00566, 132.43763,  89.19062, -58.38985, 129.95679,  87.24010, -60.94735, 129.69376,  86.22763, -63.26962, 137.50131,  90.38960, -56.66848, 133.48898,  87.93588, -57.58952, 131.53283,  85.77959, -59.60335, 131.24119,  84.58401, -61.72994, 138.07945,  89.49540, -56.30489, 134.72348,  86.70479, -56.89520, 133.30415,  84.63979, -58.22129, 133.25255,  83.69642, -59.74282
   0.10000, 165.22072,  87.76298,-103.54169, 156.93324,  88.75662,-108.33450, 158.29543,  47.76594,-121.64773, 182.00283,  20.67616,-145.38458, 173.50819,  86.76933, -98.74887, 178.50765,  44.03575, -95.88869, 172.58940,   7.47382,-117.96885, 164.34801,  95.17723,-100.49552, 162.22339, 111.30112, -93.13100, 160.66938, 122.51299, -87.43821, 158.40779, 139.03491, -78.32222, 157.88166, 143.50514, -76.48924, 157.51413, 148.18917, -75.24649, 156.40357, 134.21867, -82.09680, 145.23121, 135.13914, -89.60986, 152.24384, 115.34239,-106.97287, 152.09996,  94.79475,-124.09993, 150.09699,  92.68476,-125.29078, 148.20020,  89.76517,-126.78315, 147.24424,  87.33509,-127.11219, 150.70060,  92.50340,-126.96386, 150.73258,  88.57820,-130.76536, 150.62721,  85.12286,-132.14748, 150.64347,  83.01503,-132.26193, 151.95886,  92.64573,-126.99045, 152.67088,  88.89483,-130.71325, 153.52494,  85.10036,-131.88473, 153.94861,  82.70499,-131.12978, 152.84529,  92.85151,-126.92434, 154.24308,  89.68375,-130.23785, 155.50972,  86.52355,-131.20758, 156.14537,  84.23450,-130.58067, 153.88920,  93.16293,-126.64272, 155.80448,  90.46508,-129.54992, 157.23208,  88.15063,-130.35150, 157.80081,  86.55495,-129.77009, 161.78265, 133.83802, -80.07239, 172.95498, 131.75572, -72.79517, 159.78277, 110.64290, -61.69092, 142.80245,  90.84498, -55.75178, 140.41409,  92.05409, -57.39977, 137.42590,  92.90481, -59.56679, 135.86404,  93.09185, -61.67701, 138.99937,  91.29147, -56.61656, 133.95065,  89.82673, -58.10806, 131.19194,  88.82254, -60.39756, 130.16128,  88.19163, -62.12846, 139.29967,  90.12941, -56.21205, 134.53760,  88.07211, -57.44717, 132.01086,  86.07164, -59.91974, 131.69539,  85.03904, -62.22656, 139.63200,  89.34792, -55.87844, 135.62729,  86.83671, -56.66834, 133.64302,  84.64111, -58.61092, 133.30685,  83.42649, -60.72008, 140.23170,  88.46382, -55.52523, 136.89674,  85.62650, -56.00082, 135.46729,  83.53403, -57.27182, 135.38489,  82.57904, -58.78473
   0.11667, 166.02838,  87.50355,-103.88616, 157.65076,  88.52760,-108.51297, 159.49813,  48.13977,-123.50446, 182.05388,  20.27109,-147.46085, 174.40601,  86.47949, -99.25935, 179.39321,  43.78851, -95.80359, 172.52849,   7.48918,-118.04247, 165.18213,  94.87177,-100.72307, 163.09131, 110.86723, -93.07433, 161.53883, 121.96844, -87.16823, 159.23573, 138.30487, -77.73391, 158.73196, 142.75638, -75.84978, 158.40979, 147.44195, -74.60031, 157.21408, 133.51101, -81.52763, 145.80536, 134.39388, -88.68142, 153.05377, 114.52871,-105.86857, 153.30733,  94.00870,-123.02745, 151.34892,  91.82225,-124.15268, 149.51558,  88.82454,-125.56744, 148.62543,  86.36284,-125.84151, 151.93305,  91.62965,-125.83140, 152.02284,  87.64258,-129.56700, 151.99706,  84.16252,-130.88960, 152.07244,  82.05436,-130.96914, 153.18616,  91.80743,-125.87930, 153.95176,  88.01535,-129.54937, 154.89776,  84.22738,-130.67018, 155.40131,  81.85837,-129.88188, 154.06716,  92.03958,-125.82998, 155.50731,  88.85692,-129.11091, 156.85031,  85.71812,-130.04680, 157.56080,  83.45922,-129.39148, 155.10564,  92.38548,-125.56935, 157.05538,  89.69421,-128.45969, 158.53731,  87.40817,-129.24399, 159.16025,  85.83958,-128.64470, 162.65317, 133.19802, -79.65787, 174.06052, 131.18902, -72.73318, 161.48601, 109.81811, -61.43148, 144.98566,  89.76497, -55.01489, 142.52408,  90.92013, -56.59234, 139.45164,  91.70249, -58.66525, 137.81731,  91.84476, -60.72344, 141.14900,  90.14213, -55.75548, 136.07800,  88.58251, -57.06394, 133.26121,  87.51283, -59.25076, 132.18381,  86.84937, -60.94054, 141.48167,  88.98886, -55.35114, 136.71539,  86.84377, -56.40781, 134.14065,  84.78002, -58.77667, 133.76528,  83.72113, -61.06251, 141.83773,  88.21595, -55.02205, 137.85060,  85.63336, -55.65521, 135.83885,  83.38817, -57.51089, 135.45240,  82.14877, -59.59690, 142.46331,  87.34493, -54.68145, 139.16132,  84.45000, -55.02011, 137.72474,  82.32308, -56.22412, 137.60754,  81.35289, -57.72501
   0.13334, 166.83350,  87.21553,-104.22247, 158.34447,  88.26843,-108.63477, 160.70690,  48.58682,-125.34175, 182.17766,  20.05724,-149.51621, 175.32252,  86.16263, -99.81016, 180.31911,  43.52710, -95.73832, 172.43487,   7.49787,-118.07814, 166.03911,  94.53998,-100.94629, 164.02402, 110.39559, -92.99212, 162.49248, 121.36448, -86.83853, 160.16210, 137.46724, -77.01709, 159.68513, 141.89591, -75.07314, 159.41369, 146.58415, -73.82163, 158.11722, 132.70441, -80.83735, 146.44826, 133.54959, -87.56312, 153.84701, 113.73844,-104.74856, 154.28786,  93.26349,-121.95741, 152.36440,  91.01335,-123.01537, 150.58102,  87.95147,-124.35451, 149.74854,  85.46467,-124.57870, 152.92104,  90.81255,-124.70245, 153.04053,  86.77825,-128.38616, 153.07778,  83.28087,-129.66198, 153.20510,  81.17438,-129.71514, 154.16809,  91.02107,-124.77707, 154.95935,  87.19956,-128.41099, 155.97956,  83.42156,-129.49992, 156.55804,  81.07695,-128.69038, 155.04369,  91.27593,-124.74797, 156.50114,  88.08585,-128.01403, 157.90522,  84.96926,-128.93438, 158.68520,  82.73810,-128.26326, 156.07785,  91.65134,-124.51218, 158.03964,  88.97059,-127.40416, 159.56383,  86.71198,-128.18692, 160.23772,  85.16787,-127.57922, 163.61931, 132.47098, -79.14913, 175.24812, 130.51735, -72.58642, 163.34717, 108.87049, -61.08236, 147.44412,  88.52718, -54.09628, 144.91551,  89.63220, -55.60197, 141.76653,  90.35131, -57.58079, 140.06536,  90.45300, -59.58656, 143.58032,  88.83896, -54.71627, 138.49551,  87.19082, -55.85116, 135.62772,  86.06133, -57.93941, 134.50763,  85.36880, -59.58929, 143.94394,  87.69401, -54.31495, 139.18096,  85.46709, -55.20395, 136.56501,  83.34613, -57.47511, 136.13377,  82.26482, -59.74050, 144.32251,  86.92918, -53.99217, 140.35863,  84.28008, -54.47983, 138.32455,  81.99025, -56.25487, 137.89145,  80.72976, -58.31896, 144.97235,  86.07055, -53.66584, 141.70751,  83.12201, -53.87895, 140.26714,  80.96417, -55.02188, 140.11752,  79.98132, -56.51162
   0.15000, 167.74442,  86.89822,-104.63502, 159.15211,  87.97208,-108.83738, 162.11570,  49.19380,-127.45985, 182.46324,  20.08049,-151.90832, 176.33672,  85.82436,-100.43267, 181.31044,  43.25938, -95.65577, 172.21423,   7.53082,-118.01787, 167.00179,  94.18107,-101.25559, 165.06582, 109.89709, -93.01009, 163.56214, 120.72965, -86.61295, 161.22385, 136.58680, -76.40152, 160.77151, 140.99155, -74.39823, 160.54470, 145.68230, -73.14723, 159.15551, 131.86130, -80.25536, 147.26125, 132.67424, -86.57840, 154.71797, 112.99845,-103.89381, 155.13525,  92.59029,-121.18241, 153.23807,  90.28535,-122.16728, 151.49252,  87.16917,-123.42882, 150.71276,  84.66161,-123.60640, 153.75537,  90.07962,-123.86626, 153.87353,  86.01047,-127.51147, 153.95931,  82.50160,-128.75293, 154.13432,  80.39817,-128.78843, 154.99486,  90.31605,-123.97551, 155.78071,  86.47563,-127.59062, 156.86025,  82.71088,-128.66816, 157.51403,  80.38891,-127.85070, 155.86474,  90.59132,-123.97183, 157.31117,  87.40139,-127.24292, 158.76327,  84.30846,-128.16857, 159.61220,  82.10310,-127.49587, 156.89562,  90.99295,-123.76689, 158.84388,  88.32777,-126.68230, 160.39957,  86.09677,-127.48209, 161.12480,  84.57512,-126.87686, 164.70932, 131.70206, -78.73633, 176.57205, 129.80256, -72.58959, 165.26783, 107.93117, -60.90972, 149.98195,  87.32219, -53.34834, 147.38677,  88.37438, -54.77663, 144.16221,  89.02701, -56.65420, 142.39371,  89.08549, -58.60263, 146.09503,  87.56663, -53.84101, 141.00296,  85.82771, -54.79315, 138.08610,  84.63572, -56.77602, 136.92316,  83.91228, -58.38243, 146.49056,  86.43088, -53.44374, 141.73780,  84.12040, -54.15669, 139.08277,  81.93973, -56.32356, 138.59408,  80.83390, -58.56533, 146.89218,  85.67482, -53.12824, 142.95826,  82.95828, -53.46374, 140.90401,  80.62205, -55.15302, 140.42311,  79.33861, -57.19223, 147.56654,  84.82938, -52.81758, 144.34524,  81.82689, -52.89989, 142.90319,  79.63718, -53.97825, 142.72016,  78.64042, -55.45495
   0.16667, 168.68355,  86.57961,-105.05936, 159.99142,  87.67036,-109.04658, 163.50737,  49.79730,-129.35923, 182.59969,  20.14322,-154.16756, 177.37567,  85.48885,-101.07215, 182.31835,  42.99614, -95.66163, 172.10743,   7.53320,-117.96525, 167.99137,  93.81584,-101.57085, 166.14239, 109.38175, -93.02606, 164.68126, 120.07082, -86.38243, 162.36974, 135.67123, -75.77705, 161.94411, 140.05110, -73.71424, 161.75934, 144.74425, -72.46532, 160.27149, 130.99006, -79.66865, 148.16333, 131.77617, -85.57540, 155.56286, 112.29345,-103.13196, 155.78653,  91.98949,-120.54637, 153.91238,  89.63959,-121.46703, 152.19928,  86.47938,-122.66172, 151.46556,  83.95555,-122.80099, 154.39246,  89.43023,-123.17646, 154.50352,  85.33454,-126.79206, 154.62915,  81.81802,-128.00821, 154.84512,  79.71823,-128.03177, 155.62400,  89.69016,-123.31765, 156.39858,  85.83658,-126.92116, 157.52654,  82.08517,-127.99565, 158.24602,  79.78332,-127.17650, 156.48805,  89.98256,-123.33726, 157.91825,  86.79516,-126.61793, 159.40888,  83.72402,-127.55481, 160.31759,  81.54140,-126.88602, 157.51538,  90.40612,-123.16055, 159.44531,  87.75615,-126.10191, 161.02535,  85.54981,-126.92212, 161.79517,  84.04776,-126.32303, 165.86889, 130.89775, -78.31286, 177.90261, 129.03488, -72.49613, 167.04306, 107.00496, -60.69293, 152.31375,  86.18027, -52.63426, 149.66303,  87.18353, -53.99413, 146.37611,  87.77465, -55.78178, 144.55116,  87.79223, -57.67826, 148.41100,  86.36452, -53.01532, 143.31957,  84.54462, -53.80583, 140.36425,  83.29499, -55.69401, 139.16596,  82.54222, -57.26046, 148.83455,  85.23777, -52.62133, 144.09759,  82.85318, -53.17839, 141.41317,  80.61736, -55.25079, 140.87596,  79.48702, -57.46911, 149.25623,  84.49010, -52.31205, 145.35460,  81.71433, -52.51268, 143.28678,  79.33542, -54.12404, 142.76585,  78.02919, -56.13881, 149.95167,  83.65698, -52.01491, 146.77384,  80.60760, -51.98109, 145.33346,  78.38884, -53.00073, 145.12235,  77.37798, -54.46404
