time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667, 124.75298,  78.86320,-190.39313, 115.20650,  80.92133,-194.25046, 113.77227,  45.87521,-212.19683, 139.89066,  27.87931,-231.86305, 134.29945,  76.80508,-186.53579, 123.25731,  39.13712,-183.13638, 108.08822,   6.75245,-193.80946, 124.68336,  85.45027,-186.70623, 125.45911, 100.36579,-179.20179, 126.88920, 111.06226,-174.27763, 130.47888, 126.97148,-167.16163, 131.27469, 130.87857,-166.02923, 132.03198, 134.92255,-165.52549, 126.94757, 123.02727,-170.04524, 117.56848, 128.77892,-176.59456, 106.07282, 121.41817,-192.55292,  89.39403, 114.48444,-206.79165,  87.39902, 116.15862,-208.02499,  84.81777, 117.68144,-209.77797,  82.60118, 118.16796,-210.59514,  87.80438, 116.05890,-209.60896,  85.41500, 116.37299,-214.00026,  82.79754, 116.23476,-216.18621,  81.04281, 115.88485,-216.92288,  88.24461, 115.01097,-209.84439,  86.15229, 114.75031,-214.25492,  83.43418, 113.67229,-216.56098,  81.32491, 112.68842,-216.73578,  88.62322, 114.26775,-209.90593,  87.09592, 113.40950,-213.93487,  84.96907, 112.03336,-215.96288,  83.03349, 110.92030,-216.25631,  89.07779, 113.34976,-209.78711,  87.97798, 112.01995,-213.43684,  86.56685, 110.60731,-215.10056,  85.21313, 109.68438,-215.20915, 131.83467, 121.27395,-168.59065, 142.01653, 116.12570,-162.77965, 127.46627, 108.67051,-149.59973, 108.69899, 103.36680,-137.40712, 107.95513, 105.16963,-135.28566, 106.51359, 107.13463,-132.81271, 105.06206, 108.73136,-131.73508, 107.43776, 104.13443,-134.12639, 104.16792, 104.26241,-130.33388, 101.45446, 105.29487,-128.53951,  99.79820, 106.17717,-128.06775, 106.94360, 103.20340,-134.61256, 103.48693, 102.82444,-131.17652, 100.05931, 103.44457,-129.85932,  98.02872, 104.54456,-130.19737, 106.68212, 102.53654,-135.04434, 103.37215, 101.60306,-132.31040, 100.25166, 101.74418,-131.43140,  98.19517, 102.59872,-131.76626, 106.43813, 101.80596,-135.73004, 103.26734, 100.48240,-133.61043, 100.73711, 100.20708,-133.08420,  99.25030, 100.77838,-133.48320
   0.03333, 126.10317,  78.36616,-190.48698, 116.56339,  80.37047,-194.38896, 116.73543,  46.38176,-214.31629, 142.38944,  28.27002,-234.48109, 135.64295,  76.36186,-186.58501, 123.86499,  38.96673,-182.68068, 108.21591,   6.99659,-193.89669, 125.92452,  84.89280,-186.69771, 126.49251,  99.68788,-178.94051, 127.81477, 110.30360,-173.81556, 131.31926, 126.07723,-166.36320, 132.10288, 129.96957,-165.17298, 132.85522, 134.01065,-164.63943, 127.80554, 122.17306,-169.32182, 118.31360, 127.91388,-175.71623, 106.89904, 120.50056,-191.70843,  90.30502, 113.44281,-205.98522,  88.27569, 115.06989,-207.22560,  85.66371, 116.53132,-208.98530,  83.43774, 116.96787,-209.80520,  88.68386, 114.97290,-208.80902,  86.29056, 115.22019,-213.20246,  83.67771, 115.01859,-215.38898,  81.93112, 114.62896,-216.12509,  89.14625, 113.93365,-209.04038,  87.06211, 113.61252,-213.45079,  84.36853, 112.46879,-215.75398,  82.28062, 111.43992,-215.92603,  89.54052, 113.19837,-209.09901,  88.03370, 112.29315,-213.12538,  85.93742, 110.86489,-215.14917,  84.02594, 109.71008,-215.43929,  90.01433, 112.29064,-208.97660,  88.94469, 110.92440,-212.62183,  87.56455, 109.47612,-214.28090,  86.23069, 108.52439,-214.38664, 132.70909, 120.42183,-167.92107, 142.95825, 115.21202,-162.28591, 128.53587, 107.14939,-149.32485, 109.60486, 101.51657,-137.53977, 108.89048, 103.26600,-135.36417, 107.47920, 105.18805,-132.84053, 106.06568, 106.79259,-131.72466, 108.32300, 102.20773,-134.25005, 105.00556, 102.30857,-130.49828, 102.30222, 103.36586,-128.70311, 100.66926, 104.28536,-128.22125, 107.80552, 101.31169,-134.77607, 104.28980, 100.92519,-131.40134, 100.86600, 101.61153,-130.10724,  98.87761, 102.78995,-130.43155, 107.52845, 100.66981,-135.23513, 104.15112,  99.74973,-132.58018, 101.02477,  99.96311,-131.73733,  99.00240, 100.89711,-132.06771, 107.27039,  99.97280,-135.95000, 104.02808,  98.68048,-133.92127, 101.48295,  98.47090,-133.43836, 100.02152,  99.10533,-133.83568
   0.05000, 127.50704,  77.85147,-190.59204, 117.97599,  79.81167,-194.53749, 119.57019,  46.87273,-216.09776, 144.74570,  28.71691,-236.81833, 137.03810,  75.89127,-186.64659, 124.55891,  38.77642,-182.27417, 108.51183,   7.16438,-193.93405, 127.23590,  84.32626,-186.72021, 127.62210,  99.01553,-178.75358, 128.84359, 109.55981,-173.45893, 132.25340, 125.21548,-165.71945, 133.02429, 129.09439,-164.47816, 133.77304, 133.13223,-163.91583, 128.75982, 121.34176,-168.74126, 119.15850, 127.06208,-174.98907, 107.82942, 119.51036,-190.97730,  91.31038, 112.29408,-205.26179,  89.24367, 113.86567,-206.51193,  86.59855, 115.25494,-208.28056,  84.36318, 115.63413,-209.10343,  89.65455, 113.76924,-208.09468,  87.25760, 113.93474,-212.48997,  84.65098, 113.65898,-214.67585,  82.91433, 113.22403,-215.41007,  90.14141, 112.73987,-208.31996,  88.06695, 112.34431,-212.72889,  85.40189, 111.12413,-215.02602,  83.33889, 110.04532,-215.19258,  90.55293, 112.01378,-208.37427,  89.06927, 111.05012,-212.39569,  87.00797, 109.56119,-214.41166,  85.12436, 108.35996,-214.69552,  91.04798, 111.11819,-208.24654,  90.01212, 109.70616,-211.88407,  88.66711, 108.21621,-213.53507,  87.35610, 107.23268,-213.63560, 133.68047, 119.60112,-167.38813, 143.97586, 114.31207,-161.91333, 129.65904, 105.70599,-149.18682, 110.59017,  99.69107,-137.82025, 109.88579, 101.38290,-135.59637, 108.48379, 103.25217,-133.02829, 107.09238, 104.85161,-131.87786, 109.27767, 100.30163,-134.52666, 105.90988, 100.35551,-130.81905, 103.20653, 101.41617,-129.02588, 101.58882, 102.35773,-128.53528, 108.74695,  99.43642,-135.08980, 105.17495,  99.02081,-131.77822, 101.74992,  99.74493,-130.50818,  99.79458, 100.98081,-130.81925, 108.46154,  98.81716,-135.57412, 105.02573,  97.88933,-132.99810, 101.89343,  98.14895,-132.19103,  99.89848,  99.14165,-132.51692, 108.19752,  98.15097,-136.31571, 104.89695,  96.86905,-134.37628, 102.34093,  96.70428,-133.93539, 100.90063,  97.38649,-134.33074
   0.06667, 128.90801,  77.34968,-190.73824, 119.39204,  79.27748,-194.73573, 122.22476,  47.44282,-217.77678, 146.90708,  29.35352,-239.13897, 138.42397,  75.42188,-186.74074, 125.38448,  38.54043,-182.04072, 109.13104,   7.12903,-193.95424, 128.54928,  83.77207,-186.78709, 128.75621,  98.35518,-178.62122, 129.86835, 108.83009,-173.16719, 133.15020, 124.37883,-165.16139, 133.90434, 128.24545,-163.87240, 134.64964, 132.28006,-163.28296, 129.68656, 120.52695,-168.24496, 119.97154, 126.21704,-174.34281, 108.73880, 118.47202,-190.30652,  92.32210, 111.02882,-204.59256,  90.22488, 112.54999,-205.85422,  87.55313, 113.87365,-207.63311,  85.31089, 114.20240,-208.45895,  90.63802, 112.45038,-207.43618,  88.23943, 112.53661,-211.83284,  85.63938, 112.19340,-214.01700,  83.91192, 111.71874,-214.74829,  91.14531, 111.42930,-207.65400,  89.08029, 110.96092,-212.06022,  86.44063, 109.67153,-214.34885,  84.39953, 108.55074,-214.50791,  91.57120, 110.71116,-207.70304,  90.10806, 109.68934,-211.71761,  88.07730, 108.14528,-213.72308,  86.21802, 106.90483,-213.99853,  92.08392, 109.82653,-207.56881,  91.07730, 108.36810,-211.19623,  89.76261, 106.83988,-212.83664,  88.47145, 105.82979,-212.93027, 134.62488, 118.80744,-166.92972, 144.96111, 113.43425,-161.61618, 130.75436, 104.30416,-149.13380, 111.56616,  97.81703,-138.23747, 110.85356,  99.44204,-135.96687, 109.44079, 101.24482,-133.35750, 108.05805, 102.82764,-132.17408, 110.20854,  98.33497,-134.94630, 106.77948,  98.31913,-131.29492, 104.06485,  99.36464,-129.50991, 102.45566, 100.31737,-129.01287, 109.67250,  97.49980,-135.54841, 106.03785,  97.03245,-132.31276, 102.60481,  97.77307,-131.07426, 100.67689,  99.05417,-131.37339, 109.38464,  96.90319,-136.05900, 105.88975,  95.94743,-133.57427, 102.74915,  96.23493,-132.81005, 100.77765,  97.27426,-133.13327, 109.12172,  96.26835,-136.82798, 105.76673,  94.97873,-134.98969, 103.20107,  94.84465,-134.59696, 101.77984,  95.56619,-134.99148
   0.08334, 130.29257,  76.85487,-190.83266, 120.79239,  78.75108,-194.88246, 124.82094,  48.18617,-219.41647, 149.10829,  30.27083,-241.36977, 139.79276,  74.95867,-186.78285, 125.94226,  38.42662,-181.69042, 109.66751,   7.03747,-193.63348, 129.84611,  83.22312,-186.80358, 129.86190,  97.69180,-178.43410, 130.84549, 108.09067,-172.81243, 133.95365, 123.52692,-164.52460, 134.68466, 127.38078,-163.18504, 135.42486, 131.41207,-162.56712, 130.53429, 119.69454,-167.68102, 120.72803, 125.35051,-173.66347, 109.56600, 117.40455,-189.57795,  93.29181, 109.66788,-203.87112,  91.15941, 111.12634,-205.14778,  88.45784, 112.36877,-206.94016,  86.20894, 112.63569,-207.77021,  91.57606, 111.02233,-206.72854,  89.17948, 111.01047,-211.12713,  86.59018, 110.58461,-213.30950,  84.87525, 110.06169,-214.03737,  92.10804, 110.01187,-206.93674,  90.05835, 109.45356,-211.33964,  87.45238, 108.07992,-213.61786,  85.43908, 106.90873,-213.76779,  92.55120, 109.30382,-206.97899,  91.11628, 108.21037,-210.98486,  89.12498, 106.59945,-212.97726,  87.29642, 105.31197,-213.24240,  93.08504, 108.43310,-206.83641,  92.11676, 106.91775,-210.45090,  90.84065, 105.34331,-212.07801,  89.57434, 104.30149,-212.16312, 135.48932, 118.00421,-166.39100, 145.85090, 112.55973,-161.20085, 131.77690, 102.86215,-148.99923, 112.52485,  95.91612,-138.50584, 111.78513,  97.48171,-136.20241, 110.34084,  99.22061,-133.56706, 108.94920, 100.77959,-132.36262, 111.11534,  96.35110,-135.22449, 107.62497,  96.25762,-131.63285, 104.88778,  97.27235,-129.86461, 103.27700,  98.22250,-129.36779, 110.58383,  95.53719,-135.85886, 106.89184,  95.00560,-132.69894, 103.44351,  95.73626,-131.49755, 101.52978,  97.03941,-131.79250, 110.30055,  94.95733,-136.39087, 106.75764,  93.95767,-133.99294, 103.60662,  94.24660,-133.27351, 101.64806,  95.30909,-133.60010, 110.04633,  94.34636,-137.18179, 106.65193,  93.03015,-135.43706, 104.07913,  92.90393,-135.09122, 102.66977,  93.64672,-135.48888
   0.10000, 131.72911,  76.47674,-190.93224, 122.26769,  78.37391,-195.07136, 127.20095,  48.92959,-220.78235, 151.16261,  31.31501,-243.32892, 141.19053,  74.57956,-186.79311, 126.63632,  38.36124,-181.42951, 110.34801,   7.02432,-193.49062, 131.19775,  82.78815,-186.82478, 131.03057,  97.14451,-178.26568, 131.88716, 107.47440,-172.49795, 134.80833, 122.81758,-163.97270, 135.51260, 126.66092,-162.58931, 136.24403, 130.68965,-161.94481, 131.43920, 118.99736,-167.19714, 121.55873, 124.62011,-173.08811, 110.43094, 116.48948,-188.93314,  94.30203, 108.46009,-203.22954,  92.12550, 109.83284,-204.52661,  89.38764, 110.96478,-206.33703,  87.13236, 111.14869,-207.17226,  92.54720, 109.72196,-206.10556,  90.15761, 109.57667,-210.50557,  87.58598, 109.03991,-212.68436,  85.88960, 108.45290,-213.40683,  93.11158, 108.72650,-206.30030,  91.08624, 108.04616,-210.69730,  88.52848, 106.56043,-212.95974,  86.55398, 105.32339,-213.09620,  93.57728, 108.03255,-206.33306,  92.18308, 106.84223,-210.32567,  90.24692, 105.14276,-212.29878,  88.46095, 103.79395,-212.54879,  94.13861, 107.18132,-206.17884,  93.22387, 105.58936,-209.77430,  92.00092, 103.95399,-211.38203,  90.76880, 102.87106,-211.45474, 136.40708, 117.33910,-165.91496, 146.78141, 111.83913,-160.80946, 132.83313, 101.65847,-148.85958, 113.56921,  94.20949,-138.73959, 112.78214,  95.71823,-136.41401, 111.28392,  97.39098,-133.76599, 109.86600,  98.91816,-132.55150, 112.09645,  94.56333,-135.47631, 108.53852,  94.37761,-131.95524, 105.76581,  95.34474,-130.21589, 104.14369,  96.27978,-129.72740, 111.57899,  93.76383,-136.13996, 107.82871,  93.15007,-133.06470, 104.35645,  93.84545,-131.91230, 102.44570,  95.15175,-132.21258, 111.30724,  93.19633,-136.69096, 107.72160,  92.13312,-134.38567, 104.55678,  92.39896,-133.71985, 102.60236,  93.46534,-134.05835, 111.06953,  92.60397,-137.50094, 107.64554,  91.24019,-135.85326, 105.06693,  91.10099,-135.55973, 103.66369,  91.85047,-135.96639
   0.11667, 133.10632,  76.13619,-190.90018, 123.68808,  78.03546,-195.13569, 129.35023,  49.65724,-221.87474, 153.01154,  32.49363,-245.07678, 142.52456,  74.23692,-186.66467, 127.33917,  38.28121,-181.28409, 111.12071,   6.96658,-193.49631, 132.48964,  82.39379,-186.72290, 132.13825,  96.64926,-178.00228, 132.86419, 106.92169,-172.11524, 135.58508, 122.19552,-163.40128, 136.25921, 126.03142,-161.98266, 136.97861, 130.05876,-161.31629, 132.27326, 118.38026,-166.69030, 122.33004, 123.96975,-172.50686, 111.19979, 115.65708,-188.25542,  95.23544, 107.30512,-202.55171,  93.01396, 108.58514,-203.86728,  90.24007, 109.59846,-205.69306,  87.98034, 109.69387,-206.53107,  93.44022, 108.46785,-205.44454,  91.05981, 108.18240,-209.84267,  88.50947, 107.52897,-212.01461,  86.83466, 106.87463,-212.72952,  94.03851, 107.48982,-205.62595,  92.04047, 106.68222,-210.01390,  89.53657, 105.07982,-212.25688,  87.60571, 103.77413,-212.37727,  94.52774, 106.81187,-205.64941,  93.17769, 105.52162,-209.62613,  91.30217, 103.73077,-211.57684,  89.56363, 102.31834,-211.80925,  95.11781, 105.98250,-205.48381,  94.26046, 104.31258,-209.05799,  93.09529, 102.61508,-210.64408,  91.90105, 101.48969,-210.70263, 137.24792, 116.75413,-165.39333, 147.62555, 111.20774,-160.34508, 133.80816, 100.58602,-148.62932, 114.56799,  92.57774,-138.89879, 113.71657,  94.02580,-136.55736, 112.14562,  95.62485,-133.90596, 110.68830,  97.11237,-132.68889, 113.01954,  92.84413,-135.66235, 109.38516,  92.54907,-132.22789, 106.56628,  93.45405,-130.52981, 104.92596,  94.36495,-130.05666, 112.52369,  92.05635,-136.35583, 108.71054,  91.34227,-133.38119, 105.20770,  91.98386,-132.29185, 103.29349,  93.28204,-132.60501, 112.26904,  91.49976,-136.92581, 108.64145,  90.35556,-134.72738, 105.46042,  90.58145,-134.12736, 103.50538,  91.64033,-134.48524, 112.05445,  90.92460,-137.75443, 108.60569,  89.49649,-136.21656, 106.02237,  89.33064,-135.98472, 104.62249,  90.07856,-136.40560
   0.13334, 134.47955,  75.88642,-190.77768, 125.11037,  77.78568,-195.12063, 131.45364,  50.57608,-222.90122, 154.91307,  33.91151,-246.66526, 143.84874,  73.98717,-186.43472, 127.98569,  38.30522,-181.18851, 111.92299,   6.96797,-193.54767, 133.76622,  82.08479,-186.52812, 133.20751,  96.23297,-177.64510, 133.78684, 106.44719,-171.64166, 136.28231, 121.65533,-162.74720, 136.92052, 125.48480,-161.29500, 137.62255, 129.51176,-160.60815, 133.03604, 117.84174,-166.10286, 123.05809, 123.40723,-171.88284, 111.89054, 114.95469,-187.53021,  96.09645, 106.22857,-201.79210,  93.82860, 107.40814,-203.12235,  91.01816, 108.29400,-204.95850,  88.75590, 108.29495,-205.79512,  94.25785, 107.28514,-204.69837,  91.88665, 106.85271,-209.08946,  89.36061, 106.07659,-211.24940,  87.71050, 105.35153,-211.95344,  94.89154, 106.32738,-204.86718,  92.92164, 105.38736,-209.24146,  90.47682, 103.66374,-211.45961,  88.59515, 102.28650,-211.56006,  95.40532, 105.66759,-204.88201,  94.10098, 104.27469,-208.83930,  92.29124, 102.38981,-210.76338,  90.60560, 100.91146,-210.97461,  96.02558, 104.86278,-204.70585,  95.22780, 103.11406,-208.25606,  94.12475, 101.35351,-209.81764,  92.97262, 100.18432,-209.85955, 138.01620, 116.25207,-164.78201, 148.38766, 110.68179,-159.74741, 134.70496,  99.63065,-148.27328, 115.51689,  91.13435,-138.85887, 114.60180,  92.53152,-136.51055, 112.95937,  94.06639,-133.86454, 111.46102,  95.51633,-132.65194, 113.89991,  91.32676,-135.65083, 110.19980,  90.93178,-132.29755, 107.33696,  91.77609,-130.64230, 105.67727,  92.66070,-130.18718, 113.42714,  90.54604,-136.36800, 109.56235,  89.73833,-133.48536, 106.03109,  90.32267,-132.45731, 104.10928,  91.60542,-132.78709, 113.19039,  89.99689,-136.95272, 109.53175,  88.77488,-134.84970, 106.33682,  88.95572,-134.31141, 104.37778,  89.99958,-134.69092, 112.99916,  89.43418,-137.79549, 109.53594,  87.94192,-136.35407, 106.95045,  87.74408,-136.17836, 105.55117,  88.48415,-136.61484
   0.15000, 135.92670,  75.68819,-190.51622, 126.60384,  77.59033,-194.95651, 133.45207,  51.37875,-223.56446, 156.84177,  35.34861,-247.82841, 145.24956,  73.78606,-186.07593, 128.62384,  38.42372,-181.03109, 112.68981,   7.15021,-193.71402, 135.13068,  81.83762,-186.21061, 134.39436,  95.89828,-177.20245, 134.84712, 106.06606,-171.10997, 137.14536, 121.22414,-162.07795, 137.75159, 125.04881,-160.59964, 138.43744, 129.07568,-159.89612, 133.95771, 117.41036,-165.48912, 123.97558, 122.95554,-171.28140, 112.70863, 114.39564,-186.79861,  97.04254, 105.33571,-200.99337,  94.72462, 106.40588,-202.32982,  91.87522, 107.15449,-204.16700,  89.61253, 107.05310,-204.99627,  95.15421, 106.28217,-203.90569,  92.79065, 105.70185,-208.28383,  90.29258, 104.79786,-210.42650,  88.67163, 103.99771,-211.11680,  95.82613, 105.34924,-204.06547,  93.88437, 104.27841,-208.42224,  91.50611, 102.43043,-210.61244,  89.68216, 100.97626,-210.69091,  96.36647, 104.71090,-204.07434,  95.10939, 103.21971,-208.01106,  93.37309, 101.24003,-209.90741,  91.74884,  99.69157,-210.09611,  97.01965, 103.93426,-203.89091,  96.28441, 102.11305,-207.41810,  95.25010, 100.29074,-208.95569,  94.14671,  99.07497,-208.98037, 138.94017, 115.85141,-164.14061, 149.28919, 110.27426,-159.06759, 135.71489,  98.89786,-147.78415, 116.61546,  89.94593,-138.61492, 115.63719,  91.29863,-136.26603, 113.92424,  92.77544,-133.63171, 112.38388,  94.18894,-132.42877, 114.93503,  90.07312,-135.43637, 111.17705,  89.58394,-132.16076, 108.27213,  90.36808,-130.54982, 106.59246,  91.22468,-130.11490, 114.48645,  89.29626,-136.17301, 110.57832,  88.39877,-133.37668, 107.02060,  88.92292,-132.40916, 105.08859,  90.18499,-132.75861, 114.26823,  88.75218,-136.76956, 110.58659,  87.45386,-134.75425, 107.37983,  87.58572,-134.27532, 105.41473,  88.60913,-134.67843, 114.10064,  88.19869,-137.62339, 110.63059,  86.64182,-136.26937, 108.04506,  86.40797,-136.14628, 106.64470,  87.13571,-136.59964
   0.16667, 137.47647,  75.50698,-190.15350, 128.21382,  77.42257,-194.71244, 135.38354,  52.13954,-224.06757, 158.73311,  36.70216,-248.75091, 146.73912,  73.59140,-185.59457, 129.53334,  38.44812,-180.98244, 113.63117,   7.49268,-194.46072, 136.58528,  81.59772,-185.78360, 135.65953,  95.56398,-176.64697, 135.98900, 105.68808,-170.47436, 138.10947, 120.80366,-161.32837, 138.68649, 124.62455,-159.82875, 139.35715, 128.65168,-159.11219, 134.97673, 116.99097,-164.79124, 125.00496, 122.51404,-170.62234, 113.61186, 113.86214,-185.99576,  98.01397, 104.52825,-200.08776,  95.65594, 105.50794,-201.42342,  92.77624, 106.14431,-203.25566,  90.51569, 105.95869,-204.07616,  96.08435, 105.38799,-202.99990,  93.72785, 104.69500,-207.36545,  91.25556, 103.68979,-209.49286,  89.66105, 102.82908,-210.17178,  96.78768, 104.47778,-203.15554,  94.86980, 103.30936,-207.49778,  92.54981, 101.36456,-209.66655,  90.77712,  99.84755,-209.72836,  97.34979, 103.85850,-203.16187,  96.13215, 102.29668,-207.08357,  94.45925, 100.24460,-208.95984,  92.88905,  98.63950,-209.13194,  98.03010, 103.10627,-202.97533,  97.34678, 101.23564,-206.48706,  96.37118,  99.36770,-208.00818,  95.31053,  98.11429,-208.02044, 139.95711, 115.45560,-163.40841, 150.27353, 109.87936,-158.26843, 136.77344,  98.28625,-147.11732, 117.79022,  88.89007,-138.15356, 116.74567,  90.20039,-135.80919, 114.95926,  91.61973,-133.19213, 113.37348,  92.99457,-132.00349, 116.04815,  88.95448,-135.00645, 112.23746,  88.36792,-131.80866, 109.29015,  89.08687,-130.24500, 107.58874,  89.91125,-129.83291, 115.62637,  88.17874,-135.75993, 111.68133,  87.18688,-133.04859, 108.09785,  87.64253,-132.14349, 106.15236,  88.87698,-132.51598, 115.42842,  87.63791,-136.36641, 111.73113,  86.25771,-134.43595, 108.51416,  86.33227,-134.01689, 106.54051,  87.32818,-134.44626, 115.28609,  87.09136,-137.22925, 111.81707,  85.46347,-135.95870, 109.23386,  85.18645,-135.88751, 107.83056,  85.89645,-136.35956
