time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667,  28.81525,  81.51791,-100.73999,  20.58570,  81.74751,-104.95712,  28.21889,  41.50170, -96.29074,  37.25733,   8.12978,-119.90679,  37.04481,  81.28832, -96.52286,  52.80659,  50.06868, -73.50120,  49.71857,   8.45059, -70.11061,  28.00899,  89.03720, -98.75723,  26.38160, 105.63018, -94.10310,  25.45243, 117.35724, -90.56279,  24.53677, 134.86041, -84.87464,  24.23048, 139.38046, -83.49784,  23.85352, 143.92302, -82.21594,  22.23461, 129.76201, -87.64641,  11.47279, 131.46353, -95.11229,   7.16874, 114.05517,-114.62317,   3.12759,  95.54473,-132.42858,   2.57457,  92.63376,-131.67894,   2.09441,  88.99733,-131.35808,   2.59814,  86.48840,-131.35481,   1.28908,  92.21820,-132.77329,  -0.48203,  87.80646,-135.14460,  -0.34928,  84.45811,-136.51402,   0.38130,  82.66608,-137.19637,   1.42414,  92.82505,-133.83602,  -0.22971,  88.84994,-136.72379,   0.38411,  85.65873,-138.96745,   2.05603,  84.04660,-139.82551,   1.55273,  93.36488,-134.52718,   0.14342,  90.26993,-137.71282,   0.75486,  87.83204,-140.06445,   2.30921,  86.35422,-141.11448,   1.85475,  94.12086,-135.25879,   0.70412,  91.74493,-138.63068,   1.15775,  90.12849,-140.81755,   2.38966,  89.19027,-141.61548,  27.39388, 129.35071, -85.55027,  38.96330, 126.94603, -79.64966,  31.86660, 104.63596, -67.23405,  21.50399,  86.60239, -51.63254,  19.07891,  87.40309, -49.95345,  16.07787,  87.75334, -47.84911,  13.67168,  87.49664, -47.01675,  19.52369,  86.81919, -48.37737,  16.98024,  85.08137, -44.04907,  14.29149,  83.64419, -42.09727,  12.54240,  82.68980, -41.60683,  20.20316,  85.79757, -48.47986,  18.08937,  83.54970, -44.31394,  15.49461,  81.13046, -42.57927,  13.50903,  79.68577, -42.89694,  20.75245,  85.12353, -48.65191,  19.35113,  82.53971, -45.03620,  17.43273,  80.04500, -43.64209,  15.65586,  78.46662, -43.87441,  21.41857,  84.35759, -49.06132,  20.56095,  81.53194, -45.95989,  19.39368,  79.27386, -44.89237,  18.18065,  78.06260, -45.20213
   0.03333,  28.34817,  81.43436, -99.29085,  20.21718,  81.66736,-103.69485,  28.02509,  41.31405, -95.71088,  37.41760,   8.20473,-119.55727,  36.47916,  81.20135, -94.88684,  51.39507,  49.89223, -71.42728,  47.68103,   8.29857, -68.38255,  27.44557,  88.92116, -97.22829,  25.64454, 105.45871, -92.44268,  24.62460, 117.15738, -88.83410,  23.62168, 134.62733, -83.05921,  23.30002, 139.14028, -81.66275,  22.91536, 143.67741, -80.36402,  21.38585, 129.56330, -85.94589,  11.08765, 131.47178, -93.99301,   6.81237, 114.76542,-114.11437,   2.82253,  96.68335,-132.36595,   2.16243,  93.77809,-131.68387,   1.57161,  90.15206,-131.43899,   2.00635,  87.63032,-131.45665,   0.90852,  93.41472,-132.83210,  -0.89090,  89.08960,-135.33786,  -0.79755,  85.75953,-136.75431,  -0.09070,  83.95820,-137.43714,   1.10024,  94.03328,-133.87926,  -0.55057,  90.14897,-136.88972,   0.06074,  86.97555,-139.15915,   1.71947,  85.33045,-139.97940,   1.26959,  94.57952,-134.55645,  -0.10169,  91.57255,-137.84140,   0.53186,  89.15374,-140.20685,   2.08408,  87.64900,-141.22119,   1.61961,  95.33757,-135.26413,   0.53336,  93.04483,-138.71407,   1.02540,  91.44902,-140.90778,   2.26066,  90.48884,-141.67375,  26.46534, 129.10341, -83.67250,  37.78666, 126.59253, -77.34995,  30.35138, 104.40314, -64.91623,  19.51296,  86.54606, -49.43548,  17.03145,  87.37353, -47.85468,  13.95955,  87.75744, -45.86141,  11.52596,  87.51368, -45.10860,  17.42137,  86.81593, -46.25473,  14.72945,  85.14898, -41.98879,  11.97453,  83.74329, -40.10761,  10.20933,  82.79651, -39.66221,  18.10376,  85.79299, -46.31677,  15.84675,  83.61354, -42.18981,  13.19306,  81.22237, -40.50611,  11.21934,  79.77192, -40.86830,  18.65853,  85.11639, -46.45856,  17.13250,  82.59219, -42.85123,  15.16653,  80.12018, -41.48321,  13.39841,  78.53754, -41.75069,  19.33823,  84.34404, -46.83198,  18.37331,  81.56973, -43.71577,  17.16936,  79.32919, -42.65204,  15.96750,  78.11253, -42.98348
   0.05000,  27.87695,  81.55814, -97.82111,  19.85587,  81.79725,-102.42194,  27.85155,  41.33755, -95.19851,  37.60336,   8.53390,-119.32152,  35.89803,  81.31903, -93.22029,  50.06079,  49.88434, -69.46375,  45.62832,   8.33196, -66.84666,  26.86121,  89.00350, -95.66333,  24.86680, 105.47342, -90.72369,  23.75700, 117.13953, -87.03701,  22.68986, 134.57273, -81.16343,  22.35726, 139.07814, -79.74538,  21.96781, 143.60982, -78.42915,  20.51689, 129.54920, -84.16654,  10.55605, 131.65835, -92.57989,   6.27703, 115.61271,-113.23122,   2.24792,  97.98865,-131.91701,   1.48102,  95.09408,-131.30474,   0.77735,  91.48376,-131.13873,   1.13917,  88.95085,-131.18268,   0.25698,  94.78541,-132.50023,  -1.58057,  90.55396,-135.13493,  -1.53554,  87.24456,-136.60129,  -0.85833,  85.43375,-137.28909,   0.50213,  95.41392,-133.53017,  -1.15698,  91.62634,-136.65708,  -0.56089,  88.47121,-138.95586,   1.07647,  86.79055,-139.74645,   0.71023,  95.96518,-134.19234,  -0.63484,  93.05039,-137.56990,   0.00860,  90.65025,-139.95164,   1.55024,  89.11598,-140.93749,   1.10599,  96.72327,-134.87546,   0.07199,  94.51641,-138.39672,   0.59207,  92.94038,-140.59824,   1.82438,  91.95593,-141.33772,  25.50958, 129.03057, -81.72010,  36.56585, 126.39905, -74.99066,  28.85210, 104.34103, -62.49299,  17.54373,  86.67143, -47.13375,  15.01208,  87.51708, -45.64474,  11.87804,  87.92412, -43.75550,   9.42229,  87.68636, -43.07635,  15.35216,  86.98434, -44.02508,  12.52955,  85.37560, -39.82172,   9.71892,  83.99225, -38.00758,   7.94213,  83.04841, -37.60398,  16.03791,  85.96208, -44.05015,  13.65525,  83.83975, -39.96424,  10.95372,  81.46830, -38.32945,   8.99490,  80.00830, -38.73196,  16.59803,  85.28464, -44.16415,  14.96301,  82.81142, -40.56930,  12.95897,  80.35590, -39.22705,  11.20288,  78.76559, -39.52642,  17.29051,  84.50826, -44.50427,  16.23227,  81.77883, -41.37873,  14.99909,  79.55185, -40.32001,  13.81038,  78.32776, -40.67093
   0.06667,  27.36512,  81.72157, -96.34712,  19.44133,  81.97284,-101.11291,  27.62193,  41.43250, -94.58180,  37.72122,   8.89110,-118.91610,  35.28892,  81.47030, -91.58133,  48.71535,  49.87393, -67.61266,  43.49149,   8.38050, -65.58702,  26.25089,  89.12754, -94.10409,  24.09630, 105.53461, -89.02451,  22.92166, 117.17083, -85.26424,  21.83001, 134.56895, -79.29194,  21.49519, 139.06737, -77.85239,  21.10812, 143.59421, -76.51892,  19.69995, 129.58418, -82.38892,  10.10628, 131.93485, -91.15745,   5.74951, 116.59978,-112.32592,   1.60046,  99.53050,-131.49425,   0.70930,  96.65492,-130.96661,  -0.12895,  93.07029,-130.89709,   0.14295,  90.52711,-130.97952,  -0.48283,  96.41380,-132.20898,  -2.37866,  92.30276,-134.98899,  -2.40169,  89.02210,-136.51907,  -1.76650,  87.20099,-137.21965,  -0.17966,  97.05219,-133.21717,  -1.86426,  93.38737,-136.47403,  -1.30248,  90.25636,-138.81407,   0.29989,  88.53209,-139.58210,   0.07096,  97.60783,-133.86068,  -1.25994,  94.80828,-137.33982,  -0.62087,  92.43145,-139.74599,   0.89794,  90.86062,-140.70945,   0.51716,  98.36365,-134.51461,  -0.47263,  96.26276,-138.11255,   0.06657,  94.71046,-140.32630,   1.28764,  93.69567,-141.04306,  24.62167, 129.00929, -79.81458,  35.45820, 126.26783, -72.77858,  27.48760, 104.36472, -60.17013,  15.82411,  86.85051, -44.89874,  13.24728,  87.70721, -43.49605,  10.05842,  88.12868, -41.70422,   7.58499,  87.89054, -41.09274,  13.54244,  87.19975, -41.85955,  10.60566,  85.64097, -37.71601,   7.74905,  84.27254, -35.96341,   5.96495,  83.32722, -35.59730,  14.23250,  86.18014, -41.84970,  11.74084,  84.10797, -37.80325,   9.00223,  81.74937, -36.21215,   7.06143,  80.27535, -36.64934,  14.79826,  85.50348, -41.93746,  13.06944,  83.07640, -38.35505,  11.03680,  80.63241, -37.03498,   9.29616,  79.03046, -37.36131,  15.50323,  84.72512, -42.24594,  14.36548,  82.03742, -39.11218,  13.11070,  79.82103, -38.05663,  11.93729,  78.58690, -38.42353
   0.08334,  26.76148,  81.55918, -94.94101,  18.92818,  81.83136, -99.85302,  27.31880,  41.22342, -94.04873,  37.71419,   8.92567,-118.58213,  34.59478,  81.28700, -90.02900,  47.19053,  49.50337, -65.85785,  41.22833,   8.08542, -64.40793,  25.55049,  88.92012, -92.60194,  23.24982, 105.25648, -87.36113,  22.02926, 116.85931, -83.51329,  20.95419, 134.21666, -77.42058,  20.62717, 138.70758, -75.95603,  20.25209, 143.23000, -74.60428,  18.84910, 129.27517, -80.60281,   9.56455, 131.84958, -89.63724,   5.08399, 117.36511,-111.37142,   0.74547, 100.83284,-130.96380,  -0.25732,  97.98046,-130.51679,  -1.21895,  94.42633,-130.54021,  -1.03181,  91.87725,-130.66545,  -1.42267,  97.80412,-131.79494,  -3.38113,  93.81410,-134.70483,  -3.47434,  90.56550,-136.29930,  -2.88278,  88.73696,-137.01847,  -1.07052,  98.45044,-132.78194,  -2.78973,  94.90793,-136.15401,  -2.27150,  91.80381,-138.53949,  -0.70853,  90.03980,-139.29843,  -0.78364,  99.00904,-133.40749,  -2.11392,  96.32306,-136.97527,  -1.49093,  93.97110,-139.40993,  -0.00089,  92.36698,-140.36339,  -0.29426,  99.76110,-134.03430,  -1.25668,  97.76364,-137.69798,  -0.71059,  96.23542,-139.92675,   0.49425,  95.19259,-140.63062,  23.71085, 128.63842, -77.93094,  34.35542, 125.78199, -70.65184,  26.21008, 104.01928, -57.91261,  14.27798,  86.65367, -42.67907,  11.66462,  87.51765, -41.35039,   8.43153,  87.94889, -39.64210,   5.94481,  87.70862, -39.08801,  11.92166,  87.03191, -39.70092,   8.89050,  85.51352, -35.61069,   5.99706,  84.15583, -33.91097,   4.20803,  83.20810, -33.57646,  12.61501,  86.01524, -39.66142,  10.03307,  83.98406, -35.65095,   7.26515,  81.63473, -34.09729,   5.34098,  80.14767, -34.56292,  13.18521,  85.33978, -39.72686,  11.37849,  82.95093, -36.15722,   9.32323,  80.51562, -34.85624,   7.59693,  78.90283, -35.20457,  13.90033,  84.56042, -40.00825,  12.69639,  81.90769, -36.86943,  11.42437,  79.69974, -35.81682,  10.26478,  78.45647, -36.19655
   0.10000,  26.08015,  81.37521, -93.56873,  18.34162,  81.68127, -98.62680,  27.00934,  41.01493, -93.70583,  37.67034,   8.95605,-118.43776,  33.81867,  81.06916, -88.51066,  45.69012,  49.11403, -64.19944,  38.99268,   7.79033, -63.42970,  24.76625,  88.68146, -91.11647,  22.31826, 104.93274, -85.68145,  21.06118, 116.49513, -81.72519,  20.03084, 133.80126, -75.48094,  19.71806, 138.28365, -73.98743,  19.36082, 142.80220, -72.61803,  17.94245, 128.91214, -78.75378,   8.92955, 131.70458, -87.99613,   4.27860, 118.03464,-110.21665,  -0.39502, 102.10940,-130.23025,  -1.51873,  99.28993,-129.87058,  -2.61874,  95.77835,-129.99656,  -2.52939,  93.22729,-130.17710,  -2.66214,  99.18884,-131.17640,  -4.71258,  95.34619,-134.21829,  -4.89897,  92.14042,-135.88943,  -4.36438,  90.30633,-136.63846,  -2.26353,  99.84256,-132.14059,  -4.04732,  96.44778,-135.62907,  -3.60007,  93.37970,-138.07476,  -2.09165,  91.57227,-138.84188,  -1.94139, 100.40317,-132.74690,  -3.29870,  97.85291,-136.40300,  -2.71614,  95.53313,-138.87820,  -1.27006,  93.89268,-139.83754,  -1.40932, 101.14898,-133.34576,  -2.36997,  99.27402,-137.07407,  -1.83627,  97.77558,-139.32593,  -0.65844,  96.70160,-140.02868,  22.74369, 128.20170, -75.99254,  33.18504, 125.20480, -68.47935,  24.91198, 103.60628, -55.54449,  12.76157,  86.39865, -40.30424,  10.11501,  87.26475, -39.04443,   6.84364,  87.69967, -37.41161,   4.34735,  87.45079, -36.90654,  10.34016,  86.80586, -37.38265,   7.23287,  85.32895, -33.33458,   4.31295,  83.97738, -31.67575,   2.52345,  83.02260, -31.36463,  11.03914,  85.79469, -37.31296,   8.38601,  83.80692, -33.32728,   5.60115,  81.46251, -31.79663,   3.69707,  79.95539, -32.27996,  11.61500,  85.12224, -37.35599,   9.74859,  82.77549, -33.78914,   7.68215,  80.34616, -32.49471,   5.97422,  78.71646, -32.85468,  12.34101,  84.34362, -37.61025,  11.08810,  81.73063, -34.45729,   9.80849,  79.53023, -33.39810,   8.66537,  78.27342, -33.78315
   0.11667,  25.32088,  81.50429, -92.27602,  17.66115,  81.85044, -97.45011,  26.59775,  41.14897, -93.37279,  37.41079,   9.26589,-118.26545,  32.98061,  81.15815, -87.10192,  44.10160,  49.04010, -62.65093,  36.64961,   7.83870, -62.74698,  23.92078,  88.75809, -89.71803,  21.35396, 104.92666, -84.09442,  20.07352, 116.44800, -80.02745,  19.09699, 133.69896, -73.62392,  18.80303, 138.17279, -72.10121,  18.47076, 142.68847, -70.71613,  17.01625, 128.86108, -76.97679,   8.26710, 131.88779, -86.39712,   3.30835, 119.10427,-109.07404,  -1.84977, 103.93244,-129.54864,  -3.12643, 101.16706,-129.29507,  -4.40519,  97.72344,-129.54692,  -4.44521,  95.17743,-129.80128,  -4.24549, 101.16382,-130.62566,  -6.42836,  97.52327,-133.82017,  -6.74611,  94.38090,-135.58905,  -6.29209,  92.54334,-136.38147,  -3.79288, 101.82291,-131.56196,  -5.67667,  98.62812,-135.18421,  -5.33810,  95.61191,-137.71056,  -3.91003,  93.75009,-138.50101,  -3.42911, 102.38284,-132.14488,  -4.83946, 100.01335,-135.90115,  -4.32613,  97.73780,-138.43211,  -2.94750,  96.05145,-139.41095,  -2.84623, 103.11637,-132.71072,  -3.82379, 101.40209,-136.51128,  -3.32116,  99.94258,-138.79563,  -2.18626,  98.82850,-139.50653,  21.76958, 128.08161, -74.15202,  32.04639, 124.95139, -66.46826,  23.74323, 103.52424, -53.27036,  11.47134,  86.44654, -37.98138,   8.79947,  87.31052, -36.77466,   5.50089,  87.74415, -35.19717,   2.99954,  87.48243, -34.72470,   9.00380,  86.88040, -35.10253,   5.84926,  85.44284, -31.07690,   2.91632,  84.09366, -29.43924,   1.13030,  83.12898, -29.13886,   9.70992,  85.87640, -35.00620,   7.01458,  83.93089, -31.02800,   4.22670,  81.58810, -29.50038,   2.34236,  80.05740, -29.98697,  10.29184,  85.20822, -35.02987,   8.39223,  82.90366, -31.45305,   6.32685,  80.47820, -30.14971,   4.63781,  78.82859, -30.50811,  11.02787,  84.43175, -35.26079,   9.74996,  81.85947, -32.08448,   8.47290,  79.66574, -31.00851,   7.34591,  78.39330, -31.38978
   0.13334,  24.48267,  81.51920, -91.05666,  16.89413,  81.92258, -96.33055,  26.13932,  41.20287, -93.24375,  37.05047,   9.41098,-118.21012,  32.07121,  81.11583, -85.78278,  42.30507,  48.81087, -61.19102,  34.26621,   7.73110, -62.15300,  23.00925,  88.71766, -88.38600,  20.34819, 104.79719, -82.55476,  19.05761, 116.27236, -78.36237,  18.14667, 133.45889, -71.77846,  17.87622, 137.92313, -70.22359,  17.57559, 142.43620, -68.82286,  16.06680, 128.67627, -75.21023,   7.51788, 131.90874, -84.74535,   2.13769, 120.17380,-107.88827,  -3.54731, 105.73897,-128.75251,  -4.97381, 103.04029,-128.59856,  -6.43064,  99.67918,-128.96971,  -6.60264,  97.14733,-129.29931,  -6.07022, 103.13537,-129.94452,  -8.39366,  99.71049,-133.27546,  -8.85084,  96.64163,-135.14027,  -8.48318,  94.80566,-135.97976,  -5.56825, 103.79559,-130.85449,  -7.56247, 100.81175,-134.59558,  -7.34561,  97.85508,-137.20436,  -6.00674,  95.94236,-138.02868,  -5.16589, 104.35153,-131.41545,  -6.64117, 102.16977,-135.25948,  -6.21016,  99.94310,-137.84861,  -4.90830,  98.21356,-138.85677,  -4.53574, 105.06845,-131.95111,  -5.54318, 103.51863,-135.81398,  -5.08315, 102.10001,-138.13280,  -3.99830, 100.94716,-138.85984,  20.77863, 127.82531, -72.33699,  30.91239, 124.54756, -64.52581,  22.65056, 103.27332, -51.05736,  10.36548,  86.30325, -35.65953,   7.66976,  87.15958, -34.50139,   4.34765,  87.58556, -32.97191,   1.84378,  87.30460, -32.52451,   7.85847,  86.76325, -32.81910,   4.67126,  85.36607, -28.80500,   1.73369,  84.01492, -27.17729,  -0.04510,  83.03599, -26.88010,   8.57441,  85.76925, -32.69537,   5.85252,  83.86853, -28.71360,   3.07230,  81.52358, -27.17538,   1.21101,  79.96289, -27.65544,   9.16391,  85.10735, -32.69944,   7.24649,  82.84908, -29.10266,   5.19231,  80.42541, -27.77846,   3.52606,  78.75044, -28.12577,   9.91122,  84.33502, -32.90683,   8.62324,  81.80859, -29.69795,   7.35748,  79.62119, -28.59604,   6.24932,  78.32921, -28.96662
   0.15000,  23.55753,  81.52123, -89.89872,  16.03611,  82.00130, -95.26158,  25.68103,  41.29609, -93.48456,  36.56326,   9.51871,-118.48201,  31.07895,  81.04115, -84.53586,  40.54338,  48.56339, -59.86367,  31.94747,   7.62883, -61.75282,  22.01095,  88.65198, -87.09130,  19.26628, 104.62453, -81.01014,  17.98021, 116.04548, -76.67089,  17.16403, 133.15786, -69.88453,  16.92138, 137.61137, -68.29469,  16.65346, 142.12173, -66.87867,  15.07505, 128.43819, -73.39697,   6.65943, 131.86491, -82.98270,   0.83754, 121.11247,-106.49314,  -5.53446, 107.46049,-127.68326,  -7.13658, 104.85819,-127.63062,  -8.80517, 101.61326,-128.12392,  -9.13807,  99.10948,-128.53474,  -8.20591, 105.06633,-128.98561, -10.70289, 101.90524,-132.44912, -11.33450,  98.93152,-134.41444, -11.07642,  97.10181,-135.30676,  -7.64940, 105.71953,-129.86852,  -9.78340, 102.98914,-133.72429,  -9.72497, 100.10564,-136.42181,  -8.50309,  98.13493,-137.29008,  -7.20386, 106.26463,-130.40705,  -8.76616, 104.30315,-134.33452,  -8.44653, 102.13302,-136.98701,  -7.24706, 100.35306,-138.03370,  -6.52086, 106.95449,-130.91259,  -7.57473, 105.59305,-134.83362,  -7.17692, 104.21867,-137.19029,  -6.16005, 103.01959,-137.94045,  19.74767, 127.50627, -70.48508,  29.74431, 124.05622, -62.57207,  21.62304, 102.92690, -48.79359,   9.41419,  86.05489, -33.22827,   6.69995,  86.89929, -32.10513,   3.36159,  87.31247, -30.60788,   0.85784,  87.00979, -30.17417,   6.88050,  86.53437, -30.41486,   3.67942,  85.16935, -26.40074,   0.74553,  83.81202, -24.77153,  -1.02393,  82.81748, -24.47051,   7.60702,  85.55117, -30.26859,   4.87733,  83.68765, -26.27459,   2.11304,  81.33704, -24.71642,   0.27377,  79.74644, -25.18301,   8.20421,  84.89629, -30.25680,   6.28600,  82.67813, -26.63556,   4.25022,  80.25367, -25.28464,   2.60630,  78.55341, -25.61508,   8.96203,  84.12935, -30.44520,   7.67927,  81.64379, -27.20249,   6.43077,  79.46102, -26.07210,   5.34059,  78.14984, -26.42834
   0.16667,  22.58447,  81.87016, -88.73412,  15.11331,  82.42973, -94.15917,  25.13440,  41.77875, -93.74380,  35.89074,   9.96529,-118.74983,  30.05563,  81.31060, -83.30906,  38.80109,  48.62812, -58.64190,  29.64756,   7.87913, -61.61338,  20.98329,  88.93760, -85.80006,  18.18765, 104.81206, -79.48960,  16.92104, 116.18456, -75.01933,  16.20792, 133.23203, -68.06021,  15.99564, 137.67661, -66.44129,  15.76334, 142.18539, -65.01400,  14.10293, 128.56833, -71.63725,   5.78294, 132.20153, -81.23042,  -0.60184, 122.47283,-105.03876,  -7.85846, 109.75078,-126.52110,  -9.67059, 107.29007,-126.57204, -11.59557, 104.21301,-127.19116, -12.12927, 101.76058,-127.69038, -10.70291, 107.63127,-127.92876, -13.41119, 104.80545,-131.52088, -14.26292, 101.96156,-133.59241, -14.14630, 100.14751,-134.54442, -10.08390, 108.26510,-128.78373, -12.39023, 105.85123,-132.74984, -12.53818, 103.06435,-135.54376, -11.47305, 101.02911,-136.46781,  -9.58849, 108.78901,-129.29923, -11.26074, 107.09593,-133.30551, -11.09001, 104.99639,-136.02767, -10.02933, 103.15894,-137.12370,  -8.84488, 109.43630,-129.77467,  -9.96098, 108.29846,-133.74937,  -9.65012, 106.97513,-136.14796,  -8.72694, 105.72150,-136.92944,  18.74510, 127.56382, -68.70087,  28.64151, 123.95596, -60.73245,  20.75034, 102.98466, -46.58381,   8.68861,  86.18083, -30.83116,   5.95036,  87.00379, -29.75126,   2.59189,  87.39343, -28.29318,   0.08968,  87.05798, -27.87492,   6.12143,  86.67973, -28.05170,   2.90690,  85.35027, -24.03639,  -0.01866,  83.97991, -22.40312,  -1.77386,  82.96239, -22.09550,   6.86298,  85.71253, -27.87700,   4.12832,  83.89232, -23.86647,   1.38965,  81.53036, -22.28044,  -0.41827,  79.89874, -22.72746,   7.47095,  85.06831, -27.84526,   5.55700,  82.89909, -24.19226,   3.54987,  80.47108, -22.80533,   1.93784,  78.73620, -23.11206,   8.24325,  84.31035, -28.00971,   6.97260,  81.87621, -24.72352,   5.75058,  79.69825, -23.55553,   4.68590,  78.36113, -23.89189
