time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667,  19.69375,  79.07153,-134.28214,  10.46424,  82.29890,-138.10971,   2.73331,  43.96388,-142.90755,  34.07044,  24.58405,-136.97554,  28.92325,  75.84416,-130.45456,  12.63528,  40.00049,-131.96898,   1.87206,   6.76079,-118.85192,  20.83879,  85.90366,-131.28243,  22.61033, 100.97150,-124.26721,  23.09994, 111.69203,-119.21374,  22.55697, 127.77410,-111.61779,  22.16716, 131.68549,-110.30243,  21.72281, 135.73515,-109.53837,  21.70961, 123.94008,-116.19210,  31.70121, 128.82689,-122.53477,  46.58916, 124.51645,-136.70407,  24.41723, 123.12970,-142.66079,  22.18103, 123.06216,-144.47708,  19.88002, 122.79620,-147.06346,  18.56878, 121.84746,-148.85184,  22.60857, 124.19150,-145.58389,  21.74424, 125.02666,-150.44668,  20.95965, 124.28843,-153.68520,  20.58916, 123.28356,-155.29678,  23.76183, 124.20740,-145.71475,  23.54280, 125.03061,-150.52857,  23.56864, 123.89806,-154.07608,  23.55470, 122.06384,-155.51933,  24.59765, 124.20827,-145.68469,  25.11918, 124.98174,-149.97787,  25.63938, 123.99946,-153.02657,  25.82852, 122.30316,-154.49567,  25.60435, 124.09195,-145.49366,  26.69428, 124.76964,-149.32135,  27.51954, 124.08786,-151.68967,  27.77127, 122.78829,-152.66122,  23.73338, 121.86164,-111.64698,  33.47901, 115.19468,-106.69554,  14.31410, 109.20758,-100.54242,   9.09511, 109.12372,-122.94231,   6.80584, 110.86792,-123.08757,   3.88198, 112.63167,-123.71607,   2.20959, 113.91961,-124.88315,   5.57448, 109.84015,-122.75489,   0.71079, 109.50042,-123.90397,  -2.15193, 110.00091,-125.69364,  -3.35246, 110.49791,-127.12750,   5.81618, 108.78051,-123.16248,   1.20306, 107.87579,-124.50380,  -1.54350, 107.76654,-127.01629,  -2.19943, 108.31660,-129.18764,   6.10559, 108.03664,-123.41228,   2.20362, 106.57163,-124.80156,   0.00307, 106.03568,-127.12542,  -0.65893, 106.34237,-129.25596,   6.63137, 107.21398,-123.74433,   3.35326, 105.35333,-125.19016,   1.74861, 104.52607,-127.05980,   1.41140, 104.68963,-128.65845
   0.03333,  20.71650,  78.55463,-134.76859,  11.48160,  81.78279,-138.58243,   4.98366,  43.66586,-146.14794,  36.50579,  24.33352,-141.10826,  29.95141,  75.32646,-130.95474,  12.90905,  39.82602,-132.23405,   1.94900,   6.73926,-118.89514,  21.77923,  85.32771,-131.60893,  23.34732, 100.26817,-124.27988,  23.66693, 110.90547,-119.04035,  22.80048, 126.86768,-111.22476,  22.35734, 130.76180,-109.87550,  21.89722, 134.80456,-109.08466,  22.02065, 123.07825,-115.84798,  31.93168, 128.00008,-122.28920,  47.13061, 123.59171,-136.09352,  25.10702, 122.04829,-142.54172,  22.91765, 121.93605,-144.41206,  20.68454, 121.61467,-147.05113,  19.42702, 120.63032,-148.85874,  23.36260, 123.05465,-145.52290,  22.61275, 123.81764,-150.41646,  21.91609, 123.02957,-153.66333,  21.59505, 122.00016,-155.27003,  24.51858, 123.07955,-145.62521,  24.41270, 123.83723,-150.45358,  24.53743, 122.65835,-153.98386,  24.57606, 120.80524,-155.40232,  25.35336, 123.08858,-145.57437,  25.97517, 123.81027,-149.86321,  26.58027, 122.79282,-152.88458,  26.82132, 121.07914,-154.32566,  26.35596, 122.98415,-145.35679,  27.53519, 123.62149,-149.16489,  28.42553, 122.91629,-151.50259,  28.71313, 121.60644,-152.45007,  24.10542, 120.98326,-111.33816,  33.78165, 114.10113,-106.54762,  14.71498, 107.64367,-100.56737,   9.93127, 107.24869,-123.06093,   7.60916, 108.94918,-123.20328,   4.66220, 110.67053,-123.84134,   2.98720, 111.95798,-125.00521,   6.39322, 107.88699,-122.92675,   1.56226, 107.48194,-124.18732,  -1.27324, 107.97653,-126.02141,  -2.45445, 108.49113,-127.46507,   6.66548, 106.84507,-123.35995,   2.10083, 105.88622,-124.82387,  -0.59093, 105.79530,-127.39570,  -1.21384, 106.39595,-129.56336,   6.97556, 106.11501,-123.62524,   3.13455, 104.61224,-125.13850,   0.99371, 104.10047,-127.52281,   0.36903, 104.45658,-129.65693,   7.52525, 105.31351,-123.97005,   4.31733, 103.42980,-125.53827,   2.76900, 102.62565,-127.46461,   2.46113, 102.82959,-129.06455
   0.05000,  21.77172,  78.03466,-135.17329,  12.52920,  81.25520,-138.97512,   7.17073,  43.51968,-148.95899,  38.84486,  24.22528,-144.80467,  31.01425,  74.81412,-131.37147,  13.31979,  39.63133,-132.57049,   1.99542,   6.76717,-118.98786,  22.74614,  84.74589,-131.85708,  24.08219,  99.54724,-124.20684,  24.19700, 110.08847,-118.76841,  22.93721, 125.90304,-110.70995,  22.43064, 129.77635,-109.32364,  21.95454, 133.81109,-108.50193,  22.23560, 122.16264,-115.38535,  32.05576, 127.10507,-121.94883,  47.50445, 122.59307,-135.43882,  25.63400, 120.88832,-142.35090,  23.49785, 120.72695,-144.27831,  21.34075, 120.34333,-146.97174,  20.14110, 119.31871,-148.79623,  23.96449, 121.83053,-145.39527,  23.34363, 122.50575,-150.31969,  22.74269, 121.65804,-153.57066,  22.47398, 120.59942,-155.16796,  25.12262, 121.86323,-145.46630,  25.14371, 122.53953,-150.30786,  25.37466, 121.30312,-153.81301,  25.46669, 119.42703,-155.19843,  25.95558, 121.87997,-145.39279,  26.68952, 122.53526,-149.67456,  27.38539, 121.47267,-152.66064,  27.67929, 119.73728,-154.06548,  26.95260, 121.78744,-145.14611,  28.23116, 122.37097,-148.93072,  29.19091, 121.63430,-151.23093,  29.51464, 120.31127,-152.14797,  24.40231, 120.05905,-110.91836,  34.00413, 112.95323,-106.30807,  15.06774, 105.93456,-100.55033,  10.69056, 105.23086,-123.11901,   8.34001, 106.89126,-123.26761,   5.37381, 108.57247,-123.92331,   3.69722, 109.85544,-125.08984,   7.13924, 105.80084,-123.03881,   2.34144, 105.33633,-124.40142,  -0.46766, 105.82092,-126.27831,  -1.63082, 106.34688,-127.73248,   7.43918, 104.77436,-123.49020,   2.92185, 103.76587,-125.06348,   0.28139, 103.68483,-127.68828,  -0.31159, 104.32374,-129.85339,   7.76789, 104.05642,-123.76594,   3.98510, 102.51866,-125.38689,   1.89973, 102.02275,-127.82314,   1.30893, 102.41642,-129.96031,   8.33897, 103.27330,-124.11816,   5.19724, 101.36766,-125.79044,   3.70100, 100.57983,-127.76412,   3.41966, 100.81490,-129.36466
   0.06667,  22.75862,  77.54844,-135.46503,  13.49417,  80.73767,-139.23976,   9.28891,  43.52535,-151.48391,  41.10319,  24.27564,-148.30862,  32.02308,  74.35921,-131.69029,  13.78622,  39.46071,-133.05871,   2.11755,   6.78797,-119.30676,  23.61984,  84.18487,-131.97168,  24.70520,  98.83573,-123.99888,  24.63399, 109.28510,-118.38526,  23.04440, 124.97482,-110.14316,  22.48570, 128.83107,-108.72957,  21.99820, 132.85953,-107.88406,  22.40857, 121.27178,-114.85754,  32.14742, 126.21944,-121.53720,  47.80296, 121.59237,-134.74684,  26.10293, 119.70330,-142.13197,  24.01422, 119.50065,-144.10689,  21.92390, 119.06350,-146.84446,  20.77296, 118.00405,-148.68039,  24.50231, 120.58867,-145.22992,  23.99620, 121.18250,-150.17791,  23.47706, 120.28026,-153.42830,  23.25150, 119.19509,-155.01440,  25.66164, 120.62604,-145.27386,  25.79531, 121.22547,-150.12374,  26.11568, 119.93473,-153.60217,  26.24947, 118.03736,-154.95481,  26.49253, 120.64812,-145.18080,  27.32554, 121.23900,-149.45381,  28.09749, 120.13262,-152.40509,  28.43290, 118.37664,-153.77459,  27.48379, 120.56451,-144.90900,  28.84971, 121.09427,-148.67092,  29.86756, 120.32598,-150.93554,  30.21923, 118.99019,-151.82332,  24.64360, 119.16915,-110.42389,  34.19745, 111.91104,-105.95330,  15.39830, 104.37080,-100.40921,  11.45434, 103.32592,-123.04444,   9.07771, 104.94709,-123.21032,   6.09539, 106.58766,-123.89522,   4.41959, 107.86239,-125.07186,   7.89244, 103.83159,-123.02592,   3.13195, 103.30803,-124.49387,   0.35260, 103.77792,-126.41820,  -0.79058, 104.31031,-127.88582,   8.21977, 102.81915,-123.48983,   3.75364, 101.76066,-125.17264,   1.16799, 101.68204,-127.85152,   0.60695, 102.35065,-130.01617,   8.56679, 102.11239,-123.77192,   4.84542, 100.53865,-125.49716,   2.81837, 100.05156,-127.98389,   2.26337, 100.47454,-130.12505,   9.15880, 101.34617,-124.12675,   6.08591,  99.41693,-125.89701,   4.64380,  98.63978,-127.91473,   4.39029,  98.89967,-129.51608
   0.08334,  23.64290,  77.13688,-135.62869,  14.35569,  80.28409,-139.38273,  11.40307,  43.78314,-153.91968,  43.37435,  24.64934,-151.79432,  32.93011,  73.98967,-131.87466,  14.18998,  39.37549,-133.61433,   2.28823,   6.79761,-119.83711,  24.39369,  83.70335,-131.98107,  25.22719,  98.21311,-123.72495,  24.96222, 108.57529,-117.95763,  23.02445, 124.14256,-109.55932,  22.41258, 127.98185,-108.12178,  21.91453, 132.00362,-107.25096,  22.46026, 120.47020,-114.30669,  32.12490, 125.40533,-121.10240,  47.97805, 120.65262,-134.02870,  26.42517, 118.58521,-141.78750,  24.38268, 118.34404,-143.80596,  22.35644, 117.85498,-146.58263,  21.24947, 116.76127,-148.42551,  24.89493, 119.41298,-144.93652,  24.50184, 119.91863,-149.90453,  24.05878, 118.95834,-153.14955,  23.87124, 117.84498,-154.72101,  26.05492, 119.45166,-144.95449,  26.29916, 119.96579,-149.80985,  26.70118, 118.61454,-153.25669,  26.86867, 116.69388,-154.57219,  26.88341, 119.47687,-144.84279,  27.81358, 119.99387,-149.10532,  28.65468, 118.83706,-152.01811,  29.02392, 117.05783,-153.34834,  27.86828, 119.39984,-144.54687,  29.31955, 119.86569,-148.28522,  30.39024, 119.05946,-150.51197,  30.76408, 117.70887,-151.36772,  24.76301, 118.38042,-109.90172,  34.27281, 110.97377,-105.58342,  15.62262, 102.91597,-100.26911,  12.18248, 101.47330,-122.96458,   9.78063, 103.05370,-123.15824,   6.78488, 104.65148,-123.88446,   5.11313, 105.91574,-125.07804,   8.61233, 101.91385,-123.02026,   3.89724, 101.32945,-124.60699,   1.15448, 101.78202,-126.58715,   0.03555, 102.31887,-128.07174,   8.96891, 100.91569,-123.49345,   4.56291,  99.80558,-125.29713,   2.04121,  99.72637,-128.03628,   1.51760, 100.42201,-130.20180,   9.33535, 100.22033,-123.77929,   5.68430,  98.60938,-125.61677,   3.72414,  98.12864,-128.15777,   3.21058,  98.57843,-130.30380,   9.94943,  99.47122,-124.13313,   6.95421,  97.51743,-126.00657,   5.57336,  96.74923,-128.07004,   5.35182,  97.03212,-129.67225
   0.10000,  24.51676,  76.81173,-135.68744,  15.20436,  79.90317,-139.42536,  13.31733,  44.11053,-155.78647,  45.43119,  25.13736,-154.56103,  33.82917,  73.72028,-131.94952,  14.74169,  39.32583,-134.19671,   2.47841,   6.86868,-120.45160,  25.14807,  83.30529,-131.88974,  25.71477,  97.66824,-123.35888,  25.25057, 107.93872,-117.44204,  22.96837, 123.37366,-108.88748,  22.30348, 127.19494,-107.42571,  21.79406, 131.20962,-106.52913,  22.47492, 119.73401,-113.66781,  32.06390, 124.64376,-120.58794,  48.05961, 119.78233,-133.29635,  26.64339, 117.50255,-141.36778,  24.65154, 117.20844,-143.42937,  22.69540, 116.65040,-146.24306,  21.63822, 115.51225,-148.08826,  25.18643, 118.25549,-144.56990,  24.91180, 118.65308,-149.55566,  24.55177, 117.62161,-152.78908,  24.40725, 116.47407,-154.34037,  26.34633, 118.29940,-144.56066,  26.70607, 118.71097,-149.41861,  27.19746, 117.28843,-152.82494,  27.40514, 115.34097,-154.09451,  27.17175, 118.33101,-144.42954,  28.20282, 118.76143,-148.67845,  29.11935, 117.54681,-151.54458,  29.52847, 115.74141,-152.82702,  28.14948, 118.26510,-144.10832,  29.68899, 118.65810,-147.81964,  30.81688, 117.80973,-150.00206,  31.21722, 116.44302,-150.81936,  24.84494, 117.65901,-109.29162,  34.32920, 110.14492,-105.10477,  15.85569, 101.53917,-100.03817,  12.88055,  99.74142,-122.77397,  10.45943, 101.28778,-122.99985,   7.45560, 102.84913,-123.77056,   5.79030, 104.10269,-124.98428,   9.30605, 100.12887,-122.90046,   4.63504,  99.49318,-124.59425,   1.92814,  99.92877,-126.62686,   0.83275, 100.46696,-128.12843,   9.68778,  99.14209,-123.37787,   5.33838,  97.98811,-125.28825,   2.87665,  97.90468,-128.08129,   2.38834,  98.61896,-130.24899,  10.07077,  98.45588,-123.66415,   6.48445,  96.81293,-125.59822,   4.58601,  96.33407,-128.18601,   4.11111,  96.80245,-130.33696,  10.70359,  97.72051,-124.01377,   7.77887,  95.74508,-125.97391,   6.45386,  94.98165,-128.07541,   6.26193,  95.28087,-129.67847
   0.11667,  25.58971,  76.36295,-135.61134,  16.25413,  79.39164,-139.34283,  15.24475,  44.33700,-157.30149,  47.51702,  25.60021,-156.83672,  34.92529,  73.33427,-131.87985,  15.56539,  39.13004,-134.64117,   2.38033,   7.00639,-120.96608,  26.08765,  82.77263,-131.65465,  26.36202,  96.97706,-122.84838,  25.68336, 107.15642,-116.79635,  23.02863, 122.46846,-108.12917,  22.30618, 126.27186,-106.64821,  21.77903, 130.27815,-105.72474,  22.62143, 118.85240,-112.93545,  32.15395, 123.72867,-119.95652,  48.26043, 118.77533,-132.48830,  26.99285, 116.24370,-140.87166,  25.03884, 115.90472,-142.96236,  23.13479, 115.28847,-145.79954,  22.11454, 114.11318,-147.64224,  25.58999, 116.93321,-144.11199,  25.40209, 117.24006,-149.10817,  25.10304, 116.14925,-152.32831,  24.99013, 114.97346,-153.86095,  26.74938, 116.98187,-144.08312,  27.19344, 117.30751,-148.94061,  27.75014, 115.82595,-152.31156,  27.98731, 113.85682,-153.54194,  27.57223, 117.01910,-143.93808,  28.67667, 117.37718,-148.17525,  29.64814, 116.11489,-151.00242,  30.08643, 114.28838,-152.24469,  28.54436, 116.96283,-143.59856,  30.14780, 117.29517,-147.28868,  31.31717, 116.41220,-149.43524,  31.73687, 115.03262,-150.22058,  25.04472, 116.80471,-108.57561,  34.51493, 109.20269,-104.51767,  16.21007, 100.12751, -99.66244,  13.70732,  97.98544,-122.42530,  11.27277,  99.50296,-122.69769,   8.26815, 101.03178,-123.52822,   6.61575, 102.27244,-124.77244,  10.13210,  98.32914,-122.63244,   5.50999,  97.64643,-124.43835,   2.84564,  98.06161,-126.53059,   1.77864,  98.59597,-128.05381,  10.53721,  97.35035,-123.10704,   6.24815,  96.15483,-125.12525,   3.85305,  96.05910,-127.97526,   3.40614,  96.78148,-130.14919,  10.93536,  96.67087,-123.38863,   7.41583,  94.99609,-125.41587,   5.58406,  94.51064,-128.05006,   5.15326,  94.98720,-130.20849,  11.58533,  95.94575,-123.72806,   8.73197,  93.94696,-125.76806,   7.46575,  93.18091,-127.90457,   7.30726,  93.48824,-129.50974
   0.13334,  26.65777,  75.93475,-135.34773,  17.30799,  78.91063,-139.08617,  16.99903,  44.71918,-158.66191,  49.45890,  26.30456,-158.86507,  36.00754,  72.95888,-131.60929,  16.39860,  38.96341,-135.09608,   2.17907,   7.19659,-121.62549,  27.04148,  82.27163,-131.26311,  27.06584,  96.34775,-122.24904,  26.20294, 106.46100,-116.11026,  23.22103, 121.69052,-107.40415,  22.44732, 125.48093,-105.91579,  21.89824, 129.48007,-104.97432,  22.90162, 118.08307,-112.22352,  32.39200, 122.91375,-119.33265,  48.60030, 117.88131,-131.70056,  27.45745, 115.12710,-140.32574,  25.54434, 114.69416,-142.43683,  23.69841, 113.96436,-145.28546,  22.72987, 112.71976,-147.11047,  26.09552, 115.70046,-143.60593,  25.98383, 115.86527,-148.61109,  25.75727, 114.68033,-151.80376,  25.69074, 113.46064,-153.30449,  27.25321, 115.77140,-143.56006,  27.77068, 115.97055,-148.41713,  28.40916, 114.40677,-151.73603,  28.70202, 112.40906,-152.90690,  28.07277, 115.82788,-143.40310,  29.23970, 116.08889,-147.63061,  30.27996, 114.76702,-150.40559,  30.77149, 112.91524,-151.58914,  29.04008, 115.79908,-143.04678,  30.69737, 116.05877,-146.71889,  31.91748, 115.13852,-148.82110,  32.37486, 113.74574,-149.56077,  25.34762, 116.06816,-107.86109,  34.80302, 108.38216,-103.92875,  16.67790,  98.84886, -99.28155,  14.69802,  96.33285,-122.05763,  12.25436,  97.82193,-122.39710,   9.25705,  99.31712,-123.31109,   7.62682, 100.54154,-124.59984,  11.12649,  96.63437,-122.36818,   6.56756,  95.90168,-124.30999,   3.96055,  96.29104,-126.47805,   2.93206,  96.81702,-128.03040,  11.55702,  95.66188,-122.83324,   7.34334,  94.42102,-124.97885,   5.03369,  94.30493,-127.89779,   4.64170,  95.02822,-130.08200,  11.97136,  94.98803,-123.10483,   8.53286,  93.27718,-125.23822,   6.78465,  92.77750,-127.92599,   6.41127,  93.25514,-130.09485,  12.63964,  94.27173,-123.42699,   9.87124,  92.24488,-125.55451,   8.67717,  91.46995,-127.72902,   8.56187,  91.78002,-129.33734
   0.15000,  27.77311,  75.51241,-134.90483,  18.44438,  78.48376,-138.69902,  18.49439,  45.04333,-159.53398,  51.13956,  26.96803,-160.13289,  37.10184,  72.54105,-131.11064,  17.33042,  38.71848,-135.29215,   2.06590,   7.31877,-122.10749,  28.06290,  81.78080,-130.70833,  27.86338,  95.73757,-121.51267,  26.81792, 105.79174,-115.30560,  23.48799, 120.94848,-106.59865,  22.65848, 124.72678,-105.10954,  22.08077, 128.71867,-104.15453,  23.27141, 117.34365,-111.42569,  32.73600, 122.11049,-118.61187,  49.00977, 117.01326,-130.86677,  27.97664, 114.06585,-139.69401,  26.10879, 113.50916,-141.81658,  24.32726, 112.63146,-144.66449,  23.41949, 111.29838,-146.45798,  26.65288, 114.48724,-143.01264,  26.61645, 114.47153,-148.02160,  26.47051, 113.16868,-151.17277,  26.45858, 111.89524,-152.62962,  27.80753, 114.58958,-142.95205,  28.39678, 114.62964,-147.80485,  29.12705, 112.96614,-151.05564,  29.48875, 110.93638,-152.14962,  28.62282, 114.67270,-142.78498,  29.84968, 114.81363,-147.00121,  30.96683, 113.42144,-149.71115,  31.52363, 111.54214,-150.82007,  29.58477, 114.68150,-142.41343,  31.29301, 114.85344,-146.06731,  32.56913, 113.89098,-148.11670,  33.07318, 112.48510,-148.79903,  25.72266, 115.36762,-107.04843,  35.15987, 107.61573,-103.20270,  17.22124,  97.63527, -98.77597,  15.69090,  94.78287,-121.54704,  13.24408,  96.24866,-121.95768,  10.26012,  97.71478,-122.95831,   8.65579,  98.92256,-124.29440,  12.12697,  95.05062,-121.95925,   7.63206,  94.27329,-124.02875,   5.08415,  94.63600,-126.27044,   4.09530,  95.15073,-127.85204,  12.57959,  94.08172,-122.41064,   8.44030,  92.79927,-124.67340,   6.21566,  92.65856,-127.65658,   5.87913,  93.37591,-129.85197,  13.00774,  93.41150,-122.66949,   9.64733,  91.66635,-124.89742,   7.98090,  91.14756,-127.63309,   7.66482,  91.61946,-129.81229,  13.69155,  92.70116,-122.97162,  11.00373,  90.64630,-125.17426,   9.87917,  89.85799,-127.38078,   9.80671,  90.16532,-128.99213
   0.16667,  28.96946,  75.07384,-134.27272,  19.69460,  78.09420,-138.15915,  19.85864,  45.22578,-159.88472,  52.71464,  27.54493,-160.69282,  38.24432,  72.05347,-130.38629,  18.34057,  38.41002,-135.31770,   2.02468,   7.43041,-122.40112,  29.17459,  81.26162,-129.95339,  28.78196,  95.08688,-120.56727,  27.58562, 105.08507,-114.29733,  23.96632, 120.19134,-105.61819,  23.08956, 123.96085,-104.13390,  22.48411, 127.94713,-103.17264,  23.84675, 116.58668,-110.44874,  33.31234, 121.28725,-117.67713,  49.62773, 116.16111,-129.86444,  28.69597, 113.05516,-138.87635,  26.86927, 112.37584,-140.99903,  25.14607, 111.35301,-143.83438,  24.29540, 109.93498,-145.59031,  27.40203, 113.32607,-142.22232,  27.42688, 113.13605,-147.22778,  27.35342, 111.72149,-150.33297,  27.39256, 110.39852,-151.74451,  28.55279, 113.46113,-142.15238,  29.19969, 113.34888,-146.99670,  30.01274, 111.59389,-150.17901,  30.44075, 109.53782,-151.19732,  29.36353, 113.57165,-141.97917,  30.63740, 113.59917,-146.18371,  31.82348, 112.14424,-148.83067,  32.44277, 110.24316,-149.86697,  30.32033, 113.61889,-141.59738,  32.06774, 113.70966,-145.23562,  33.39344, 112.71115,-147.23569,  33.94240, 111.29640,-147.86282,  26.27936, 114.64089,-106.04761,  35.68794, 106.84051,-102.22986,  17.92094,  96.45243, -98.05594,  16.81883,  93.28527,-120.81016,  14.37138,  94.72523,-121.30062,  11.40474,  96.15773,-122.39689,   9.82959,  97.34395,-123.78597,  13.26644,  93.51632,-121.33010,   8.84331,  92.68607,-123.52962,   6.36037,  93.01411,-125.84823,   5.41446,  93.51230,-127.46109,  13.74173,  92.54996,-121.76327,   9.68472,  91.21726,-124.14299,   7.55197,  91.04188,-127.19075,   7.27449,  91.74640,-129.39851,  14.18390,  91.88285,-122.00608,  10.90880,  90.09525,-124.32553,   9.33022,  89.54836,-127.10744,   9.07508,  90.00771,-129.29728,  14.88329,  91.17794,-122.28433,  12.28268,  89.08736,-124.55693,  11.23245,  88.27854,-126.79247,  11.20536,  88.57818,-128.40667
