time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667, -71.76007,  81.80009,-137.63136, -81.71297,  84.17000,-139.99214, -96.82611,  47.85697,-137.68630, -69.36447,  27.97570,-153.28682, -61.80717,  79.43019,-135.27058, -70.66204,  41.07916,-133.49582, -82.33620,   6.42298,-126.04963, -70.63549,  88.87996,-135.26529, -67.92733, 104.61800,-130.32860, -65.79072, 115.80613,-127.01684, -62.25159, 132.58041,-122.24980, -61.83586, 136.59194,-121.29283, -61.76722, 140.68392,-120.63554, -65.61273, 128.31244,-124.86308, -66.55893, 132.42691,-136.95102, -69.56036, 124.14828,-156.01553, -91.13535, 116.97123,-159.48099, -93.43580, 118.22762,-160.67829, -96.28063, 119.22735,-162.39941, -98.55261, 119.26671,-163.20830, -93.02390, 118.24945,-162.26356, -95.44152, 118.16615,-166.64985, -97.98208, 117.54313,-168.84210, -99.63000, 116.85715,-169.58911, -92.37862, 117.31995,-162.52243, -94.38753, 116.73575,-166.94074, -96.83399, 115.17531,-169.27484, -98.69679, 113.78341,-169.47522, -91.85564, 116.67194,-162.60052, -93.18758, 115.61042,-166.65030, -94.99321, 113.87339,-168.71245, -96.65990, 112.39347,-169.03415, -91.22183, 115.86443,-162.50222, -92.03726, 114.42068,-166.18313, -93.13374, 112.78665,-167.88092, -94.26940, 111.60806,-168.01263, -61.03532, 126.68238,-122.52557, -49.96015, 123.19890,-117.12666, -66.74785, 119.18166,-105.16694, -89.43529, 115.54698,-104.13276, -90.72040, 118.09356,-103.72342, -92.76935, 120.85116,-103.22126, -94.52308, 122.47245,-103.55830, -91.37729, 117.90675,-102.23453, -95.33491, 119.71589, -99.75348, -98.42107, 121.10690, -99.31838,-100.20025, 121.77032, -99.69071, -91.69282, 116.80159,-102.07189, -95.72367, 117.96818, -99.56395, -99.38159, 118.61907, -99.31066,-101.38236, 118.88794,-100.48206, -91.81189, 115.97608,-102.00967, -95.51785, 116.31408, -99.67445, -98.75223, 116.38496, -99.42193,-100.76027, 116.46173,-100.43850, -91.85861, 114.94988,-102.10020, -95.27696, 114.63821, -99.97506, -97.83287, 114.28144, -99.66710, -99.24996, 114.20544,-100.49308
   0.03333, -70.96635,  81.39890,-138.36757, -80.90163,  83.74978,-140.81981, -94.84390,  46.90311,-140.27573, -67.21211,  26.70267,-155.14882, -61.03106,  79.04802,-135.91533, -70.15353,  40.78068,-133.73563, -82.35981,   6.37822,-125.97288, -69.92928,  88.43159,-135.82726, -67.37348, 104.08095,-130.53984, -65.30435, 115.21172,-126.99983, -61.80119, 131.89865,-121.91056, -61.38956, 135.89633,-120.89561, -61.31367, 139.98126,-120.19656, -65.13662, 127.67984,-124.63428, -66.02002, 131.93909,-136.67674, -68.63166, 123.65696,-155.79704, -90.09683, 116.41842,-159.77824, -92.40273, 117.62051,-161.01997, -95.23460, 118.55449,-162.79844, -97.48870, 118.53877,-163.65665, -91.95715, 117.66102,-162.59574, -94.27580, 117.53685,-167.03419, -96.75093, 116.85893,-169.28424, -98.36372, 116.13406,-170.07017, -91.28233, 116.74993,-162.84457, -93.17871, 116.13584,-167.30832, -95.53222, 114.52400,-169.70230, -97.35321, 113.08511,-169.94958, -90.74102, 116.11616,-162.91408, -91.95637, 115.04068,-166.99672, -93.67072, 113.26762,-169.10558, -95.29077, 111.74646,-169.47025, -90.08861, 115.32493,-162.80554, -90.78579, 113.87895,-166.50980, -91.80201, 112.22548,-168.23843, -92.90336, 111.01841,-168.40020, -60.58884, 126.00439,-122.27117, -49.61433, 122.30638,-116.80976, -66.48141, 118.02247,-105.05605, -89.16183, 114.24712,-104.46851, -90.43351, 116.79447,-104.02359, -92.46864, 119.55676,-103.49185, -94.20549, 121.19817,-103.81877, -91.11218, 116.58184,-102.54799, -95.08999, 118.36950,-100.08372, -98.17143, 119.77491, -99.66165, -99.94034, 120.45962,-100.04418, -91.43810, 115.47601,-102.41277, -95.49429, 116.62127, -99.93602, -99.15041, 117.29494, -99.71893,-101.13283, 117.60351,-100.91154, -91.56415, 114.65033,-102.36942, -95.29925, 114.96829,-100.07823, -98.53618, 115.05884, -99.86826,-100.52942, 115.17219,-100.91020, -91.61724, 113.62662,-102.48198, -95.06669, 113.29722,-100.41046, -97.62918, 112.95384,-100.14478, -99.03530, 112.90595,-100.99135
   0.05000, -70.10725,  80.96182,-139.11855, -80.02614,  83.29394,-141.65365, -92.41702,  45.92040,-143.08353, -64.69585,  25.45418,-157.41717, -60.18835,  78.62969,-136.58344, -69.64178,  40.47379,-133.91507, -82.42402,   6.35535,-125.83241, -69.16375,  87.93792,-136.39253, -66.77173, 103.48140,-130.72951, -64.77647, 114.54471,-126.94413, -61.31592, 131.13063,-121.50736, -60.90967, 135.11255,-120.43020, -60.82604, 139.18962,-119.68756, -64.62910, 126.96504,-124.33806, -65.49333, 131.35921,-136.33334, -67.65053, 123.04029,-155.49430, -88.98853, 115.71640,-159.97207, -91.30040, 116.86157,-161.25577, -94.12091, 117.72633,-163.08653, -96.35714, 117.65467,-163.98758, -90.82612, 116.91655,-162.82270, -93.05598, 116.74184,-167.30472, -95.46969, 116.00527,-169.60255, -97.04816, 115.24094,-170.42015, -90.12359, 116.02350,-163.05995, -91.91837, 115.36988,-167.55995, -94.18388, 113.70308,-170.00074, -95.96241, 112.21859,-170.28481, -89.56501, 115.40391,-163.12007, -90.67454, 114.30571,-167.22671, -92.30252, 112.49354,-169.37049, -93.87587, 110.93217,-169.76821, -88.89474, 114.62941,-163.00027, -89.48408, 113.17334,-166.71927, -90.42457, 111.49782,-168.46939, -91.49138, 110.26330,-168.65391, -60.10000, 125.24436,-121.97160, -49.19747, 121.36643,-116.49081, -66.11989, 116.72940,-104.95262, -88.77744, 112.78014,-104.75627, -90.04757, 115.32194,-104.27653, -92.08153, 118.07904,-103.71422, -93.81058, 119.73110,-104.02859, -90.74295, 115.08293,-102.81278, -94.74314, 116.83383,-100.35836, -97.82551, 118.23924, -99.94316, -99.58840, 118.93593,-100.33183, -91.07310, 113.97560,-102.70236, -95.15339, 115.08420,-100.24864, -98.80998, 115.76347,-100.05869,-100.77841, 116.10018,-101.26679, -91.20167, 113.14958,-102.67624, -94.96092, 113.43372,-100.42038, -98.19973, 113.52899,-100.24414,-100.18111, 113.66766,-101.30546, -91.25607, 112.12836,-102.80898, -94.72890, 111.76869,-100.78203, -97.29500, 111.42723,-100.55103, -98.69185, 111.39935,-101.41370
   0.06667, -69.19506,  80.49959,-139.89140, -79.10942,  82.81169,-142.46234, -89.92018,  45.05701,-145.63591, -62.13162,  24.43025,-159.60426, -59.28070,  78.18748,-137.32047, -69.01877,  40.13813,-134.19371, -82.48562,   6.37015,-125.75867, -68.32860,  87.42192,-137.00733, -66.08338, 102.85073,-130.98220, -64.16538, 113.83219,-126.92808, -60.76910, 130.28828,-121.07241, -60.37192, 134.25031,-119.92107, -60.28017, 138.31770,-119.12802, -64.05669, 126.18656,-124.02364, -64.95638, 130.71613,-135.96583, -66.69225, 122.33850,-155.14400, -87.87120, 114.91529,-160.17868, -90.19130, 115.99514,-161.50350, -93.00208, 116.78053,-163.38432, -95.21898, 116.64602,-164.32507, -89.69093, 116.06412,-163.06173, -91.83476, 115.82819,-167.58275, -94.18536, 115.02458,-169.92315, -95.72677, 114.21624,-170.76865, -88.95931, 115.19138,-163.28632, -90.65444, 114.48904,-167.81752, -92.82807, 112.75981,-170.29810, -94.55857, 111.22575,-170.61365, -88.38245, 114.58786,-163.33641, -89.38715, 113.46034,-167.46205, -90.92479, 111.60371,-169.63429, -92.44603, 109.99863,-170.05982, -87.69279, 113.83257,-163.20460, -88.17438, 112.36188,-166.93335, -89.03579, 110.66113,-168.69976, -90.06381, 109.39701,-168.90312, -59.53982, 124.41684,-121.67000, -48.70084, 120.30805,-116.23154, -65.64092, 115.31187,-104.87056, -88.25528, 111.12152,-105.04785, -89.53604, 113.65076,-104.53148, -91.58197, 116.39220,-103.93692, -93.31075, 118.04709,-104.23762, -90.24752, 113.38098,-103.08088, -94.27896, 115.07461,-100.63743, -97.36876, 116.46567,-100.22917, -99.12856, 117.16682,-100.62379, -90.57661, 112.27104,-102.99658, -94.68681, 113.32237,-100.56770, -98.34673, 113.99093,-100.40581,-100.30198, 114.34833,-101.62924, -90.70375, 111.44443,-102.98859, -94.48898, 111.67605,-100.77048, -97.72978, 111.76177,-100.62931, -99.69925, 111.91819,-101.71015, -90.75453, 110.42600,-103.14251, -94.24942, 110.01909,-101.16296, -96.81726, 109.66831,-100.96818, -98.20416, 109.65528,-101.84710
   0.08334, -68.22189,  79.97660,-140.68266, -78.13697,  82.26543,-143.27157, -87.15026,  44.22823,-148.20026, -59.30349,  23.50369,-161.90549, -58.30681,  77.68777,-138.09376, -68.37984,  39.77647,-134.40224, -82.53832,   6.36212,-125.69584, -67.42981,  86.84244,-137.64616, -65.32669, 102.15192,-131.27530, -63.48417, 113.04932,-126.96732, -60.15257, 129.37363,-120.71880, -59.76435, 133.31505,-119.49590, -59.66449, 137.37204,-118.65215, -63.42119, 125.33209,-123.77235, -64.40488, 130.00504,-135.65252, -65.71281, 121.54434,-154.82817, -86.73574, 114.03171,-160.35960, -89.06714, 115.02905,-161.72853, -91.86816, 115.71468,-163.66218, -94.06107, 115.50219,-164.64388, -88.54054, 115.11486,-163.27725, -90.59015, 114.80205,-167.83714, -92.86714, 113.91558,-170.22000, -94.36327, 113.05338,-171.09318, -87.77474, 114.26819,-163.48725, -89.35949, 113.50497,-168.04845, -91.42462, 111.69960,-170.56719, -93.09415, 110.10572,-170.91324, -87.17627, 113.68523,-163.52594, -88.06380, 112.52145,-167.66835, -89.49472, 110.61116,-169.86683, -90.95062, 108.95360,-170.31886, -86.46315, 112.95462,-163.38051, -86.82337, 111.46638,-167.11599, -87.59162, 109.73574,-168.89629, -88.57077, 108.43630,-169.11739, -58.90306, 123.52187,-121.45214, -48.11615, 119.16641,-116.10287, -65.02749, 113.75098,-104.89218, -87.57152, 109.23069,-105.46991, -88.87042, 111.74027,-104.90512, -90.93639, 114.45668,-104.26665, -92.66873, 116.11142,-104.54697, -89.59927, 111.43003,-103.47133, -93.66957, 113.04274,-101.03758, -96.77072, 114.40962,-100.63373, -98.52849, 115.11324,-101.03296, -89.92432, 110.31689,-103.41999, -94.07024, 111.28756,-101.01840, -97.73497, 111.93614,-100.88687, -99.67593, 112.31674,-102.12597, -90.04776, 109.48982,-103.43498, -93.86227, 109.64789,-101.26099, -97.10497, 109.71615,-101.15978, -99.06106, 109.89209,-102.26172, -90.09188, 108.47550,-103.61578, -93.61007, 108.00267,-101.69296, -96.17857, 107.63605,-101.54068, -97.55396, 107.63985,-102.43759
   0.10000, -67.18552,  79.41457,-141.53093, -77.09848,  81.67018,-144.15682, -83.92227,  43.48889,-151.08394, -56.03249,  22.75657,-164.68959, -57.27255,  77.15897,-138.90504, -67.74294,  39.43058,-134.51186, -82.47616,   6.33777,-125.53521, -66.48975,  86.21091,-138.31953, -64.56882, 101.37883,-131.56411, -62.82270, 112.17989,-126.98208, -59.57599, 128.35626,-120.31797, -59.20044, 132.27520,-119.02106, -59.09344, 136.32124,-118.12713, -62.82123, 124.37823,-123.47798, -63.91876, 129.16800,-135.30151, -64.78367, 120.63640,-154.47086, -85.64391, 113.05205,-160.49813, -87.98579, 113.96971,-161.90439, -90.77775, 114.55968,-163.88218, -92.94680, 114.27313,-164.89750, -87.43832, 114.07185,-163.44487, -89.40516, 113.68696,-168.03559, -91.61389, 112.72289,-170.45233, -93.06658, 111.81040,-171.34747, -86.64146, 113.25112,-163.64184, -88.12867, 112.43163,-168.22607, -90.09284, 110.55614,-170.77416, -91.70254, 108.90700,-171.14396, -86.02330, 112.68848,-163.67047, -86.80688, 111.49233,-167.82461, -88.13874, 109.53346,-170.04250, -89.53117, 107.82774,-170.51488, -85.28849, 111.98226,-163.51302, -85.54059, 110.47980,-167.25167, -86.22274, 108.72299,-169.04139, -87.15432, 107.39134,-169.27593, -58.29840, 122.53066,-121.19672, -47.54263, 117.96422,-115.96190, -64.38984, 112.03526,-104.91568, -86.85113, 107.17189,-105.83116, -88.17116, 109.65898,-105.21797, -90.26026, 112.34669,-104.53484, -91.99891, 113.99837,-104.79323, -88.91469, 109.30824,-103.80115, -93.02223, 110.83568,-101.37496, -96.13579, 112.17454,-100.97279, -97.89293, 112.87832,-101.37452, -89.23378, 108.19236,-103.78194, -93.41279, 109.07838,-101.40511, -97.08253, 109.70299,-101.30001, -99.01125, 110.10425,-102.55165, -89.35220, 107.36526,-103.81941, -93.19242, 107.44662,-101.68688, -96.43642, 107.49422,-101.62190, -98.38065, 107.68731,-102.74181, -89.38828, 106.35566,-104.02645, -92.92561, 105.81438,-102.15756, -95.49351, 105.42970,-102.04471, -96.85844, 105.44872,-102.95726
   0.11667, -66.02876,  78.84345,-142.41203, -75.93894,  81.06423,-145.07783, -80.67744,  42.93205,-153.78668, -52.82653,  22.19585,-167.46582, -56.11858,  76.62266,-139.74623, -66.99826,  39.09731,-134.66283, -82.46029,   6.40781,-125.43762, -65.42766,  85.57152,-139.04171, -63.70187, 100.58459,-131.89884, -62.07486, 111.27101,-127.01413, -58.96163, 127.26406,-119.86175, -58.60649, 131.15567,-118.47964, -58.49307, 135.18875,-117.52965, -62.17072, 123.35875,-123.14692, -63.42620, 128.23215,-134.92046, -63.93632, 119.66432,-154.08637, -84.61797, 112.02596,-160.63809, -86.96944, 112.85877,-162.08069, -89.75073, 113.34740,-164.10070, -91.89313, 112.98343,-165.14730, -86.40312, 112.97754,-163.61314, -88.28705, 112.51663,-168.23155, -90.42463, 111.47189,-170.67855, -91.83108, 110.50765,-171.59308, -85.57519, 112.18491,-163.79659, -86.96472, 111.30647,-168.40050, -88.82408, 109.35924,-170.97330, -90.36942, 107.65414,-171.36330, -84.93735, 111.64422,-163.81490, -85.61696, 110.41468,-167.97760, -86.84643, 108.40681,-170.21072, -88.17117, 106.65260,-170.69996, -84.18070, 110.96443,-163.64513, -84.32464, 109.44805,-167.38389, -84.91829, 107.66555,-169.17974, -85.79912, 106.30171,-169.42517, -57.63930, 121.47682,-120.91125, -46.88652, 116.73401,-115.82934, -63.64801, 110.31404,-104.92811, -85.99827, 105.02648,-106.15579, -87.34120, 107.48452,-105.47852, -89.45520, 110.13588,-104.73282, -91.20246, 111.78348,-104.95697, -88.09623, 107.08478,-104.08089, -92.23776, 108.50878,-101.64958, -95.36419, 109.81409,-101.23709, -97.12205, 110.51865,-101.63430, -88.40788, 105.96679,-104.09974, -92.61602, 106.75077,-101.73851, -96.29079, 107.34788,-101.65083, -98.20978, 107.77555,-102.90865, -88.52027, 105.14051,-104.16421, -92.38176, 105.13009,-102.06887, -95.62649, 105.15452,-102.03503, -97.56088, 105.36990,-103.16785, -88.54743, 104.13767,-104.40302, -92.09920, 103.51515,-102.58759, -94.66540, 103.11043,-102.51261, -96.02139, 103.14910,-103.43779
   0.13334, -64.80662,  78.27581,-143.30580, -74.70960,  80.45553,-146.03157, -77.27978,  42.56328,-156.51641, -49.57154,  21.78794,-170.42401, -54.90364,  76.09609,-140.58003, -66.24772,  38.81093,-134.79310, -82.31298,   6.45922,-125.40924, -64.31153,  84.93298,-139.78098, -62.79932,  99.79139,-132.27550, -61.29928, 110.36671,-127.11610, -58.32615, 126.18486,-119.52839, -57.99376, 130.05014,-118.06889, -57.87925, 134.07031,-117.06583, -61.49749, 122.34487,-122.92533, -62.96637, 127.28975,-134.64425, -63.19889, 118.74459,-153.82565, -83.72710, 111.08511,-160.82028, -86.08300, 111.82966,-162.30334, -88.84692, 112.21323,-164.36936, -90.95796, 111.77036,-165.44878, -85.49661, 111.96372,-163.82695, -87.28836, 111.42217,-168.47321, -89.34793, 110.29485,-170.95028, -90.70445, 109.27857,-171.88370, -84.63831, 111.20036,-163.99425, -85.92150, 110.25911,-168.61658, -87.66908, 108.23934,-171.21170, -89.14665, 106.47937,-171.62018, -83.98153, 110.68256,-164.00039, -84.55002, 109.41694,-168.16892, -85.67153, 107.35992,-170.41412, -86.92532, 105.55839,-170.91811, -83.20414, 110.03052,-163.81606, -83.23405, 108.49854,-167.55111, -83.73524, 106.69062,-169.34973, -84.56320, 105.29568,-169.60426, -56.95667, 120.43831,-120.72996, -46.20146, 115.49025,-115.85301, -62.85081, 108.54368,-105.10385, -85.04427, 102.71290,-106.66983, -86.41559, 105.13050,-105.90904, -88.56030, 107.73188,-105.07969, -90.32020, 109.37188,-105.25548, -87.17996, 104.66926,-104.53564, -91.35663, 105.96004,-102.09012, -94.49843, 107.22091,-101.65663, -96.25880, 107.92538,-102.04267, -87.48130, 103.55023,-104.60163, -91.71815, 104.20372,-102.25204, -95.39882, 104.76507,-102.17635, -97.30981, 105.22554,-103.43478, -87.58563, 102.72621,-104.69975, -91.46620, 102.59947,-102.64385, -94.71120, 102.59446,-102.64042, -96.63682, 102.83774,-103.78248, -87.60150, 101.73341,-104.97822, -91.16426, 101.00883,-103.22317, -93.72728, 100.57925,-103.18902, -95.07489, 100.64277,-104.12501
   0.15000, -63.49025,  77.71545,-144.22998, -73.38414,  79.84419,-147.02812, -73.51904,  42.44536,-159.42445, -46.02420,  21.61236,-173.66532, -53.59637,  75.58671,-141.43184, -65.48097,  38.59442,-134.89835, -82.04368,   6.52450,-125.41259, -63.11582,  84.29515,-140.54830, -61.84801,  98.98916,-132.68255, -60.49612, 109.44994,-127.25562, -57.69635, 125.09239,-119.24929, -57.39273, 128.93156,-117.71642, -57.28075, 132.93919,-116.66410, -60.82266, 121.31132,-122.75240, -62.50833, 126.30137,-134.42289, -62.48805, 117.79297,-153.62202, -82.87908, 110.12271,-160.99581, -85.23331, 110.79822,-162.51416, -87.97772, 111.09969,-164.61942, -90.06113, 110.59635,-165.72567, -84.62975, 110.94184,-164.03018, -86.34222, 110.33423,-168.69811, -88.33669, 109.14252,-171.19821, -89.65267, 108.08671,-172.14567, -83.74920, 110.20100,-164.18241, -84.94303, 109.20751,-168.81774, -86.60026, 107.13154,-171.42773, -88.02465, 105.33115,-171.84875, -83.07884, 109.70089,-164.17732, -83.55590, 108.40403,-168.34772, -84.59118, 106.30892,-170.59910, -85.78947, 104.47258,-171.11238, -82.28697, 109.07058,-163.97956, -82.22458, 107.52354,-167.70799, -82.65260, 105.69577,-169.50545, -83.43953, 104.27822,-169.76523, -56.26684, 119.39340,-120.59839, -45.48738, 114.31811,-115.90935, -61.99181, 106.75243,-105.35643, -84.01534, 100.38849,-107.21771, -85.41393, 102.76236,-106.37344, -87.58801, 105.31031,-105.45907, -89.36165, 106.94017,-105.58363, -86.18336, 102.24125,-105.02450, -90.38824, 103.39869,-102.56065, -93.54436, 104.61372,-102.10103, -95.30845, 105.31697,-102.47200, -86.47397, 101.12300,-105.13605, -90.73252, 101.64685,-102.79324, -94.41862, 102.17203,-102.72215, -96.32515, 102.66407,-103.97539, -86.57006, 100.30253,-105.26684, -90.46321, 100.06137,-103.24524, -93.70797, 100.02733,-103.26523, -95.62792, 100.29769,-104.41073, -86.57492,  99.32120,-105.58376, -90.14274,  98.49721,-103.88372, -92.70189,  98.04383,-103.88462, -94.04363,  98.13170,-104.82706
   0.16667, -62.06783,  77.19032,-145.09967, -71.95296,  79.26887,-147.96566, -69.67845,  42.56882,-162.11816, -42.45333,  21.71899,-176.84431, -52.18270,  75.11178,-142.23368, -64.59435,  38.40313,-135.10723, -81.71626,   6.62084,-125.64633, -61.80396,  83.70098,-141.28797, -60.77630,  98.23209,-133.09150, -59.58505, 108.56975,-127.39758, -56.99721, 124.01575,-118.95064, -56.73090, 127.82675,-117.34242, -56.62716, 131.82182,-116.24258, -60.06945, 120.29519,-122.56463, -61.98779, 125.31285,-134.18725, -61.81322, 116.83862,-153.40071, -82.06041, 109.12836,-161.12101, -84.40445, 109.76123,-162.67311, -87.12520, 110.01158,-164.81546, -89.18600, 109.47170,-165.94655, -83.78326, 109.90737,-164.18175, -85.42478, 109.25324,-168.86884, -87.36787, 108.02030,-171.38932, -88.65509, 106.94040,-172.34906, -82.88963, 109.17939,-164.31905, -84.00718, 108.14746,-168.96498, -85.59823, 106.03502,-171.58688, -86.98947, 104.21130,-172.01822, -82.21189, 108.68958,-164.30289, -82.61432, 107.36729,-168.47317, -83.58796, 105.24677,-170.72827, -84.75138, 103.39015,-171.24874, -81.41321, 108.07228,-164.09189, -81.27831, 106.51001,-167.81205, -81.65486, 104.66805,-169.60654, -82.41668, 103.23755,-169.87008, -55.49332, 118.37530,-120.45590, -44.68897, 113.18791,-115.95040, -61.05001, 105.05231,-105.60012, -82.86487,  98.08940,-107.75183, -84.29604, 100.41034,-106.81957, -86.50509, 102.89361,-105.81545, -88.29644, 104.50730,-105.88465, -85.06821,  99.82503,-105.49882, -89.30203, 100.83196,-103.01846, -92.47478, 101.99146,-102.53085, -94.24437, 102.68976,-102.88462, -85.34525,  98.70921,-105.65869, -89.62468,  99.08757,-103.32593, -93.31694,  99.56808,-103.25884, -95.22079, 100.09045,-104.50386, -85.43107,  97.89386,-105.82408, -89.33428,  97.52535,-103.84144, -92.57823,  97.45589,-103.88547, -94.49367,  97.75215,-105.03213, -85.42263,  96.92656,-106.18148, -88.99176,  95.99277,-104.54203, -91.54548,  95.51123,-104.57959, -92.88197,  95.62319,-105.52691
